,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년01월_계_총인구수,"82,326","2,665","2,503","2,558","3,580","3,836","1,337","2,537","1,779","1,807","2,636","4,992","2,237","1,888","4,629","1,357","11,241","12,622","11,514","6,608"
2021년01월_계_연령구간인구수,"82,326","2,665","2,503","2,558","3,580","3,836","1,337","2,537","1,779","1,807","2,636","4,992","2,237","1,888","4,629","1,357","11,241","12,622","11,514","6,608"
2021년01월_계_0~9세,"4,267",96,59,72,89,124,42,70,49,52,42,181,65,40,135,45,758,890,"1,018",440
2021년01월_계_10~19세,"6,156",128,108,111,161,211,61,124,78,70,102,299,93,68,212,62,"1,034","1,336","1,397",501
2021년01월_계_20~29세,"7,199",157,124,160,266,264,89,185,91,111,128,421,128,141,319,85,"1,303","1,345","1,293",589
2021년01월_계_30~39세,"6,593",169,128,168,211,271,83,170,106,108,149,324,127,93,280,79,"1,132","1,198","1,164",633
2021년01월_계_40~49세,"9,983",255,219,250,335,401,110,219,174,176,236,562,188,175,443,141,"1,578","1,862","1,885",774
2021년01월_계_50~59세,"13,651",439,363,451,583,668,194,437,268,277,386,944,327,348,854,210,"1,844","2,118","1,849","1,091"
2021년01월_계_60~69세,"14,619",638,584,538,782,774,294,554,393,393,573,990,495,406,989,263,"1,724","1,738","1,423","1,068"
2021년01월_계_70~79세,"11,410",412,497,481,642,646,254,414,328,358,577,778,427,338,796,282,"1,126","1,274",898,882
2021년01월_계_80~89세,"7,164",312,362,273,419,406,179,313,245,217,373,425,344,248,496,162,618,756,493,523
2021년01월_계_90~99세,"1,209",58,54,47,87,70,29,49,45,43,69,66,42,29,93,28,115,104,93,88
2021년01월_계_100세 이상,75,1,5,7,5,1,2,2,2,2,1,2,1,2,12,0,9,1,1,19
2021년01월_남_총인구수,"40,808","1,356","1,243","1,351","1,807","1,879",633,"1,299",888,910,"1,266","2,549","1,103",961,"2,329",700,"5,508","6,151","5,577","3,298"
2021년01월_남_연령구간인구수,"40,808","1,356","1,243","1,351","1,807","1,879",633,"1,299",888,910,"1,266","2,549","1,103",961,"2,329",700,"5,508","6,151","5,577","3,298"
2021년01월_남_0~9세,"2,216",58,34,40,41,65,20,36,30,22,21,93,39,20,64,24,390,465,519,235
2021년01월_남_10~19세,"3,162",77,63,62,92,96,37,63,42,43,50,159,48,40,125,29,493,690,703,250
2021년01월_남_20~29세,"4,012",100,78,96,144,136,52,110,57,67,79,234,77,79,188,54,698,730,694,339
2021년01월_남_30~39세,"3,523",101,77,110,123,148,48,96,61,62,90,183,77,61,163,48,579,613,562,321
2021년01월_남_40~49세,"5,586",154,140,158,223,244,72,142,112,116,156,340,131,121,267,100,822,934,925,429
2021년01월_남_50~59세,"7,444",239,215,285,317,364,104,256,149,164,220,528,183,199,484,124,952,"1,075",978,608
2021년01월_남_60~69세,"7,339",335,289,278,421,396,138,296,192,211,290,512,250,217,510,132,814,840,678,540
2021년01월_남_70~79세,"4,986",190,231,223,291,288,103,191,147,153,227,343,177,148,345,122,515,537,364,391
2021년01월_남_80~89세,"2,260",89,108,90,129,117,53,94,87,64,123,138,115,69,157,57,212,242,143,173
2021년01월_남_90~99세,265,13,6,8,24,24,6,15,10,8,9,19,6,7,26,10,28,25,11,10
2021년01월_남_100세 이상,15,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2021년01월_여_총인구수,"41,518","1,309","1,260","1,207","1,773","1,957",704,"1,238",891,897,"1,370","2,443","1,134",927,"2,300",657,"5,733","6,471","5,937","3,310"
2021년01월_여_연령구간인구수,"41,518","1,309","1,260","1,207","1,773","1,957",704,"1,238",891,897,"1,370","2,443","1,134",927,"2,300",657,"5,733","6,471","5,937","3,310"
2021년01월_여_0~9세,"2,051",38,25,32,48,59,22,34,19,30,21,88,26,20,71,21,368,425,499,205
2021년01월_여_10~19세,"2,994",51,45,49,69,115,24,61,36,27,52,140,45,28,87,33,541,646,694,251
2021년01월_여_20~29세,"3,187",57,46,64,122,128,37,75,34,44,49,187,51,62,131,31,605,615,599,250
2021년01월_여_30~39세,"3,070",68,51,58,88,123,35,74,45,46,59,141,50,32,117,31,553,585,602,312
2021년01월_여_40~49세,"4,397",101,79,92,112,157,38,77,62,60,80,222,57,54,176,41,756,928,960,345
2021년01월_여_50~59세,"6,207",200,148,166,266,304,90,181,119,113,166,416,144,149,370,86,892,"1,043",871,483
2021년01월_여_60~69세,"7,280",303,295,260,361,378,156,258,201,182,283,478,245,189,479,131,910,898,745,528
2021년01월_여_70~79세,"6,424",222,266,258,351,358,151,223,181,205,350,435,250,190,451,160,611,737,534,491
2021년01월_여_80~89세,"4,904",223,254,183,290,289,126,219,158,153,250,287,229,179,339,105,406,514,350,350
2021년01월_여_90~99세,944,45,48,39,63,46,23,34,35,35,60,47,36,22,67,18,87,79,82,78
2021년01월_여_100세 이상,60,1,3,6,3,0,2,2,1,2,0,2,1,2,12,0,4,1,1,17
