,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년06월_계_총인구수,"23,875","9,422","2,201","4,037","2,578","4,236","1,401"
2021년06월_계_연령구간인구수,"23,875","9,422","2,201","4,037","2,578","4,236","1,401"
2021년06월_계_0~9세,"1,126",696,51,163,60,122,34
2021년06월_계_10~19세,"1,794",982,106,290,114,249,53
2021년06월_계_20~29세,"1,734",873,107,322,143,231,58
2021년06월_계_30~39세,"1,656",876,126,247,109,233,65
2021년06월_계_40~49세,"2,790","1,422",184,486,226,370,102
2021년06월_계_50~59세,"4,138","1,496",432,779,439,756,236
2021년06월_계_60~69세,"4,564","1,319",530,803,580,963,369
2021년06월_계_70~79세,"3,324",992,355,539,471,698,269
2021년06월_계_80~89세,"2,391",654,274,361,384,537,181
2021년06월_계_90~99세,336,105,35,45,50,68,33
2021년06월_계_100세 이상,22,7,1,2,2,9,1
2021년06월_남_총인구수,"11,889","4,698","1,094","2,030","1,267","2,096",704
2021년06월_남_연령구간인구수,"11,889","4,698","1,094","2,030","1,267","2,096",704
2021년06월_남_0~9세,601,373,29,91,27,66,15
2021년06월_남_10~19세,914,488,62,163,53,121,27
2021년06월_남_20~29세,959,473,60,163,92,134,37
2021년06월_남_30~39세,907,452,72,142,68,136,37
2021년06월_남_40~49세,"1,554",748,110,275,128,227,66
2021년06월_남_50~59세,"2,294",833,224,438,248,414,137
2021년06월_남_60~69세,"2,350",653,273,410,311,504,199
2021년06월_남_70~79세,"1,401",424,164,214,190,293,116
2021년06월_남_80~89세,830,234,90,124,137,183,62
2021년06월_남_90~99세,75,20,9,10,13,15,8
2021년06월_남_100세 이상,4,0,1,0,0,3,0
2021년06월_여_총인구수,"11,986","4,724","1,107","2,007","1,311","2,140",697
2021년06월_여_연령구간인구수,"11,986","4,724","1,107","2,007","1,311","2,140",697
2021년06월_여_0~9세,525,323,22,72,33,56,19
2021년06월_여_10~19세,880,494,44,127,61,128,26
2021년06월_여_20~29세,775,400,47,159,51,97,21
2021년06월_여_30~39세,749,424,54,105,41,97,28
2021년06월_여_40~49세,"1,236",674,74,211,98,143,36
2021년06월_여_50~59세,"1,844",663,208,341,191,342,99
2021년06월_여_60~69세,"2,214",666,257,393,269,459,170
2021년06월_여_70~79세,"1,923",568,191,325,281,405,153
2021년06월_여_80~89세,"1,561",420,184,237,247,354,119
2021년06월_여_90~99세,261,85,26,35,37,53,25
2021년06월_여_100세 이상,18,7,0,2,2,6,1
