카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년04월_계_총인구수,"68,955","10,999","14,962","10,866","15,032","9,404","7,692"
2021년04월_계_연령구간인구수,"68,955","10,999","14,962","10,866","15,032","9,404","7,692"
2021년04월_계_0~9세,"5,934",807,"1,762",713,"1,494",621,537
2021년04월_계_10~19세,"6,736",993,"1,801","1,123","1,403",579,837
2021년04월_계_20~29세,"9,278","1,577","1,704","1,679","2,010","1,290","1,018"
2021년04월_계_30~39세,"9,691","1,433","2,009","1,308","2,408","1,598",935
2021년04월_계_40~49세,"10,388","1,450","2,696","1,441","2,182","1,395","1,224"
2021년04월_계_50~59세,"12,021","2,057","2,398","2,076","2,622","1,528","1,340"
2021년04월_계_60~69세,"8,464","1,552","1,506","1,389","1,684","1,398",935
2021년04월_계_70~79세,"3,967",661,699,621,739,677,570
2021년04월_계_80~89세,"2,044",378,330,421,399,277,239
2021년04월_계_90~99세,395,78,53,89,88,41,46
2021년04월_계_100세 이상,37,13,4,6,3,0,11
2021년04월_남_총인구수,"33,846","5,339","7,264","5,185","7,382","4,921","3,755"
2021년04월_남_연령구간인구수,"33,846","5,339","7,264","5,185","7,382","4,921","3,755"
2021년04월_남_0~9세,"3,088",419,916,370,786,316,281
2021년04월_남_10~19세,"3,477",498,901,574,732,318,454
2021년04월_남_20~29세,"4,865",840,865,851,"1,052",717,540
2021년04월_남_30~39세,"4,855",697,910,644,"1,192",915,497
2021년04월_남_40~49세,"5,022",669,"1,312",655,"1,045",759,582
2021년04월_남_50~59세,"5,790",964,"1,183",981,"1,242",755,665
2021년04월_남_60~69세,"4,117",787,742,664,833,686,405
2021년04월_남_70~79세,"1,777",309,288,269,333,334,244
2021년04월_남_80~89세,749,138,130,149,147,108,77
2021년04월_남_90~99세,97,16,17,25,19,13,7
2021년04월_남_100세 이상,9,2,0,3,1,0,3
2021년04월_여_총인구수,"35,109","5,660","7,698","5,681","7,650","4,483","3,937"
2021년04월_여_연령구간인구수,"35,109","5,660","7,698","5,681","7,650","4,483","3,937"
2021년04월_여_0~9세,"2,846",388,846,343,708,305,256
2021년04월_여_10~19세,"3,259",495,900,549,671,261,383
2021년04월_여_20~29세,"4,413",737,839,828,958,573,478
2021년04월_여_30~39세,"4,836",736,"1,099",664,"1,216",683,438
2021년04월_여_40~49세,"5,366",781,"1,384",786,"1,137",636,642
2021년04월_여_50~59세,"6,231","1,093","1,215","1,095","1,380",773,675
2021년04월_여_60~69세,"4,347",765,764,725,851,712,530
2021년04월_여_70~79세,"2,190",352,411,352,406,343,326
2021년04월_여_80~89세,"1,295",240,200,272,252,169,162
2021년04월_여_90~99세,298,62,36,64,69,28,39
2021년04월_여_100세 이상,28,11,4,3,2,0,8
