카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년02월_계_총인구수,"51,969","23,048","3,367","2,863","2,541","2,576","2,876","2,148","3,267","3,136","6,147"
2020년02월_계_연령구간인구수,"51,969","23,048","3,367","2,863","2,541","2,576","2,876","2,148","3,267","3,136","6,147"
2020년02월_계_0~9세,"2,753","1,780",97,74,75,130,95,62,77,91,272
2020년02월_계_10~19세,"4,412","2,518",167,116,82,147,411,158,226,148,439
2020년02월_계_20~29세,"4,162","2,230",246,186,118,136,171,105,202,239,529
2020년02월_계_30~39세,"4,057","2,328",219,179,123,169,138,89,155,198,459
2020년02월_계_40~49세,"6,481","3,633",316,243,215,258,244,193,347,318,714
2020년02월_계_50~59세,"9,275","3,750",630,504,442,451,458,448,646,638,"1,308"
2020년02월_계_60~69세,"9,365","3,237",718,711,593,568,540,426,667,711,"1,194"
2020년02월_계_70~79세,"6,745","2,328",525,457,459,414,437,387,571,461,706
2020년02월_계_80~89세,"4,168","1,088",382,355,388,278,348,243,337,287,462
2020년02월_계_90~99세,522,141,65,38,45,25,33,35,36,42,62
2020년02월_계_100세 이상,29,15,2,0,1,0,1,2,3,3,2
2020년02월_남_총인구수,"26,165","11,355","1,728","1,492","1,260","1,297","1,432","1,106","1,640","1,657","3,198"
2020년02월_남_연령구간인구수,"26,165","11,355","1,728","1,492","1,260","1,297","1,432","1,106","1,640","1,657","3,198"
2020년02월_남_0~9세,"1,407",886,58,40,36,58,54,34,47,51,143
2020년02월_남_10~19세,"2,309","1,286",100,76,40,80,200,85,125,87,230
2020년02월_남_20~29세,"2,402","1,266",150,114,67,84,101,73,104,142,301
2020년02월_남_30~39세,"2,132","1,186",123,108,70,87,66,41,83,101,267
2020년02월_남_40~49세,"3,613","1,905",182,154,150,161,151,119,199,193,399
2020년02월_남_50~59세,"5,058","1,908",364,291,256,266,256,259,370,367,721
2020년02월_남_60~69세,"4,723","1,526",367,374,303,284,286,233,333,377,640
2020년02월_남_70~79세,"2,978",978,235,215,203,182,194,165,253,226,327
2020년02월_남_80~89세,"1,407",381,133,108,126,91,114,88,114,101,151
2020년02월_남_90~99세,127,29,15,12,9,4,10,9,10,11,18
2020년02월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년02월_여_총인구수,"25,804","11,693","1,639","1,371","1,281","1,279","1,444","1,042","1,627","1,479","2,949"
2020년02월_여_연령구간인구수,"25,804","11,693","1,639","1,371","1,281","1,279","1,444","1,042","1,627","1,479","2,949"
2020년02월_여_0~9세,"1,346",894,39,34,39,72,41,28,30,40,129
2020년02월_여_10~19세,"2,103","1,232",67,40,42,67,211,73,101,61,209
2020년02월_여_20~29세,"1,760",964,96,72,51,52,70,32,98,97,228
2020년02월_여_30~39세,"1,925","1,142",96,71,53,82,72,48,72,97,192
2020년02월_여_40~49세,"2,868","1,728",134,89,65,97,93,74,148,125,315
2020년02월_여_50~59세,"4,217","1,842",266,213,186,185,202,189,276,271,587
2020년02월_여_60~69세,"4,642","1,711",351,337,290,284,254,193,334,334,554
2020년02월_여_70~79세,"3,767","1,350",290,242,256,232,243,222,318,235,379
2020년02월_여_80~89세,"2,761",707,249,247,262,187,234,155,223,186,311
2020년02월_여_90~99세,395,112,50,26,36,21,23,26,26,31,44
2020년02월_여_100세 이상,20,11,1,0,1,0,1,2,1,2,1
