,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년07월_계_총인구수,"30,950","9,963","2,172","2,264","3,564","1,534","1,939","2,378","2,775","2,217","2,144"
2020년07월_계_연령구간인구수,"30,950","9,963","2,172","2,264","3,564","1,534","1,939","2,378","2,775","2,217","2,144"
2020년07월_계_0~9세,"1,317",681,52,78,146,33,52,81,89,59,46
2020년07월_계_10~19세,"2,028",934,98,84,273,81,115,124,101,110,108
2020년07월_계_20~29세,"2,662","1,259",153,161,319,99,118,129,179,123,122
2020년07월_계_30~39세,"2,115",925,108,122,270,74,101,117,150,121,127
2020년07월_계_40~49세,"3,192","1,261",181,220,419,134,178,218,232,175,174
2020년07월_계_50~59세,"5,328","1,682",370,418,605,309,316,384,478,367,399
2020년07월_계_60~69세,"6,024","1,524",455,512,658,319,427,531,589,515,494
2020년07월_계_70~79세,"4,541",965,394,348,500,250,352,457,511,402,362
2020년07월_계_80~89세,"3,294",626,325,289,331,207,241,299,397,306,273
2020년07월_계_90~99세,430,99,36,31,41,28,37,35,49,38,36
2020년07월_계_100세 이상,19,7,0,1,2,0,2,3,0,1,3
2020년07월_남_총인구수,"15,667","4,994","1,080","1,189","1,848",797,996,"1,196","1,387","1,114","1,066"
2020년07월_남_연령구간인구수,"15,667","4,994","1,080","1,189","1,848",797,996,"1,196","1,387","1,114","1,066"
2020년07월_남_0~9세,667,346,25,36,77,22,23,42,44,28,24
2020년07월_남_10~19세,"1,068",467,58,51,148,44,62,61,60,54,63
2020년07월_남_20~29세,"1,531",719,84,95,197,55,71,63,104,74,69
2020년07월_남_30~39세,"1,213",480,68,77,161,44,64,76,91,74,78
2020년07월_남_40~49세,"1,863",663,100,141,235,84,119,150,145,112,114
2020년07월_남_50~59세,"2,900",884,202,242,329,172,181,214,265,196,215
2020년07월_남_60~69세,"3,101",747,247,276,346,180,224,267,304,258,252
2020년07월_남_70~79세,"2,033",441,177,155,218,113,161,199,227,190,152
2020년07월_남_80~89세,"1,172",221,109,106,119,75,81,115,138,116,92
2020년07월_남_90~99세,116,23,10,10,18,8,10,9,9,12,7
2020년07월_남_100세 이상,3,3,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"15,283","4,969","1,092","1,075","1,716",737,943,"1,182","1,388","1,103","1,078"
2020년07월_여_연령구간인구수,"15,283","4,969","1,092","1,075","1,716",737,943,"1,182","1,388","1,103","1,078"
2020년07월_여_0~9세,650,335,27,42,69,11,29,39,45,31,22
2020년07월_여_10~19세,960,467,40,33,125,37,53,63,41,56,45
2020년07월_여_20~29세,"1,131",540,69,66,122,44,47,66,75,49,53
2020년07월_여_30~39세,902,445,40,45,109,30,37,41,59,47,49
2020년07월_여_40~49세,"1,329",598,81,79,184,50,59,68,87,63,60
2020년07월_여_50~59세,"2,428",798,168,176,276,137,135,170,213,171,184
2020년07월_여_60~69세,"2,923",777,208,236,312,139,203,264,285,257,242
2020년07월_여_70~79세,"2,508",524,217,193,282,137,191,258,284,212,210
2020년07월_여_80~89세,"2,122",405,216,183,212,132,160,184,259,190,181
2020년07월_여_90~99세,314,76,26,21,23,20,27,26,40,26,29
2020년07월_여_100세 이상,16,4,0,1,2,0,2,3,0,1,3
