,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년04월_계_총인구수,"357,193","15,670","9,871","20,867","22,198","20,268","12,781","22,306","20,950","22,885","17,748","23,416","10,340","11,474","19,411","17,038","16,942","11,200","29,226","12,035","20,567"
2021년04월_계_연령구간인구수,"357,193","15,670","9,871","20,867","22,198","20,268","12,781","22,306","20,950","22,885","17,748","23,416","10,340","11,474","19,411","17,038","16,942","11,200","29,226","12,035","20,567"
2021년04월_계_0~9세,"20,935",651,618,"1,437","1,298","1,149",544,"1,423",948,"1,956","1,122","1,143",747,667,865,"1,011","1,226",602,"1,801",499,"1,228"
2021년04월_계_10~19세,"24,614",550,458,"1,849","1,562","1,524",569,"1,294","1,160","1,876","1,882","1,915",686,894,"1,200","1,378",999,834,"2,468",477,"1,039"
2021년04월_계_20~29세,"52,602","3,518","1,933","2,104","2,253","2,886","2,972","4,750","3,434","2,541","2,003","2,889","1,322","1,264","3,126","2,124","3,207","1,558","3,619","2,537","2,562"
2021년04월_계_30~39세,"47,787","2,502","1,739","2,302","2,427","2,490","2,247","4,308","2,951","3,053","1,686","2,333","1,644","1,274","2,235","1,828","2,728","1,168","3,378","2,305","3,189"
2021년04월_계_40~49세,"51,129","1,800","1,481","3,351","3,121","2,957","1,752","3,095","2,941","3,776","2,863","3,346","1,485","1,722","2,626","2,412","2,387","1,523","4,187","1,527","2,777"
2021년04월_계_50~59세,"57,559","2,447","1,519","3,296","3,617","3,585","1,602","2,780","3,046","3,727","3,316","4,354","1,473","2,199","3,279","2,828","2,498","1,902","5,231","1,678","3,182"
2021년04월_계_60~69세,"56,480","2,381","1,312","3,494","4,040","3,080","1,612","2,458","3,347","3,279","2,779","4,172","1,657","1,934","3,367","3,013","2,156","1,959","5,149","1,657","3,634"
2021년04월_계_70~79세,"31,441","1,244",546,"2,088","2,674","1,708",999,"1,442","2,132","1,904","1,475","2,151",916,"1,052","1,929","1,719","1,203","1,137","2,244",884,"1,994"
