카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년04월_계_총인구수,"119,505","30,737","10,506","4,772","13,674","8,033","9,776","3,879","3,755","4,597","6,838","17,752","5,186"
2021년04월_계_연령구간인구수,"119,505","30,737","10,506","4,772","13,674","8,033","9,776","3,879","3,755","4,597","6,838","17,752","5,186"
2021년04월_계_0~9세,"7,218","2,177",926,175,730,475,621,125,108,136,226,"1,287",232
2021년04월_계_10~19세,"9,677","3,252",951,241,"1,043",557,855,230,154,189,374,"1,496",335
2021년04월_계_20~29세,"10,590","3,553",848,345,"1,222",740,609,244,223,281,472,"1,652",401
2021년04월_계_30~39세,"10,785","3,191","1,188",366,"1,206",779,823,280,195,289,404,"1,691",373
2021년04월_계_40~49세,"16,284","4,814","1,689",507,"1,817","1,063","1,493",419,352,378,687,"2,460",605
2021년04월_계_50~59세,"20,728","5,363","1,646",871,"2,420","1,397","1,715",672,662,916,"1,256","2,924",886
2021년04월_계_60~69세,"23,578","4,580","1,818","1,277","2,768","1,690","2,116",988,"1,022","1,180","1,721","3,181","1,237"
2021년04월_계_70~79세,"13,155","2,442",962,704,"1,636",880,"1,044",561,605,701,"1,000","1,904",716
2021년04월_계_80~89세,"6,444","1,199",418,240,707,393,417,318,391,443,584,981,353
2021년04월_계_90~99세,"1,004",158,57,45,114,58,80,42,41,80,111,172,46
2021년04월_계_100세 이상,42,8,3,1,11,1,3,0,2,4,3,4,2
2021년04월_남_총인구수,"59,981","15,398","5,211","2,404","6,813","4,070","4,864","1,973","1,921","2,289","3,489","8,918","2,631"
2021년04월_남_연령구간인구수,"59,981","15,398","5,211","2,404","6,813","4,070","4,864","1,973","1,921","2,289","3,489","8,918","2,631"
2021년04월_남_0~9세,"3,689","1,123",464,93,376,223,303,60,62,80,136,661,108
2021년04월_남_10~19세,"5,112","1,676",499,141,538,300,459,117,86,98,217,793,188
2021년04월_남_20~29세,"5,881","1,965",448,196,662,433,337,140,123,163,272,916,226
2021년04월_남_30~39세,"5,442","1,616",552,193,613,405,384,160,103,159,212,850,195
2021년04월_남_40~49세,"8,260","2,321",852,253,922,559,748,225,206,205,372,"1,273",324
2021년04월_남_50~59세,"10,674","2,764",845,439,"1,215",707,863,361,351,481,665,"1,508",475
2021년04월_남_60~69세,"11,745","2,285",882,610,"1,341",861,"1,023",508,523,585,913,"1,594",620
2021년04월_남_70~79세,"6,459","1,184",497,374,803,425,558,273,292,329,470,901,353
2021년04월_남_80~89세,"2,476",423,158,96,313,141,170,123,164,169,200,385,134
2021년04월_남_90~99세,233,41,14,8,24,16,19,6,10,19,31,37,8
2021년04월_남_100세 이상,10,0,0,1,6,0,0,0,1,1,1,0,0
2021년04월_여_총인구수,"59,524","15,339","5,295","2,368","6,861","3,963","4,912","1,906","1,834","2,308","3,349","8,834","2,555"
2021년04월_여_연령구간인구수,"59,524","15,339","5,295","2,368","6,861","3,963","4,912","1,906","1,834","2,308","3,349","8,834","2,555"
2021년04월_여_0~9세,"3,529","1,054",462,82,354,252,318,65,46,56,90,626,124
2021년04월_여_10~19세,"4,565","1,576",452,100,505,257,396,113,68,91,157,703,147
2021년04월_여_20~29세,"4,709","1,588",400,149,560,307,272,104,100,118,200,736,175
2021년04월_여_30~39세,"5,343","1,575",636,173,593,374,439,120,92,130,192,841,178
2021년04월_여_40~49세,"8,024","2,493",837,254,895,504,745,194,146,173,315,"1,187",281
2021년04월_여_50~59세,"10,054","2,599",801,432,"1,205",690,852,311,311,435,591,"1,416",411
2021년04월_여_60~69세,"11,833","2,295",936,667,"1,427",829,"1,093",480,499,595,808,"1,587",617
2021년04월_여_70~79세,"6,696","1,258",465,330,833,455,486,288,313,372,530,"1,003",363
2021년04월_여_80~89세,"3,968",776,260,144,394,252,247,195,227,274,384,596,219
2021년04월_여_90~99세,771,117,43,37,90,42,61,36,31,61,80,135,38
2021년04월_여_100세 이상,32,8,3,0,5,1,3,0,1,3,2,4,2
