,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년07월_계_총인구수,"404,560","14,692","14,101","16,562","17,294","17,840","7,363","47,757","32,063","18,478","23,182","32,832","20,537","16,725","8,814","13,695","17,348","22,089","12,603","21,233","15,300","14,052"
2021년07월_계_연령구간인구수,"404,560","14,692","14,101","16,562","17,294","17,840","7,363","47,757","32,063","18,478","23,182","32,832","20,537","16,725","8,814","13,695","17,348","22,089","12,603","21,233","15,300","14,052"
2021년07월_계_0~9세,"26,564","1,077","1,080","1,050",614,"1,288",266,"3,944","2,226","1,063","1,560","3,205","1,210",912,431,544,777,"1,890",531,"1,180",957,759
2021년07월_계_10~19세,"31,528",924,838,"1,284",951,"1,303",336,"4,891","3,558","1,668","1,531","2,557",882,"1,075",639,839,"1,151","1,819",916,"1,876","1,329","1,161"
2021년07월_계_20~29세,"56,740","1,942","2,095","2,138","3,975","2,564",872,"6,856","4,201","2,325","3,230","3,925","4,213","2,096","1,191","1,673","2,425","2,791","1,483","2,824","2,012","1,909"
2021년07월_계_30~39세,"55,270","2,163","2,406","2,172","1,826","2,788",833,"6,269","3,338","2,076","3,531","5,758","4,258","2,073",957,"1,493","2,427","3,378","1,289","2,487","1,862","1,886"
2021년07월_계_40~49세,"63,251","2,185","2,056","2,499","2,045","2,607",937,"8,338","5,579","2,847","3,576","5,342","3,160","2,381","1,331","1,809","2,552","3,816","1,852","3,251","2,257","2,831"
2021년07월_계_50~59세,"66,792","2,388","2,222","2,689","2,613","2,740","1,282","7,797","5,747","3,298","3,806","4,785","3,104","2,837","1,484","2,316","3,037","3,257","2,268","3,889","2,656","2,577"
2021년07월_계_60~69세,"57,815","2,119","1,838","2,519","2,633","2,398","1,427","5,602","4,284","2,787","3,219","4,276","2,311","2,893","1,459","2,584","2,755","2,935","2,309","3,265","2,481","1,721"
2021년07월_계_70~79세,"31,140","1,242",974,"1,475","1,772","1,482",902,"2,713","2,125","1,583","1,844","2,018",925,"1,646",907,"1,658","1,447","1,453","1,297","1,677","1,184",816
2021년07월_계_80~89세,"13,394",563,511,631,744,566,446,"1,183",878,717,774,836,407,708,355,682,674,643,574,693,475,334
2021년07월_계_90~99세,"1,972",84,76,102,119,91,55,163,120,109,108,118,63,103,54,96,98,104,81,89,84,55
2021년07월_계_100세 이상,94,5,5,3,2,13,7,1,7,5,3,12,4,1,6,1,5,3,3,2,3,3
2021년07월_남_총인구수,"203,720","7,442","7,050","8,310","9,382","8,959","3,877","23,708","15,964","9,081","11,571","16,659","10,746","8,463","4,453","6,831","8,676","11,004","6,110","10,388","7,506","7,540"
