카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년01월_계_총인구수,"342,328","43,201","2,586","3,177","6,276","8,701","6,260","7,514","5,841","3,746","2,535","19,379","53,874","32,116","23,670","29,841","33,425","30,228","19,333","10,625"
2020년01월_계_연령구간인구수,"342,328","43,201","2,586","3,177","6,276","8,701","6,260","7,514","5,841","3,746","2,535","19,379","53,874","32,116","23,670","29,841","33,425","30,228","19,333","10,625"
2020년01월_계_0~9세,"47,342","3,509",81,102,375,320,207,382,231,95,121,"2,791","9,066","4,413","3,890","5,058","6,192","5,545","3,332","1,632"
2020년01월_계_10~19세,"40,361","4,254",119,136,388,414,323,454,416,137,198,"3,423","6,455","4,464","4,232","4,094","4,485","2,999","2,356","1,014"
2020년01월_계_20~29세,"36,452","6,454",302,298,773,844,888,784,595,334,281,"1,691","6,041","3,765","1,746","2,668","2,557","3,079","2,007","1,345"
2020년01월_계_30~39세,"61,447","5,502",291,283,687,845,758,747,530,282,206,"2,748","12,234","5,876","3,724","5,932","6,935","7,488","3,989","2,390"
2020년01월_계_40~49세,"65,109","6,979",331,345,895,"1,031",860,953,776,386,378,"4,567","10,478","6,846","5,970","6,214","7,089","5,485","3,754","1,772"
2020년01월_계_50~59세,"42,665","6,748",539,564,"1,121","1,673","1,235","1,370","1,095",770,467,"2,385","5,590","3,671","2,375","3,020","3,151","3,283","2,170","1,438"
2020년01월_계_60~69세,"27,467","5,076",463,659,961,"1,711","1,006","1,313",946,846,397,"1,075","2,788","1,796","1,104","1,759","2,051","1,641","1,152",723
2020년01월_계_70~79세,"13,558","3,024",269,411,655,"1,120",557,898,697,500,278,464,849,823,424,769,721,493,400,206
2020년01월_계_80~89세,"6,804","1,437",169,315,376,640,373,540,475,340,186,201,309,395,165,284,197,175,142,85
2020년01월_계_90~99세,"1,068",206,20,60,43,97,51,70,74,49,21,32,62,67,39,43,46,39,30,19
2020년01월_계_100세 이상,55,12,2,4,2,6,2,3,6,7,2,2,2,0,1,0,1,1,1,1
2020년01월_남_총인구수,"170,729","22,296","1,447","1,628","3,440","4,587","3,504","4,041","3,072","2,037","1,336","9,547","26,143","15,551","11,690","14,478","16,271","14,890","9,498","5,273"
2020년01월_남_연령구간인구수,"170,729","22,296","1,447","1,628","3,440","4,587","3,504","4,041","3,072","2,037","1,336","9,547","26,143","15,551","11,690","14,478","16,271","14,890","9,498","5,273"
2020년01월_남_0~9세,"24,214","1,829",41,44,193,153,106,177,120,43,60,"1,430","4,632","2,263","2,001","2,586","3,153","2,821","1,707",855
2020년01월_남_10~19세,"20,258","2,182",60,72,209,221,166,249,226,74,100,"1,726","3,161","2,235","2,173","2,033","2,236","1,462","1,173",500
2020년01월_남_20~29세,"18,418","3,638",178,178,494,484,528,469,343,197,163,852,"2,738","1,707",904,"1,226","1,231","1,446",981,661
2020년01월_남_30~39세,"29,982","2,965",197,162,431,509,498,454,309,179,120,"1,253","5,839","2,752","1,618","2,751","3,213","3,675","1,861","1,196"
2020년01월_남_40~49세,"33,502","3,739",221,213,547,634,569,584,470,241,224,"2,229","5,239","3,359","2,939","3,141","3,593","2,764","1,920",876
2020년01월_남_50~59세,"22,062","3,522",315,317,655,929,692,785,617,455,272,"1,258","2,724","1,896","1,254","1,485","1,465","1,636","1,069",716
2020년01월_남_60~69세,"13,626","2,512",257,353,474,910,533,695,502,470,208,523,"1,340",849,544,806,952,807,549,342
2020년01월_남_70~79세,"6,151","1,314",122,181,280,513,259,403,299,247,122,213,393,362,198,358,348,238,196,105
2020년01월_남_80~89세,"2,264",539,55,94,141,210,136,209,176,119,63,52,66,112,49,82,70,34,39,18
2020년01월_남_90~99세,242,53,1,13,15,24,17,16,9,10,3,11,11,16,10,10,10,7,3,3
2020년01월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
2020년01월_여_총인구수,"171,599","20,905","1,139","1,549","2,836","4,114","2,756","3,473","2,769","1,709","1,199","9,832","27,731","16,565","11,980","15,363","17,154","15,338","9,835","5,352"
2020년01월_여_연령구간인구수,"171,599","20,905","1,139","1,549","2,836","4,114","2,756","3,473","2,769","1,709","1,199","9,832","27,731","16,565","11,980","15,363","17,154","15,338","9,835","5,352"
2020년01월_여_0~9세,"23,128","1,680",40,58,182,167,101,205,111,52,61,"1,361","4,434","2,150","1,889","2,472","3,039","2,724","1,625",777
2020년01월_여_10~19세,"20,103","2,072",59,64,179,193,157,205,190,63,98,"1,697","3,294","2,229","2,059","2,061","2,249","1,537","1,183",514
2020년01월_여_20~29세,"18,034","2,816",124,120,279,360,360,315,252,137,118,839,"3,303","2,058",842,"1,442","1,326","1,633","1,026",684
2020년01월_여_30~39세,"31,465","2,537",94,121,256,336,260,293,221,103,86,"1,495","6,395","3,124","2,106","3,181","3,722","3,813","2,128","1,194"
2020년01월_여_40~49세,"31,607","3,240",110,132,348,397,291,369,306,145,154,"2,338","5,239","3,487","3,031","3,073","3,496","2,721","1,834",896
2020년01월_여_50~59세,"20,603","3,226",224,247,466,744,543,585,478,315,195,"1,127","2,866","1,775","1,121","1,535","1,686","1,647","1,101",722
2020년01월_여_60~69세,"13,841","2,564",206,306,487,801,473,618,444,376,189,552,"1,448",947,560,953,"1,099",834,603,381
2020년01월_여_70~79세,"7,407","1,710",147,230,375,607,298,495,398,253,156,251,456,461,226,411,373,255,204,101
2020년01월_여_80~89세,"4,540",898,114,221,235,430,237,331,299,221,123,149,243,283,116,202,127,141,103,67
2020년01월_여_90~99세,826,153,19,47,28,73,34,54,65,39,18,21,51,51,29,33,36,32,27,16
2020년01월_여_100세 이상,45,9,2,3,1,6,2,3,5,5,1,2,2,0,1,0,1,1,1,0
