카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년07월_계_총인구수,"228,323","36,256","19,976","59,461","31,935","16,190","64,505"
2020년07월_계_연령구간인구수,"228,323","36,256","19,976","59,461","31,935","16,190","64,505"
2020년07월_계_0~9세,"24,399","4,172",973,"7,212","4,119","1,476","6,447"
2020년07월_계_10~19세,"24,886","4,262","1,221","6,733","3,298","2,006","7,366"
2020년07월_계_20~29세,"30,922","4,511","3,680","6,906","4,091","2,177","9,557"
2020년07월_계_30~39세,"39,380","5,796","4,835","9,860","6,108","2,444","10,337"
2020년07월_계_40~49세,"42,815","6,776","3,666","11,147","6,025","3,115","12,086"
2020년07월_계_50~59세,"32,853","5,344","2,803","8,262","4,218","2,478","9,748"
2020년07월_계_60~69세,"19,105","3,052","1,666","5,387","2,509","1,381","5,110"
2020년07월_계_70~79세,"9,563","1,564",788,"2,695","1,079",748,"2,689"
2020년07월_계_80~89세,"3,872",686,305,"1,115",414,331,"1,021"
2020년07월_계_90~99세,480,84,32,131,68,29,136
2020년07월_계_100세 이상,48,9,7,13,6,5,8
2020년07월_남_총인구수,"118,057","18,153","11,729","30,011","16,384","8,340","33,440"
2020년07월_남_연령구간인구수,"118,057","18,153","11,729","30,011","16,384","8,340","33,440"
2020년07월_남_0~9세,"12,449","2,149",486,"3,674","2,108",780,"3,252"
2020년07월_남_10~19세,"12,740","2,096",628,"3,398","1,671","1,037","3,910"
2020년07월_남_20~29세,"16,703","2,358","2,077","3,672","2,172","1,191","5,233"
2020년07월_남_30~39세,"21,239","2,981","3,116","5,087","3,196","1,324","5,535"
2020년07월_남_40~49세,"22,660","3,430","2,261","5,889","3,156","1,581","6,343"
2020년07월_남_50~59세,"17,116","2,721","1,751","4,137","2,130","1,314","5,063"
2020년07월_남_60~69세,"9,413","1,504",904,"2,555","1,256",665,"2,529"
2020년07월_남_70~79세,"4,214",642,371,"1,186",532,330,"1,153"
2020년07월_남_80~89세,"1,409",254,127,381,151,109,387
2020년07월_남_90~99세,100,14,6,29,11,6,34
2020년07월_남_100세 이상,14,4,2,3,1,3,1
2020년07월_여_총인구수,"110,266","18,103","8,247","29,450","15,551","7,850","31,065"
2020년07월_여_연령구간인구수,"110,266","18,103","8,247","29,450","15,551","7,850","31,065"
2020년07월_여_0~9세,"11,950","2,023",487,"3,538","2,011",696,"3,195"
2020년07월_여_10~19세,"12,146","2,166",593,"3,335","1,627",969,"3,456"
2020년07월_여_20~29세,"14,219","2,153","1,603","3,234","1,919",986,"4,324"
2020년07월_여_30~39세,"18,141","2,815","1,719","4,773","2,912","1,120","4,802"
2020년07월_여_40~49세,"20,155","3,346","1,405","5,258","2,869","1,534","5,743"
2020년07월_여_50~59세,"15,737","2,623","1,052","4,125","2,088","1,164","4,685"
2020년07월_여_60~69세,"9,692","1,548",762,"2,832","1,253",716,"2,581"
2020년07월_여_70~79세,"5,349",922,417,"1,509",547,418,"1,536"
2020년07월_여_80~89세,"2,463",432,178,734,263,222,634
2020년07월_여_90~99세,380,70,26,102,57,23,102
2020년07월_여_100세 이상,34,5,5,10,5,2,7
