카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년08월_계_총인구수,"543,627","46,150","41,621","31,472","48,969","29,555","28,379","6,666","9,917","22,873","13,531","14,848","32,364","12,115","20,642","16,603","10,977","33,043","22,829","24,577","28,398","24,815","23,283"
2020년08월_계_연령구간인구수,"543,627","46,150","41,621","31,472","48,969","29,555","28,379","6,666","9,917","22,873","13,531","14,848","32,364","12,115","20,642","16,603","10,977","33,043","22,829","24,577","28,398","24,815","23,283"
2020년08월_계_0~9세,"51,351","4,834","2,496","3,967","7,011","4,710","3,354",357,500,"1,286",749,657,"2,829",605,"1,448",713,785,"2,775","2,000","2,661","3,061","2,354","2,199"
2020년08월_계_10~19세,"56,932","4,473","3,640","4,423","6,226","3,748","2,138",434,792,"1,622",941,"1,292","3,068",893,"1,978","1,315",800,"3,465","2,880","3,480","3,337","2,706","3,281"
2020년08월_계_20~29세,"72,976","6,590","6,608","3,858","5,793","3,138","3,516","1,060","1,594","3,331","1,756","2,311","4,377","1,696","3,040","2,344","1,447","4,734","2,863","2,711","3,852","3,180","3,177"
2020년08월_계_30~39세,"80,705","8,505","5,049","5,976","8,465","5,559","5,009",903,"1,208","2,962","1,609","1,597","4,556","1,521","2,623","1,885","1,700","4,713","2,587","3,422","4,639","3,315","2,902"
2020년08월_계_40~49세,"95,900","8,556","6,440","6,469","9,931","5,924","4,533",861,"1,348","3,337","1,918","2,222","5,044","1,879","3,058","2,301","1,624","5,945","4,528","5,609","5,508","4,351","4,514"
2020년08월_계_50~59세,"93,215","6,865","8,739","3,960","6,563","3,788","4,689","1,615","2,287","4,774","2,796","3,175","6,100","2,543","4,044","3,401","2,022","5,772","3,863","3,533","4,456","4,419","3,811"
2020년08월_계_60~69세,"56,627","3,922","5,076","1,827","3,349","1,861","3,219",974,"1,407","3,417","2,249","2,138","4,180","1,759","2,818","2,769","1,635","3,338","2,159","1,759","2,135","2,681","1,955"
2020년08월_계_70~79세,"24,056","1,701","2,250",650,"1,122",554,"1,292",291,514,"1,470","1,031",983,"1,551",840,"1,071","1,258",632,"1,558","1,283",954,919,"1,183",949
