카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년09월_계_총인구수,"74,032","8,209","6,654","4,926","4,448","4,883","7,981","4,932","4,405","6,819","11,606","7,166","2,003"
2021년09월_계_연령구간인구수,"74,032","8,209","6,654","4,926","4,448","4,883","7,981","4,932","4,405","6,819","11,606","7,166","2,003"
2021년09월_계_0~9세,"4,819",298,403,153,114,580,856,255,285,527,814,471,63
2021년09월_계_10~19세,"4,907",466,384,217,189,212,537,277,271,544,"1,054",623,133
2021년09월_계_20~29세,"11,456","1,422","1,842","1,448",796,531,800,882,632,697,"1,245",944,217
2021년09월_계_30~39세,"10,348","1,131","1,238",771,554,952,"1,269",630,653,875,"1,286",809,180
2021년09월_계_40~49세,"10,387","1,045",894,521,478,715,"1,211",640,610,"1,122","1,804","1,054",293
2021년09월_계_50~59세,"10,888","1,249",704,589,700,657,"1,196",757,679,"1,025","1,801","1,201",330
2021년09월_계_60~69세,"10,182","1,215",629,586,772,655,"1,107",723,555,970,"1,729",904,337
2021년09월_계_70~79세,"7,053",883,348,407,549,388,650,499,446,690,"1,195",681,317
2021년09월_계_80~89세,"3,448",430,185,191,240,173,301,244,221,327,597,420,119
2021년09월_계_90~99세,472,63,26,41,42,19,43,24,37,38,70,55,14
2021년09월_계_100세 이상,72,7,1,2,14,1,11,1,16,4,11,4,0
2021년09월_남_총인구수,"35,535","4,082","3,169","2,358","2,236","2,450","3,887","2,356","2,094","3,141","5,412","3,360",990
2021년09월_남_연령구간인구수,"35,535","4,082","3,169","2,358","2,236","2,450","3,887","2,356","2,094","3,141","5,412","3,360",990
2021년09월_남_0~9세,"2,471",130,207,81,56,283,423,135,138,298,440,246,34
2021년09월_남_10~19세,"2,495",235,185,110,92,107,300,135,131,267,565,292,76
2021년09월_남_20~29세,"5,479",693,824,607,376,277,423,418,295,331,639,471,125
2021년09월_남_30~39세,"5,355",617,666,432,343,476,616,321,324,433,626,400,101
2021년09월_남_40~49세,"5,259",574,458,274,258,393,631,327,313,536,867,493,135
2021년09월_남_50~59세,"5,407",680,339,316,381,320,566,386,343,487,825,589,175
2021년09월_남_60~69세,"4,706",597,266,293,386,339,530,336,260,408,731,404,156
2021년09월_남_70~79세,"2,975",369,151,167,238,192,270,217,195,267,501,269,139
2021년09월_남_80~89세,"1,257",170,65,68,93,61,118,75,85,103,202,173,44
2021년09월_남_90~99세,118,16,8,9,10,2,9,5,7,11,14,22,5
2021년09월_남_100세 이상,13,1,0,1,3,0,1,1,3,0,2,1,0
2021년09월_여_총인구수,"38,497","4,127","3,485","2,568","2,212","2,433","4,094","2,576","2,311","3,678","6,194","3,806","1,013"
2021년09월_여_연령구간인구수,"38,497","4,127","3,485","2,568","2,212","2,433","4,094","2,576","2,311","3,678","6,194","3,806","1,013"
2021년09월_여_0~9세,"2,348",168,196,72,58,297,433,120,147,229,374,225,29
2021년09월_여_10~19세,"2,412",231,199,107,97,105,237,142,140,277,489,331,57
2021년09월_여_20~29세,"5,977",729,"1,018",841,420,254,377,464,337,366,606,473,92
2021년09월_여_30~39세,"4,993",514,572,339,211,476,653,309,329,442,660,409,79
2021년09월_여_40~49세,"5,128",471,436,247,220,322,580,313,297,586,937,561,158
2021년09월_여_50~59세,"5,481",569,365,273,319,337,630,371,336,538,976,612,155
2021년09월_여_60~69세,"5,476",618,363,293,386,316,577,387,295,562,998,500,181
2021년09월_여_70~79세,"4,078",514,197,240,311,196,380,282,251,423,694,412,178
2021년09월_여_80~89세,"2,191",260,120,123,147,112,183,169,136,224,395,247,75
2021년09월_여_90~99세,354,47,18,32,32,17,34,19,30,27,56,33,9
2021년09월_여_100세 이상,59,6,1,1,11,1,10,0,13,4,9,3,0
