,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년07월_계_총인구수,"385,000","113,154","46,902","23,238","9,527","15,588","1,488","2,562","24,895","22,192","18,446","39,353","33,559","34,096"
2021년07월_계_연령구간인구수,"385,000","113,154","46,902","23,238","9,527","15,588","1,488","2,562","24,895","22,192","18,446","39,353","33,559","34,096"
2021년07월_계_0~9세,"33,877","10,925","3,639","1,366",449,"1,073",30,145,"1,917","1,603","1,928","2,988","2,561","5,253"
2021년07월_계_10~19세,"34,209","8,955","5,067","1,826",633,"1,251",65,191,"2,198","2,020","1,625","3,633","2,686","4,059"
2021년07월_계_20~29세,"45,139","13,394","5,615","2,845","1,008","1,202",109,177,"3,363","2,796","2,366","5,026","4,277","2,961"
2021년07월_계_30~39세,"56,184","19,398","6,128","2,771",993,"1,488",96,218,"3,484","2,911","2,831","5,202","4,709","5,955"
2021년07월_계_40~49세,"67,469","20,461","8,176","3,571","1,358","2,509",143,341,"4,070","3,745","3,231","6,834","5,719","7,311"
2021년07월_계_50~59세,"64,223","17,558","8,086","4,566","1,856","2,597",257,468,"4,341","3,978","3,054","7,364","5,961","4,137"
2021년07월_계_60~69세,"51,126","13,711","6,149","3,708","1,867","3,081",404,529,"3,298","3,179","2,208","5,359","4,897","2,736"
2021년07월_계_70~79세,"22,557","6,111","2,702","1,643",844,"1,641",222,299,"1,529","1,382",874,"2,097","1,995","1,218"
2021년07월_계_80~89세,"8,880","2,278","1,173",834,448,635,140,162,616,506,280,757,651,400
2021년07월_계_90~99세,"1,284",349,162,106,66,107,22,31,76,68,45,88,100,64
2021년07월_계_100세 이상,52,14,5,2,5,4,0,1,3,4,4,5,3,2
2021년07월_남_총인구수,"196,660","57,209","24,392","12,378","5,245","7,958",773,"1,359","12,854","11,160","9,203","19,988","17,246","16,895"
2021년07월_남_연령구간인구수,"196,660","57,209","24,392","12,378","5,245","7,958",773,"1,359","12,854","11,160","9,203","19,988","17,246","16,895"
2021년07월_남_0~9세,"17,395","5,668","1,904",700,230,532,18,73,"1,009",781,998,"1,514","1,342","2,626"
2021년07월_남_10~19세,"17,489","4,593","2,579",974,329,679,31,102,"1,130",983,782,"1,829","1,391","2,087"
2021년07월_남_20~29세,"23,980","7,004","2,998","1,579",595,669,57,93,"1,817","1,486","1,234","2,659","2,277","1,512"
2021년07월_남_30~39세,"29,176","10,037","3,210","1,543",582,767,53,110,"1,846","1,554","1,425","2,799","2,451","2,799"
2021년07월_남_40~49세,"35,627","10,896","4,337","1,927",818,"1,373",77,196,"2,141","1,937","1,648","3,493","3,068","3,716"
2021년07월_남_50~59세,"32,821","8,552","4,361","2,530","1,043","1,346",148,264,"2,312","1,987","1,483","3,668","3,029","2,098"
2021년07월_남_60~69세,"25,605","6,634","3,229","1,973","1,027","1,502",215,293,"1,669","1,585","1,089","2,678","2,432","1,279"
2021년07월_남_70~79세,"10,878","2,877","1,301",808,441,809,108,149,701,649,414,"1,027",994,600
2021년07월_남_80~89세,"3,402",863,439,318,164,251,59,73,219,181,124,298,245,168
2021년07월_남_90~99세,275,80,32,25,15,28,7,6,9,17,6,23,17,10
2021년07월_남_100세 이상,12,5,2,1,1,2,0,0,1,0,0,0,0,0
2021년07월_여_총인구수,"188,340","55,945","22,510","10,860","4,282","7,630",715,"1,203","12,041","11,032","9,243","19,365","16,313","17,201"
2021년07월_여_연령구간인구수,"188,340","55,945","22,510","10,860","4,282","7,630",715,"1,203","12,041","11,032","9,243","19,365","16,313","17,201"
2021년07월_여_0~9세,"16,482","5,257","1,735",666,219,541,12,72,908,822,930,"1,474","1,219","2,627"
2021년07월_여_10~19세,"16,720","4,362","2,488",852,304,572,34,89,"1,068","1,037",843,"1,804","1,295","1,972"
2021년07월_여_20~29세,"21,159","6,390","2,617","1,266",413,533,52,84,"1,546","1,310","1,132","2,367","2,000","1,449"
2021년07월_여_30~39세,"27,008","9,361","2,918","1,228",411,721,43,108,"1,638","1,357","1,406","2,403","2,258","3,156"
2021년07월_여_40~49세,"31,842","9,565","3,839","1,644",540,"1,136",66,145,"1,929","1,808","1,583","3,341","2,651","3,595"
2021년07월_여_50~59세,"31,402","9,006","3,725","2,036",813,"1,251",109,204,"2,029","1,991","1,571","3,696","2,932","2,039"
2021년07월_여_60~69세,"25,521","7,077","2,920","1,735",840,"1,579",189,236,"1,629","1,594","1,119","2,681","2,465","1,457"
2021년07월_여_70~79세,"11,679","3,234","1,401",835,403,832,114,150,828,733,460,"1,070","1,001",618
2021년07월_여_80~89세,"5,478","1,415",734,516,284,384,81,89,397,325,156,459,406,232
2021년07월_여_90~99세,"1,009",269,130,81,51,79,15,25,67,51,39,65,83,54
2021년07월_여_100세 이상,40,9,3,1,4,2,0,1,2,4,4,5,3,2
