카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년06월_계_총인구수,"21,880","7,327","2,077","2,309","4,374","2,079","2,137","1,577"
2021년06월_계_연령구간인구수,"21,880","7,327","2,077","2,309","4,374","2,079","2,137","1,577"
2021년06월_계_0~9세,"1,075",524,66,64,230,47,77,67
2021년06월_계_10~19세,"1,647",738,114,124,355,95,135,86
2021년06월_계_20~29세,"1,611",642,125,135,363,124,146,76
2021년06월_계_30~39세,"1,480",646,111,115,306,107,116,79
2021년06월_계_40~49세,"2,481","1,004",182,195,548,176,223,153
2021년06월_계_50~59세,"3,634","1,138",346,371,760,361,396,262
2021년06월_계_60~69세,"4,342","1,218",405,558,823,509,438,391
2021년06월_계_70~79세,"3,096",833,375,424,540,363,334,227
2021년06월_계_80~89세,"2,200",514,304,279,401,254,243,205
2021년06월_계_90~99세,303,68,48,41,47,41,28,30
2021년06월_계_100세 이상,11,2,1,3,1,2,1,1
2021년06월_남_총인구수,"10,922","3,628","1,041","1,169","2,216","1,025","1,050",793
2021년06월_남_연령구간인구수,"10,922","3,628","1,041","1,169","2,216","1,025","1,050",793
2021년06월_남_0~9세,562,278,36,39,118,21,42,28
2021년06월_남_10~19세,837,350,63,69,199,49,63,44
2021년06월_남_20~29세,913,354,78,73,210,74,80,44
2021년06월_남_30~39세,773,320,66,69,155,64,62,37
2021년06월_남_40~49세,"1,399",546,112,120,294,99,126,102
2021년06월_남_50~59세,"2,049",635,196,211,428,208,226,145
2021년06월_남_60~69세,"2,227",595,206,291,432,260,225,218
2021년06월_남_70~79세,"1,369",355,172,195,249,155,139,104
2021년06월_남_80~89세,718,182,93,96,120,84,82,61
2021년06월_남_90~99세,74,12,19,6,11,11,5,10
2021년06월_남_100세 이상,1,1,0,0,0,0,0,0
2021년06월_여_총인구수,"10,958","3,699","1,036","1,140","2,158","1,054","1,087",784
2021년06월_여_연령구간인구수,"10,958","3,699","1,036","1,140","2,158","1,054","1,087",784
2021년06월_여_0~9세,513,246,30,25,112,26,35,39
2021년06월_여_10~19세,810,388,51,55,156,46,72,42
2021년06월_여_20~29세,698,288,47,62,153,50,66,32
2021년06월_여_30~39세,707,326,45,46,151,43,54,42
2021년06월_여_40~49세,"1,082",458,70,75,254,77,97,51
2021년06월_여_50~59세,"1,585",503,150,160,332,153,170,117
2021년06월_여_60~69세,"2,115",623,199,267,391,249,213,173
2021년06월_여_70~79세,"1,727",478,203,229,291,208,195,123
2021년06월_여_80~89세,"1,482",332,211,183,281,170,161,144
2021년06월_여_90~99세,229,56,29,35,36,30,23,20
2021년06월_여_100세 이상,10,1,1,3,1,2,1,1
