카테고리,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2021년10월_계_총인구수,"266,912","32,663","9,598","24,802","19,844","14,748","38,592","10,646","27,520","17,512","14,670","27,256","14,165","14,896"
2021년10월_계_연령구간인구수,"266,912","32,663","9,598","24,802","19,844","14,748","38,592","10,646","27,520","17,512","14,670","27,256","14,165","14,896"
2021년10월_계_0~9세,"18,749","2,550",318,"2,514","1,003",802,"2,503",780,"2,486","1,461",781,"1,777",952,822
2021년10월_계_10~19세,"24,587","2,799",584,"3,301","1,120","1,400","2,807",994,"4,004","1,827",951,"2,778","1,028",994
2021년10월_계_20~29세,"31,460","3,764","1,014","2,440","3,185","1,681","5,325","1,248","3,067","1,811","1,626","3,021","1,529","1,749"
2021년10월_계_30~39세,"31,802","4,225",832,"2,881","3,324","1,343","5,215","1,307","2,607","1,871","1,671","3,018","1,661","1,847"
2021년10월_계_40~49세,"42,352","5,027","1,164","5,043","3,031","2,051","5,585","1,745","5,512","3,189","1,962","4,223","1,936","1,884"
2021년10월_계_50~59세,"43,430","5,245","1,674","3,654","3,045","2,428","6,498","1,651","4,550","2,610","2,486","4,673","2,389","2,527"
2021년10월_계_60~69세,"41,866","5,102","2,012","2,733","2,680","2,594","6,155","1,522","3,289","2,565","2,882","4,592","2,664","3,076"
2021년10월_계_70~79세,"22,699","2,727","1,298","1,524","1,644","1,583","3,187",922,"1,470","1,565","1,617","2,270","1,437","1,455"
2021년10월_계_80~89세,"8,804","1,088",597,627,724,740,"1,170",427,468,554,617,799,511,482
2021년10월_계_90~99세,"1,097",134,83,84,80,119,143,48,66,59,70,98,54,59
2021년10월_계_100세 이상,66,2,22,1,8,7,4,2,1,0,7,7,4,1
2021년10월_남_총인구수,"129,758","15,850","4,661","12,192","9,393","7,080","18,916","5,103","13,274","8,685","7,216","13,263","6,850","7,275"
2021년10월_남_연령구간인구수,"129,758","15,850","4,661","12,192","9,393","7,080","18,916","5,103","13,274","8,685","7,216","13,263","6,850","7,275"
2021년10월_남_0~9세,"9,678","1,278",170,"1,318",506,385,"1,283",405,"1,254",826,423,919,480,431
2021년10월_남_10~19세,"12,783","1,503",309,"1,817",559,726,"1,482",473,"1,925","1,032",505,"1,434",488,530
2021년10월_남_20~29세,"16,406","2,001",550,"1,254","1,411",916,"2,722",658,"1,659",953,858,"1,646",816,962
2021년10월_남_30~39세,"15,983","2,092",464,"1,346","1,676",708,"2,707",647,"1,231",889,881,"1,522",832,988
2021년10월_남_40~49세,"20,770","2,516",617,"2,413","1,462",970,"2,786",847,"2,539","1,604","1,013","2,032","1,010",961
2021년10월_남_50~59세,"20,714","2,442",823,"1,810","1,498","1,150","3,046",816,"2,242","1,298","1,194","2,174","1,100","1,121"
2021년10월_남_60~69세,"19,360","2,322",949,"1,275","1,260","1,200","2,888",663,"1,571","1,163","1,329","2,141","1,222","1,377"
2021년10월_남_70~79세,"10,416","1,251",547,690,716,700,"1,455",413,694,701,750,"1,088",686,725
2021년10월_남_80~89세,"3,388",414,214,251,281,293,505,172,154,212,246,281,203,162
2021년10월_남_90~99세,247,31,18,18,22,28,42,8,5,7,14,25,11,18
2021년10월_남_100세 이상,13,0,0,0,2,4,0,1,0,0,3,1,2,0
2021년10월_여_총인구수,"137,154","16,813","4,937","12,610","10,451","7,668","19,676","5,543","14,246","8,827","7,454","13,993","7,315","7,621"
2021년10월_여_연령구간인구수,"137,154","16,813","4,937","12,610","10,451","7,668","19,676","5,543","14,246","8,827","7,454","13,993","7,315","7,621"
2021년10월_여_0~9세,"9,071","1,272",148,"1,196",497,417,"1,220",375,"1,232",635,358,858,472,391
2021년10월_여_10~19세,"11,804","1,296",275,"1,484",561,674,"1,325",521,"2,079",795,446,"1,344",540,464
2021년10월_여_20~29세,"15,054","1,763",464,"1,186","1,774",765,"2,603",590,"1,408",858,768,"1,375",713,787
2021년10월_여_30~39세,"15,819","2,133",368,"1,535","1,648",635,"2,508",660,"1,376",982,790,"1,496",829,859
2021년10월_여_40~49세,"21,582","2,511",547,"2,630","1,569","1,081","2,799",898,"2,973","1,585",949,"2,191",926,923
2021년10월_여_50~59세,"22,716","2,803",851,"1,844","1,547","1,278","3,452",835,"2,308","1,312","1,292","2,499","1,289","1,406"
2021년10월_여_60~69세,"22,506","2,780","1,063","1,458","1,420","1,394","3,267",859,"1,718","1,402","1,553","2,451","1,442","1,699"
2021년10월_여_70~79세,"12,283","1,476",751,834,928,883,"1,732",509,776,864,867,"1,182",751,730
2021년10월_여_80~89세,"5,416",674,383,376,443,447,665,255,314,342,371,518,308,320
2021년10월_여_90~99세,850,103,65,66,58,91,101,40,61,52,56,73,43,41
2021년10월_여_100세 이상,53,2,22,1,6,3,4,1,1,0,4,6,2,1
