카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년09월_계_총인구수,"108,963","5,602","4,298","2,894","2,102","2,822","1,800","1,834","2,118","2,603","3,464","2,811","1,698","2,360","1,237","2,150","17,586","3,033","20,623","3,465","10,399","6,042","4,178","3,844"
2020년09월_계_연령구간인구수,"108,963","5,602","4,298","2,894","2,102","2,822","1,800","1,834","2,118","2,603","3,464","2,811","1,698","2,360","1,237","2,150","17,586","3,033","20,623","3,465","10,399","6,042","4,178","3,844"
2020년09월_계_0~9세,"6,535",261,188,58,62,75,49,53,41,80,76,53,53,95,36,62,"1,484",161,"1,660",172,"1,004",465,204,143
2020년09월_계_10~19세,"9,753",382,281,161,79,105,80,102,104,121,153,67,69,152,49,96,"2,027",298,"2,755",272,"1,314",521,335,230
2020년09월_계_20~29세,"10,639",386,394,204,128,161,113,144,123,171,249,141,89,159,74,118,"2,217",345,"2,469",354,"1,190",607,422,381
2020년09월_계_30~39세,"9,004",390,307,152,115,212,89,91,104,147,150,170,108,111,50,104,"1,945",232,"1,924",275,"1,105",640,299,284
2020년09월_계_40~49세,"15,024",664,475,243,186,259,155,175,185,244,361,230,148,259,95,214,"3,189",478,"3,452",384,"1,715",950,516,447
2020년09월_계_50~59세,"18,571",926,850,575,367,446,274,365,345,453,598,458,284,392,248,369,"2,954",546,"3,390",563,"1,706",986,797,679
2020년09월_계_60~69세,"16,661",998,761,557,397,602,372,352,407,515,697,662,328,436,277,439,"1,920",410,"2,460",620,"1,176",873,738,664
2020년09월_계_70~79세,"13,370",936,583,501,413,536,378,303,424,480,616,578,338,429,246,421,"1,210",342,"1,616",510,780,671,499,560
2020년09월_계_80~89세,"8,133",574,401,384,314,373,244,213,335,346,492,393,234,292,137,288,550,196,767,246,359,276,326,393
2020년09월_계_90~99세,"1,162",77,53,59,39,48,44,35,49,43,70,55,46,32,24,38,72,22,114,54,43,50,38,57
2020년09월_계_100세 이상,111,8,5,0,2,5,2,1,1,3,2,4,1,3,1,1,18,3,16,15,7,3,4,6
2020년09월_남_총인구수,"53,997","2,730","2,164","1,440","1,064","1,422",889,922,"1,054","1,293","1,714","1,402",844,"1,204",622,"1,076","8,900","1,498","9,944","1,665","5,138","3,023","2,020","1,969"
2020년09월_남_연령구간인구수,"53,997","2,730","2,164","1,440","1,064","1,422",889,922,"1,054","1,293","1,714","1,402",844,"1,204",622,"1,076","8,900","1,498","9,944","1,665","5,138","3,023","2,020","1,969"
2020년09월_남_0~9세,"3,338",130,93,28,37,39,29,29,22,45,43,26,24,43,17,30,764,73,822,84,535,242,108,75
2020년09월_남_10~19세,"5,190",228,153,83,46,48,41,55,63,54,77,39,35,95,28,45,"1,078",157,"1,400",144,753,266,175,127
2020년09월_남_20~29세,"5,852",214,219,128,80,113,67,81,79,100,143,80,50,95,45,64,"1,221",181,"1,286",202,644,320,231,209
