카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년08월_계_총인구수,"37,354","9,940","2,061","1,878","2,300","3,087","2,146","5,068","3,388","2,710","2,049","2,727"
2020년08월_계_연령구간인구수,"37,354","9,940","2,061","1,878","2,300","3,087","2,146","5,068","3,388","2,710","2,049","2,727"
2020년08월_계_0~9세,"1,266",630,51,33,33,83,50,125,82,65,45,69
2020년08월_계_10~19세,"2,044",933,126,50,93,142,98,206,120,111,62,103
2020년08월_계_20~29세,"2,905","1,270",121,106,129,214,132,267,198,211,116,141
2020년08월_계_30~39세,"2,411",985,100,87,95,189,119,240,185,156,119,136
2020년08월_계_40~49세,"3,884","1,504",183,155,194,308,194,399,292,264,171,220
2020년08월_계_50~59세,"7,296","1,635",416,424,448,685,439,"1,087",691,522,402,547
2020년08월_계_60~69세,"8,381","1,458",517,494,619,678,517,"1,337",889,619,558,695
2020년08월_계_70~79세,"5,418",958,298,294,399,480,340,874,510,450,341,474
2020년08월_계_80~89세,"3,278",511,214,206,252,277,222,456,363,282,193,302
2020년08월_계_90~99세,443,52,35,28,35,29,35,71,54,28,39,37
2020년08월_계_100세 이상,28,4,0,1,3,2,0,6,4,2,3,3
2020년08월_남_총인구수,"19,136","5,095","1,081",961,"1,191","1,544","1,076","2,604","1,727","1,397","1,054","1,406"
2020년08월_남_연령구간인구수,"19,136","5,095","1,081",961,"1,191","1,544","1,076","2,604","1,727","1,397","1,054","1,406"
2020년08월_남_0~9세,642,328,26,17,15,30,23,61,40,37,24,41
2020년08월_남_10~19세,"1,059",479,67,25,55,72,44,109,64,53,32,59
2020년08월_남_20~29세,"1,720",729,75,63,78,115,81,164,129,131,67,88
2020년08월_남_30~39세,"1,358",517,61,53,61,111,68,137,103,90,80,77
2020년08월_남_40~49세,"2,237",808,116,89,114,182,112,233,176,159,108,140
2020년08월_남_50~59세,"3,951",890,231,239,240,373,233,597,374,286,205,283
2020년08월_남_60~69세,"4,390",722,273,268,335,363,262,703,470,333,299,362
2020년08월_남_70~79세,"2,519",418,138,130,187,215,177,421,241,203,167,222
2020년08월_남_80~89세,"1,149",190,85,72,96,75,70,163,112,97,63,126
2020년08월_남_90~99세,104,13,9,5,9,8,6,15,17,7,9,6
2020년08월_남_100세 이상,7,1,0,0,1,0,0,1,1,1,0,2
2020년08월_여_총인구수,"18,218","4,845",980,917,"1,109","1,543","1,070","2,464","1,661","1,313",995,"1,321"
2020년08월_여_연령구간인구수,"18,218","4,845",980,917,"1,109","1,543","1,070","2,464","1,661","1,313",995,"1,321"
2020년08월_여_0~9세,624,302,25,16,18,53,27,64,42,28,21,28
2020년08월_여_10~19세,985,454,59,25,38,70,54,97,56,58,30,44
2020년08월_여_20~29세,"1,185",541,46,43,51,99,51,103,69,80,49,53
2020년08월_여_30~39세,"1,053",468,39,34,34,78,51,103,82,66,39,59
2020년08월_여_40~49세,"1,647",696,67,66,80,126,82,166,116,105,63,80
2020년08월_여_50~59세,"3,345",745,185,185,208,312,206,490,317,236,197,264
2020년08월_여_60~69세,"3,991",736,244,226,284,315,255,634,419,286,259,333
2020년08월_여_70~79세,"2,899",540,160,164,212,265,163,453,269,247,174,252
2020년08월_여_80~89세,"2,129",321,129,134,156,202,152,293,251,185,130,176
2020년08월_여_90~99세,339,39,26,23,26,21,29,56,37,21,30,31
2020년08월_여_100세 이상,21,3,0,1,2,2,0,5,3,1,3,1
