,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년03월_계_총인구수,"110,501","17,743","13,245","15,514","7,550","1,596","3,416","2,823","3,490","6,071","5,087","6,412","15,224","6,799","5,270",261
2021년03월_계_연령구간인구수,"110,501","17,743","13,245","15,514","7,550","1,596","3,416","2,823","3,490","6,071","5,087","6,412","15,224","6,799","5,270",261
2021년03월_계_0~9세,"7,990","1,336","1,413","1,908",636,38,85,69,75,163,223,433,983,335,290,3
2021년03월_계_10~19세,"10,154","1,811","1,510","2,043",630,41,143,78,137,292,296,499,"1,636",614,417,7
2021년03월_계_20~29세,"10,597","2,249","1,471","1,551",514,118,260,147,232,383,461,534,"1,561",698,409,9
2021년03월_계_30~39세,"11,629","2,268","1,905","2,283",826,91,180,126,157,419,438,665,"1,295",526,438,12
2021년03월_계_40~49세,"17,581","3,138","2,411","3,112","1,222",159,337,258,319,690,654,956,"2,465","1,139",691,30
2021년03월_계_50~59세,"18,382","3,022","1,987","1,892","1,181",278,608,530,670,"1,051",960,"1,112","2,874","1,274",897,46
2021년03월_계_60~69세,"16,794","2,061","1,309","1,352","1,245",400,752,692,773,"1,460","1,028","1,127","2,354","1,159","1,020",62
2021년03월_계_70~79세,"10,684","1,119",739,832,787,246,603,511,628,"1,073",669,748,"1,347",666,653,63
2021년03월_계_80~89세,"5,843",646,423,470,432,203,395,364,429,474,323,297,644,329,385,29
2021년03월_계_90~99세,822,89,76,70,75,22,48,46,68,65,35,38,64,58,68,0
2021년03월_계_100세 이상,25,4,1,1,2,0,5,2,2,1,0,3,1,1,2,0
2021년03월_남_총인구수,"55,785","9,270","6,669","8,091","3,792",844,"1,750","1,401","1,721","2,967","2,534","3,134","7,394","3,508","2,578",132
2021년03월_남_연령구간인구수,"55,785","9,270","6,669","8,091","3,792",844,"1,750","1,401","1,721","2,967","2,534","3,134","7,394","3,508","2,578",132
2021년03월_남_0~9세,"4,151",699,723,"1,017",306,24,53,42,39,85,115,220,515,158,153,2
2021년03월_남_10~19세,"5,234",888,798,"1,022",341,22,78,48,70,153,162,272,835,330,210,5
2021년03월_남_20~29세,"6,346","1,331",830,982,298,70,170,96,150,234,293,311,895,421,259,6
2021년03월_남_30~39세,"6,288","1,293",991,"1,212",432,57,105,68,89,256,252,348,647,306,226,6
2021년03월_남_40~49세,"9,347","1,709","1,199","1,631",680,101,204,167,204,403,369,505,"1,179",604,367,25
2021년03월_남_50~59세,"9,758","1,611","1,039","1,077",626,171,340,303,381,562,477,558,"1,442",693,450,28
2021년03월_남_60~69세,"8,111","1,040",649,644,595,214,384,345,376,665,475,500,"1,118",582,496,28
2021년03월_남_70~79세,"4,593",479,298,356,355,115,272,214,280,446,290,317,555,298,292,26
2021년03월_남_80~89세,"1,822",204,129,140,145,64,130,110,124,155,96,95,201,106,117,6
2021년03월_남_90~99세,128,16,13,10,13,6,13,7,7,8,5,7,7,9,7,0
2021년03월_남_100세 이상,7,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0
2021년03월_여_총인구수,"54,716","8,473","6,576","7,423","3,758",752,"1,666","1,422","1,769","3,104","2,553","3,278","7,830","3,291","2,692",129
2021년03월_여_연령구간인구수,"54,716","8,473","6,576","7,423","3,758",752,"1,666","1,422","1,769","3,104","2,553","3,278","7,830","3,291","2,692",129
2021년03월_여_0~9세,"3,839",637,690,891,330,14,32,27,36,78,108,213,468,177,137,1
2021년03월_여_10~19세,"4,920",923,712,"1,021",289,19,65,30,67,139,134,227,801,284,207,2
2021년03월_여_20~29세,"4,251",918,641,569,216,48,90,51,82,149,168,223,666,277,150,3
2021년03월_여_30~39세,"5,341",975,914,"1,071",394,34,75,58,68,163,186,317,648,220,212,6
2021년03월_여_40~49세,"8,234","1,429","1,212","1,481",542,58,133,91,115,287,285,451,"1,286",535,324,5
2021년03월_여_50~59세,"8,624","1,411",948,815,555,107,268,227,289,489,483,554,"1,432",581,447,18
2021년03월_여_60~69세,"8,683","1,021",660,708,650,186,368,347,397,795,553,627,"1,236",577,524,34
2021년03월_여_70~79세,"6,091",640,441,476,432,131,331,297,348,627,379,431,792,368,361,37
2021년03월_여_80~89세,"4,021",442,294,330,287,139,265,254,305,319,227,202,443,223,268,23
2021년03월_여_90~99세,694,73,63,60,62,16,35,39,61,57,30,31,57,49,61,0
2021년03월_여_100세 이상,18,4,1,1,1,0,4,1,1,1,0,2,1,0,1,0
