카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2021년05월_계_총인구수,"362,036","362,036"
2021년05월_계_연령구간인구수,"362,036","362,036"
2021년05월_계_0~9세,"47,074","47,074"
2021년05월_계_10~19세,"43,846","43,846"
2021년05월_계_20~29세,"38,094","38,094"
2021년05월_계_30~39세,"61,318","61,318"
2021년05월_계_40~49세,"70,319","70,319"
2021년05월_계_50~59세,"46,469","46,469"
2021년05월_계_60~69세,"31,833","31,833"
2021년05월_계_70~79세,"14,457","14,457"
2021년05월_계_80~89세,"7,321","7,321"
2021년05월_계_90~99세,"1,268","1,268"
2021년05월_계_100세 이상,37,37
2021년05월_남_총인구수,"180,778","180,778"
2021년05월_남_연령구간인구수,"180,778","180,778"
2021년05월_남_0~9세,"24,055","24,055"
2021년05월_남_10~19세,"22,029","22,029"
2021년05월_남_20~29세,"19,507","19,507"
2021년05월_남_30~39세,"29,930","29,930"
2021년05월_남_40~49세,"35,768","35,768"
2021년05월_남_50~59세,"24,260","24,260"
2021년05월_남_60~69세,"15,768","15,768"
2021년05월_남_70~79세,"6,693","6,693"
2021년05월_남_80~89세,"2,498","2,498"
2021년05월_남_90~99세,262,262
2021년05월_남_100세 이상,8,8
2021년05월_여_총인구수,"181,258","181,258"
2021년05월_여_연령구간인구수,"181,258","181,258"
2021년05월_여_0~9세,"23,019","23,019"
2021년05월_여_10~19세,"21,817","21,817"
2021년05월_여_20~29세,"18,587","18,587"
2021년05월_여_30~39세,"31,388","31,388"
2021년05월_여_40~49세,"34,551","34,551"
2021년05월_여_50~59세,"22,209","22,209"
2021년05월_여_60~69세,"16,065","16,065"
2021년05월_여_70~79세,"7,764","7,764"
2021년05월_여_80~89세,"4,823","4,823"
2021년05월_여_90~99세,"1,006","1,006"
2021년05월_여_100세 이상,29,29
