카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년02월_계_총인구수,"24,230","9,549","2,291","4,033","2,599","4,342","1,416"
2020년02월_계_연령구간인구수,"24,230","9,549","2,291","4,033","2,599","4,342","1,416"
2020년02월_계_0~9세,"1,269",775,65,195,67,139,28
2020년02월_계_10~19세,"1,841",975,115,295,120,276,60
2020년02월_계_20~29세,"1,899",907,159,333,153,277,70
2020년02월_계_30~39세,"1,764",931,131,260,131,246,65
2020년02월_계_40~49세,"2,964","1,472",203,526,244,406,113
2020년02월_계_50~59세,"4,279","1,488",474,785,460,811,261
2020년02월_계_60~69세,"4,216","1,257",483,724,537,877,338
2020년02월_계_70~79세,"3,411","1,012",384,533,478,725,279
2020년02월_계_80~89세,"2,252",609,250,342,362,515,174
2020년02월_계_90~99세,320,115,26,40,45,66,28
2020년02월_계_100세 이상,15,8,1,0,2,4,0
2020년02월_남_총인구수,"12,047","4,760","1,130","2,032","1,275","2,156",694
2020년02월_남_연령구간인구수,"12,047","4,760","1,130","2,032","1,275","2,156",694
2020년02월_남_0~9세,678,414,37,117,30,67,13
2020년02월_남_10~19세,938,493,65,153,58,139,30
2020년02월_남_20~29세,"1,051",500,83,179,89,159,41
2020년02월_남_30~39세,957,474,77,146,75,147,38
2020년02월_남_40~49세,"1,671",776,120,309,147,246,73
2020년02월_남_50~59세,"2,342",834,240,424,261,443,140
2020년02월_남_60~69세,"2,137",599,250,370,276,462,180
2020년02월_남_70~79세,"1,421",441,169,208,195,295,113
2020년02월_남_80~89세,775,207,81,120,130,179,58
2020년02월_남_90~99세,72,21,7,6,13,17,8
2020년02월_남_100세 이상,5,1,1,0,1,2,0
2020년02월_여_총인구수,"12,183","4,789","1,161","2,001","1,324","2,186",722
2020년02월_여_연령구간인구수,"12,183","4,789","1,161","2,001","1,324","2,186",722
2020년02월_여_0~9세,591,361,28,78,37,72,15
2020년02월_여_10~19세,903,482,50,142,62,137,30
2020년02월_여_20~29세,848,407,76,154,64,118,29
2020년02월_여_30~39세,807,457,54,114,56,99,27
2020년02월_여_40~49세,"1,293",696,83,217,97,160,40
2020년02월_여_50~59세,"1,937",654,234,361,199,368,121
2020년02월_여_60~69세,"2,079",658,233,354,261,415,158
2020년02월_여_70~79세,"1,990",571,215,325,283,430,166
2020년02월_여_80~89세,"1,477",402,169,222,232,336,116
2020년02월_여_90~99세,248,94,19,34,32,49,20
2020년02월_여_100세 이상,10,7,0,0,1,2,0
