카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년05월_계_총인구수,"94,336","17,133","20,468","2,943","3,062","13,164","15,725","7,082","4,599","10,160"
2020년05월_계_연령구간인구수,"94,336","17,133","20,468","2,943","3,062","13,164","15,725","7,082","4,599","10,160"
2020년05월_계_0~9세,"6,368",961,"1,463",54,66,"1,637","1,196",274,187,530
2020년05월_계_10~19세,"7,906","1,450","2,104",121,128,997,"1,614",461,233,798
2020년05월_계_20~29세,"9,682","1,741","2,294",171,185,"1,455","1,790",642,365,"1,039"
2020년05월_계_30~39세,"10,197","1,593","2,187",177,173,"2,439","1,759",625,331,913
2020년05월_계_40~49세,"14,068","2,393","3,412",236,233,"2,202","2,865",908,502,"1,317"
2020년05월_계_50~59세,"17,883","3,291","3,927",541,560,"1,822","3,177","1,596",948,"2,021"
2020년05월_계_60~69세,"14,626","2,944","2,724",689,775,"1,441","1,872","1,350",996,"1,835"
2020년05월_계_70~79세,"8,258","1,746","1,443",534,548,723,889,728,602,"1,045"
2020년05월_계_80~89세,"4,603",875,790,372,335,365,490,430,376,570
2020년05월_계_90~99세,691,132,109,46,57,67,72,64,55,89
2020년05월_계_100세 이상,54,7,15,2,2,16,1,4,4,3
2020년05월_남_총인구수,"49,965","8,754","10,889","1,512","1,593","7,048","8,558","3,920","2,512","5,179"
2020년05월_남_연령구간인구수,"49,965","8,754","10,889","1,512","1,593","7,048","8,558","3,920","2,512","5,179"
2020년05월_남_0~9세,"3,305",488,763,29,33,858,615,162,99,258
2020년05월_남_10~19세,"4,135",738,"1,161",66,79,507,841,251,111,381
2020년05월_남_20~29세,"5,645",990,"1,376",103,105,772,"1,069",395,242,593
2020년05월_남_30~39세,"5,694",883,"1,198",108,103,"1,307","1,019",385,200,491
2020년05월_남_40~49세,"7,904","1,284","1,860",154,155,"1,244","1,568",582,321,736
2020년05월_남_50~59세,"9,909","1,756","2,189",296,307,991,"1,846",912,544,"1,068"
2020년05월_남_60~69세,"7,742","1,485","1,402",366,426,831,"1,007",738,548,939
2020년05월_남_70~79세,"3,871",800,633,241,262,366,410,340,303,516
2020년05월_남_80~89세,"1,570",287,280,141,107,144,165,139,129,178
2020년05월_남_90~99세,165,40,24,8,15,14,18,14,13,19
2020년05월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년05월_여_총인구수,"44,371","8,379","9,579","1,431","1,469","6,116","7,167","3,162","2,087","4,981"
2020년05월_여_연령구간인구수,"44,371","8,379","9,579","1,431","1,469","6,116","7,167","3,162","2,087","4,981"
2020년05월_여_0~9세,"3,063",473,700,25,33,779,581,112,88,272
2020년05월_여_10~19세,"3,771",712,943,55,49,490,773,210,122,417
2020년05월_여_20~29세,"4,037",751,918,68,80,683,721,247,123,446
2020년05월_여_30~39세,"4,503",710,989,69,70,"1,132",740,240,131,422
2020년05월_여_40~49세,"6,164","1,109","1,552",82,78,958,"1,297",326,181,581
2020년05월_여_50~59세,"7,974","1,535","1,738",245,253,831,"1,331",684,404,953
2020년05월_여_60~69세,"6,884","1,459","1,322",323,349,610,865,612,448,896
2020년05월_여_70~79세,"4,387",946,810,293,286,357,479,388,299,529
2020년05월_여_80~89세,"3,033",588,510,231,228,221,325,291,247,392
2020년05월_여_90~99세,526,92,85,38,42,53,54,50,42,70
2020년05월_여_100세 이상,29,4,12,2,1,2,1,2,2,3
