카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년12월_계_총인구수,"224,044","10,764","5,252","4,712","8,643","9,817","13,240","5,195","7,850","5,551","6,153","2,988","4,449","3,249","9,461","17,444","10,878","20,957","11,916","16,787","4,877","11,512","8,896","23,453"
2020년12월_계_연령구간인구수,"224,044","10,764","5,252","4,712","8,643","9,817","13,240","5,195","7,850","5,551","6,153","2,988","4,449","3,249","9,461","17,444","10,878","20,957","11,916","16,787","4,877","11,512","8,896","23,453"
2020년12월_계_0~9세,"18,295",483,227,164,603,"1,374",996,493,234,205,421,59,144,139,711,"1,860",993,"1,849",841,"1,328",417,"1,155",742,"2,857"
2020년12월_계_10~19세,"24,511",730,320,307,932,"1,140","1,540",467,426,341,606,140,209,241,"1,014","2,454","1,453","2,346","1,152","1,880",532,"1,596",946,"3,739"
2020년12월_계_20~29세,"27,134","1,120",550,410,"1,018","1,295","1,799",519,728,532,699,204,522,319,"1,142","1,785","1,162","2,444","2,152","2,611",548,"1,512","1,228","2,835"
2020년12월_계_30~39세,"25,751","1,009",457,361,913,"1,657","1,384",734,633,458,638,206,303,251,993,"2,185","1,209","2,492","1,627","1,984",558,"1,464","1,130","3,105"
2020년12월_계_40~49세,"37,381","1,395",709,641,"1,342","1,725","2,241",821,"1,022",730,941,414,534,445,"1,527","3,276","1,875","3,505","2,087","2,741",820,"2,138","1,526","4,926"
2020년12월_계_50~59세,"36,297","1,797",850,825,"1,438","1,211","2,379",801,"1,369",893,944,540,728,532,"1,634","2,494","1,636","3,411","1,960","3,122",773,"1,838","1,647","3,475"
2020년12월_계_60~69세,"28,933","2,087","1,082",861,"1,242",818,"1,596",690,"1,526","1,090","1,001",682,869,578,"1,379","1,795","1,395","2,728","1,248","1,923",659,"1,065",974,"1,645"
2020년12월_계_70~79세,"17,606","1,493",784,779,782,407,890,443,"1,307",930,649,510,750,506,736,"1,059",770,"1,474",566,792,390,490,471,628
2020년12월_계_80~89세,"7,096",570,230,321,323,161,368,205,502,338,236,199,346,208,294,472,334,607,246,356,156,222,204,198
2020년12월_계_90~99세,958,75,38,39,46,27,40,18,94,32,18,28,35,25,31,61,47,95,35,48,24,30,27,45
2020년12월_계_100세 이상,82,5,5,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020년12월_남_총인구수,"111,578","5,389","2,645","2,380","4,202","4,845","6,532","2,552","4,006","2,909","3,032","1,589","2,392","1,687","4,749","8,594","5,357","10,247","6,145","8,388","2,443","5,528","4,331","11,636"
2020년12월_남_연령구간인구수,"111,578","5,389","2,645","2,380","4,202","4,845","6,532","2,552","4,006","2,909","3,032","1,589","2,392","1,687","4,749","8,594","5,357","10,247","6,145","8,388","2,443","5,528","4,331","11,636"
2020년12월_남_0~9세,"9,425",264,118,78,290,719,520,268,113,104,216,27,73,65,393,958,538,971,433,681,198,574,361,"1,463"
2020년12월_남_10~19세,"12,552",354,164,154,483,581,785,230,220,178,286,77,113,121,508,"1,256",738,"1,201",644,997,289,785,503,"1,885"
2020년12월_남_20~29세,"14,655",631,323,222,537,648,"1,012",264,399,303,376,110,356,186,634,985,632,"1,292","1,086","1,409",283,779,635,"1,553"
2020년12월_남_30~39세,"13,268",577,248,222,490,819,731,362,367,272,347,129,187,153,530,"1,059",585,"1,302",883,"1,019",288,681,577,"1,440"
2020년12월_남_40~49세,"19,277",791,423,409,681,871,"1,115",436,591,456,514,272,362,260,821,"1,664",939,"1,717","1,107","1,323",429,966,760,"2,370"
2020년12월_남_50~59세,"18,198",924,434,462,679,593,"1,180",406,755,497,439,330,445,315,786,"1,219",775,"1,606","1,038","1,491",397,903,768,"1,756"
2020년12월_남_60~69세,"13,790",944,491,398,568,368,727,332,758,500,451,341,435,299,640,819,650,"1,322",621,981,328,513,463,841
2020년12월_남_70~79세,"7,807",670,364,321,359,193,354,189,591,437,309,219,315,213,328,453,365,655,256,353,178,224,187,274
2020년12월_남_80~89세,"2,393",216,74,100,106,49,99,61,188,150,91,78,99,69,104,161,130,162,70,125,50,95,70,46
2020년12월_남_90~99세,197,15,6,12,9,3,8,3,22,11,3,4,7,4,5,20,5,19,7,9,3,8,6,8
2020년12월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020년12월_여_총인구수,"112,466","5,375","2,607","2,332","4,441","4,972","6,708","2,643","3,844","2,642","3,121","1,399","2,057","1,562","4,712","8,850","5,521","10,710","5,771","8,399","2,434","5,984","4,565","11,817"
2020년12월_여_연령구간인구수,"112,466","5,375","2,607","2,332","4,441","4,972","6,708","2,643","3,844","2,642","3,121","1,399","2,057","1,562","4,712","8,850","5,521","10,710","5,771","8,399","2,434","5,984","4,565","11,817"
2020년12월_여_0~9세,"8,870",219,109,86,313,655,476,225,121,101,205,32,71,74,318,902,455,878,408,647,219,581,381,"1,394"
2020년12월_여_10~19세,"11,959",376,156,153,449,559,755,237,206,163,320,63,96,120,506,"1,198",715,"1,145",508,883,243,811,443,"1,854"
2020년12월_여_20~29세,"12,479",489,227,188,481,647,787,255,329,229,323,94,166,133,508,800,530,"1,152","1,066","1,202",265,733,593,"1,282"
2020년12월_여_30~39세,"12,483",432,209,139,423,838,653,372,266,186,291,77,116,98,463,"1,126",624,"1,190",744,965,270,783,553,"1,665"
2020년12월_여_40~49세,"18,104",604,286,232,661,854,"1,126",385,431,274,427,142,172,185,706,"1,612",936,"1,788",980,"1,418",391,"1,172",766,"2,556"
2020년12월_여_50~59세,"18,099",873,416,363,759,618,"1,199",395,614,396,505,210,283,217,848,"1,275",861,"1,805",922,"1,631",376,935,879,"1,719"
2020년12월_여_60~69세,"15,143","1,143",591,463,674,450,869,358,768,590,550,341,434,279,739,976,745,"1,406",627,942,331,552,511,804
2020년12월_여_70~79세,"9,799",823,420,458,423,214,536,254,716,493,340,291,435,293,408,606,405,819,310,439,212,266,284,354
2020년12월_여_80~89세,"4,703",354,156,221,217,112,269,144,314,188,145,121,247,139,190,311,204,445,176,231,106,127,134,152
2020년12월_여_90~99세,761,60,32,27,37,24,32,15,72,21,15,24,28,21,26,41,42,76,28,39,21,22,21,37
2020년12월_여_100세 이상,66,2,5,2,4,1,6,3,7,1,0,4,9,3,0,3,4,6,2,2,0,2,0,0
