카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년10월_계_총인구수,"90,626","30,907","4,109","19,324","5,187","5,212","3,581","3,193","12,498","3,656","2,959"
2020년10월_계_연령구간인구수,"90,626","30,907","4,109","19,324","5,187","5,212","3,581","3,193","12,498","3,656","2,959"
2020년10월_계_0~9세,"6,727","2,866",177,"1,518",193,313,113,105,"1,160",177,105
2020년10월_계_10~19세,"8,816","3,318",248,"2,566",347,469,169,165,"1,141",191,202
2020년10월_계_20~29세,"9,379","3,410",575,"2,181",473,493,278,202,"1,273",275,219
2020년10월_계_30~39세,"9,305","3,757",319,"1,942",377,449,224,191,"1,521",310,215
2020년10월_계_40~49세,"14,653","5,220",549,"3,752",710,741,426,411,"2,053",445,346
2020년10월_계_50~59세,"15,641","5,110",722,"3,461",939,952,607,499,"2,144",639,568
2020년10월_계_60~69세,"13,759","4,380",722,"2,159","1,101",864,797,702,"1,704",725,605
2020년10월_계_70~79세,"8,085","1,917",492,"1,193",706,657,629,579,927,546,439
2020년10월_계_80~89세,"3,702",811,259,479,292,250,290,298,507,297,219
2020년10월_계_90~99세,529,117,45,73,45,18,44,36,66,46,39
2020년10월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년10월_남_총인구수,"45,947","15,361","2,251","9,998","2,539","2,637","1,803","1,573","6,411","1,828","1,546"
2020년10월_남_연령구간인구수,"45,947","15,361","2,251","9,998","2,539","2,637","1,803","1,573","6,411","1,828","1,546"
2020년10월_남_0~9세,"3,474","1,479",87,793,107,154,54,61,600,83,56
2020년10월_남_10~19세,"4,590","1,659",144,"1,380",181,249,89,90,586,101,111
2020년10월_남_20~29세,"5,511","1,964",401,"1,296",266,280,178,104,724,164,134
2020년10월_남_30~39세,"4,962","1,956",195,"1,018",197,247,143,110,807,163,126
2020년10월_남_40~49세,"7,601","2,560",321,"1,845",385,420,252,243,"1,103",259,213
2020년10월_남_50~59세,"8,089","2,425",403,"1,868",458,509,324,284,"1,135",344,339
2020년10월_남_60~69세,"6,643","2,132",355,"1,041",526,392,353,322,852,360,310
2020년10월_남_70~79세,"3,651",883,230,566,310,289,301,225,427,240,180
2020년10월_남_80~89세,"1,306",279,104,176,99,91,95,121,168,102,71
2020년10월_남_90~99세,111,24,10,15,8,5,13,13,9,9,5
2020년10월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년10월_여_총인구수,"44,679","15,546","1,858","9,326","2,648","2,575","1,778","1,620","6,087","1,828","1,413"
2020년10월_여_연령구간인구수,"44,679","15,546","1,858","9,326","2,648","2,575","1,778","1,620","6,087","1,828","1,413"
2020년10월_여_0~9세,"3,253","1,387",90,725,86,159,59,44,560,94,49
2020년10월_여_10~19세,"4,226","1,659",104,"1,186",166,220,80,75,555,90,91
2020년10월_여_20~29세,"3,868","1,446",174,885,207,213,100,98,549,111,85
2020년10월_여_30~39세,"4,343","1,801",124,924,180,202,81,81,714,147,89
2020년10월_여_40~49세,"7,052","2,660",228,"1,907",325,321,174,168,950,186,133
2020년10월_여_50~59세,"7,552","2,685",319,"1,593",481,443,283,215,"1,009",295,229
2020년10월_여_60~69세,"7,116","2,248",367,"1,118",575,472,444,380,852,365,295
2020년10월_여_70~79세,"4,434","1,034",262,627,396,368,328,354,500,306,259
2020년10월_여_80~89세,"2,396",532,155,303,193,159,195,177,339,195,148
2020년10월_여_90~99세,418,93,35,58,37,13,31,23,57,37,34
2020년10월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
