카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년08월_계_총인구수,"166,805","8,861","30,321","5,359","9,680","2,413","3,626","3,532","5,034","5,085","15,440","11,699","24,782","22,954","18,019"
2021년08월_계_연령구간인구수,"166,805","8,861","30,321","5,359","9,680","2,413","3,626","3,532","5,034","5,085","15,440","11,699","24,782","22,954","18,019"
2021년08월_계_0~9세,"14,856",302,"3,788",155,380,59,104,91,153,171,"1,346","1,061","2,446","2,890","1,910"
2021년08월_계_10~19세,"15,738",560,"2,688",273,474,84,181,188,303,305,"1,809",978,"2,558","2,645","2,692"
2021년08월_계_20~29세,"15,943",651,"2,274",386,902,132,288,211,337,377,"1,374",985,"3,458","2,409","2,159"
2021년08월_계_30~39세,"22,022",661,"5,184",280,"1,084",129,205,224,266,303,"1,504","1,838","4,416","3,632","2,296"
2021년08월_계_40~49세,"26,905","1,090","5,519",522,"1,325",195,312,347,499,564,"2,562","2,014","4,359","4,058","3,539"
2021년08월_계_50~59세,"26,204","1,504","4,539",910,"1,951",341,584,638,929,825,"2,490","1,853","3,534","3,271","2,835"
2021년08월_계_60~69세,"22,415","1,841","3,450","1,258","1,847",635,860,841,"1,109","1,112","2,162","1,490","2,235","2,193","1,382"
2021년08월_계_70~79세,"13,309","1,292","1,720",860,998,488,603,578,778,807,"1,309",851,"1,167","1,139",719
2021년08월_계_80~89세,"8,184",824,"1,021",613,623,304,419,349,569,551,771,551,536,628,425
2021년08월_계_90~99세,"1,179",129,136,97,90,43,69,65,87,69,110,75,71,78,60
2021년08월_계_100세 이상,50,7,2,5,6,3,1,0,4,1,3,3,2,11,2
2021년08월_남_총인구수,"88,687","4,667","16,797","2,740","5,715","1,211","1,856","1,813","2,536","2,549","7,871","6,699","13,219","11,708","9,306"
2021년08월_남_연령구간인구수,"88,687","4,667","16,797","2,740","5,715","1,211","1,856","1,813","2,536","2,549","7,871","6,699","13,219","11,708","9,306"
2021년08월_남_0~9세,"7,551",167,"1,944",83,191,37,43,42,68,77,685,516,"1,225","1,506",967
2021년08월_남_10~19세,"8,278",314,"1,413",140,256,46,91,100,163,169,921,512,"1,339","1,390","1,424"
2021년08월_남_20~29세,"9,321",385,"1,344",214,623,81,174,135,184,232,779,632,"2,004","1,292","1,242"
2021년08월_남_30~39세,"12,609",408,"2,907",156,748,80,124,128,154,174,785,"1,200","2,615","1,917","1,213"
2021년08월_남_40~49세,"15,127",663,"3,349",307,914,123,178,206,295,323,"1,359","1,275","2,325","2,072","1,738"
2021년08월_남_50~59세,"14,779",863,"2,744",529,"1,238",176,318,354,509,449,"1,382","1,138","1,842","1,722","1,515"
2021년08월_남_60~69세,"11,548",910,"1,864",640,"1,031",310,456,420,559,561,"1,079",814,"1,140","1,067",697
2021년08월_남_70~79세,"6,261",607,844,413,470,235,298,297,382,360,587,385,517,520,346
2021년08월_남_80~89세,"2,913",312,352,233,223,112,161,119,195,182,270,207,193,212,142
2021년08월_남_90~99세,292,38,36,24,19,10,13,12,27,21,23,20,19,9,21
2021년08월_남_100세 이상,8,0,0,1,2,1,0,0,0,1,1,0,0,1,1
2021년08월_여_총인구수,"78,118","4,194","13,524","2,619","3,965","1,202","1,770","1,719","2,498","2,536","7,569","5,000","11,563","11,246","8,713"
2021년08월_여_연령구간인구수,"78,118","4,194","13,524","2,619","3,965","1,202","1,770","1,719","2,498","2,536","7,569","5,000","11,563","11,246","8,713"
2021년08월_여_0~9세,"7,305",135,"1,844",72,189,22,61,49,85,94,661,545,"1,221","1,384",943
2021년08월_여_10~19세,"7,460",246,"1,275",133,218,38,90,88,140,136,888,466,"1,219","1,255","1,268"
2021년08월_여_20~29세,"6,622",266,930,172,279,51,114,76,153,145,595,353,"1,454","1,117",917
2021년08월_여_30~39세,"9,413",253,"2,277",124,336,49,81,96,112,129,719,638,"1,801","1,715","1,083"
2021년08월_여_40~49세,"11,778",427,"2,170",215,411,72,134,141,204,241,"1,203",739,"2,034","1,986","1,801"
2021년08월_여_50~59세,"11,425",641,"1,795",381,713,165,266,284,420,376,"1,108",715,"1,692","1,549","1,320"
2021년08월_여_60~69세,"10,867",931,"1,586",618,816,325,404,421,550,551,"1,083",676,"1,095","1,126",685
2021년08월_여_70~79세,"7,048",685,876,447,528,253,305,281,396,447,722,466,650,619,373
2021년08월_여_80~89세,"5,271",512,669,380,400,192,258,230,374,369,501,344,343,416,283
2021년08월_여_90~99세,887,91,100,73,71,33,56,53,60,48,87,55,52,69,39
2021년08월_여_100세 이상,42,7,2,4,4,2,1,0,4,0,2,3,2,10,1
