카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년07월_계_총인구수,"725,031","61,336","92,828","104,468","14,944","23,815","53,890","29,325","19,763","9,160","4,167","57,768","36,810","18,746","4,504","81,178","35,803","76,526"
2021년07월_계_연령구간인구수,"725,031","61,336","92,828","104,468","14,944","23,815","53,890","29,325","19,763","9,160","4,167","57,768","36,810","18,746","4,504","81,178","35,803","76,526"
2021년07월_계_0~9세,"63,867","3,806","7,843","8,480","1,604",951,"3,814","1,661","1,191",336,192,"6,315","3,206",651,156,"10,494","4,638","8,529"
2021년07월_계_10~19세,"78,124","7,247","11,405","11,467","1,430","1,805","6,534","2,523","1,881",712,236,"7,226","4,887","1,145",181,"8,567","3,836","7,042"
2021년07월_계_20~29세,"86,031","7,698","10,633","12,257","1,604","3,180","6,827","3,935","2,535",835,402,"6,250","4,610","2,475",502,"9,330","3,724","9,234"
2021년07월_계_30~39세,"89,451","5,830","9,946","12,104","2,149","2,309","5,401","3,264","1,787",752,419,"7,572","4,360","2,034",492,"13,340","5,383","12,309"
2021년07월_계_40~49세,"131,216","10,705","17,103","19,681","2,573","3,188","9,999","4,192","3,186","1,025",489,"11,949","7,260","2,165",463,"16,136","7,336","13,766"
2021년07월_계_50~59세,"119,910","11,103","15,400","17,810","2,314","5,049","9,877","5,612","3,672","1,766",772,"8,492","6,002","3,885",877,"10,719","5,196","11,364"
2021년07월_계_60~69세,"88,311","7,906","11,509","12,564","1,968","4,227","6,083","4,779","2,852","1,970",914,"5,378","3,554","3,735","1,096","7,415","3,590","8,771"
2021년07월_계_70~79세,"45,471","4,715","6,013","6,902",834,"1,991","3,525","2,219","1,712","1,113",468,"3,135","1,935","1,643",480,"3,553","1,438","3,795"
2021년07월_계_80~89세,"19,744","2,029","2,639","2,818",395,973,"1,628","1,018",810,523,235,"1,244",878,879,230,"1,405",563,"1,477"
2021년07월_계_90~99세,"2,765",284,321,372,72,136,198,113,117,122,37,195,116,129,24,211,96,222
2021년07월_계_100세 이상,141,13,16,13,1,6,4,9,20,6,3,12,2,5,3,8,3,17
2021년07월_남_총인구수,"360,803","30,263","46,813","52,251","7,491","12,396","27,137","14,626","9,897","4,845","2,156","28,159","18,122","9,586","2,558","39,883","17,437","37,183"
2021년07월_남_연령구간인구수,"360,803","30,263","46,813","52,251","7,491","12,396","27,137","14,626","9,897","4,845","2,156","28,159","18,122","9,586","2,558","39,883","17,437","37,183"
2021년07월_남_0~9세,"32,870","2,003","4,079","4,379",831,533,"1,990",821,616,188,101,"3,266","1,646",329,82,"5,340","2,354","4,312"
2021년07월_남_10~19세,"40,099","3,699","5,895","5,994",700,916,"3,371","1,316","1,013",414,112,"3,711","2,522",599,91,"4,290","1,977","3,479"
2021년07월_남_20~29세,"44,789","4,100","5,640","6,444",830,"1,766","3,638","2,111","1,282",499,228,"3,220","2,288","1,377",296,"4,644","1,877","4,549"
2021년07월_남_30~39세,"44,146","2,889","4,915","6,034","1,070","1,275","2,749","1,730",923,406,215,"3,576","2,153","1,167",302,"6,344","2,442","5,956"
2021년07월_남_40~49세,"65,684","5,040","8,580","9,943","1,328","1,698","4,988","2,108","1,607",568,261,"5,771","3,533","1,149",293,"8,255","3,683","6,879"
2021년07월_남_50~59세,"61,248","5,617","8,177","9,225","1,180","2,670","5,230","2,710","1,914",976,415,"4,284","3,076","1,968",499,"5,319","2,548","5,440"
2021년07월_남_60~69세,"43,031","3,783","5,750","6,042",990,"2,239","2,978","2,398","1,385","1,030",484,"2,441","1,697","1,885",651,"3,430","1,659","4,189"
2021년07월_남_70~79세,"20,790","2,223","2,693","3,035",394,907,"1,534","1,035",773,548,235,"1,358",853,771,244,"1,707",664,"1,816"
2021년07월_남_80~89세,"7,472",827,997,"1,060",154,363,613,366,342,196,96,485,325,312,94,517,211,514
2021년07월_남_90~99세,643,78,86,92,13,29,45,29,37,18,6,45,29,28,6,36,21,45
2021년07월_남_100세 이상,31,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,1,4
2021년07월_여_총인구수,"364,228","31,073","46,015","52,217","7,453","11,419","26,753","14,699","9,866","4,315","2,011","29,609","18,688","9,160","1,946","41,295","18,366","39,343"
2021년07월_여_연령구간인구수,"364,228","31,073","46,015","52,217","7,453","11,419","26,753","14,699","9,866","4,315","2,011","29,609","18,688","9,160","1,946","41,295","18,366","39,343"
2021년07월_여_0~9세,"30,997","1,803","3,764","4,101",773,418,"1,824",840,575,148,91,"3,049","1,560",322,74,"5,154","2,284","4,217"
2021년07월_여_10~19세,"38,025","3,548","5,510","5,473",730,889,"3,163","1,207",868,298,124,"3,515","2,365",546,90,"4,277","1,859","3,563"
2021년07월_여_20~29세,"41,242","3,598","4,993","5,813",774,"1,414","3,189","1,824","1,253",336,174,"3,030","2,322","1,098",206,"4,686","1,847","4,685"
2021년07월_여_30~39세,"45,305","2,941","5,031","6,070","1,079","1,034","2,652","1,534",864,346,204,"3,996","2,207",867,190,"6,996","2,941","6,353"
2021년07월_여_40~49세,"65,532","5,665","8,523","9,738","1,245","1,490","5,011","2,084","1,579",457,228,"6,178","3,727","1,016",170,"7,881","3,653","6,887"
2021년07월_여_50~59세,"58,662","5,486","7,223","8,585","1,134","2,379","4,647","2,902","1,758",790,357,"4,208","2,926","1,917",378,"5,400","2,648","5,924"
2021년07월_여_60~69세,"45,280","4,123","5,759","6,522",978,"1,988","3,105","2,381","1,467",940,430,"2,937","1,857","1,850",445,"3,985","1,931","4,582"
2021년07월_여_70~79세,"24,681","2,492","3,320","3,867",440,"1,084","1,991","1,184",939,565,233,"1,777","1,082",872,236,"1,846",774,"1,979"
