,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년06월_계_총인구수,"37,046","10,767","4,737","4,856","1,862","1,675","3,295","2,598","3,541","1,691","2,024"
2020년06월_계_연령구간인구수,"37,046","10,767","4,737","4,856","1,862","1,675","3,295","2,598","3,541","1,691","2,024"
2020년06월_계_0~9세,"1,798",659,257,308,72,42,157,104,113,35,51
2020년06월_계_10~19세,"2,610","1,025",243,388,129,109,187,178,160,96,95
2020년06월_계_20~29세,"2,868","1,015",347,404,123,119,233,179,202,124,122
2020년06월_계_30~39세,"3,242",967,732,517,105,99,313,151,178,69,111
2020년06월_계_40~49세,"4,988","1,671",708,753,216,182,435,313,333,177,200
2020년06월_계_50~59세,"7,140","1,947",793,931,391,333,665,522,760,389,409
2020년06월_계_60~69세,"7,324","1,742",875,892,397,358,760,538,846,401,515
2020년06월_계_70~79세,"4,539","1,112",546,477,277,275,364,354,558,250,326
2020년06월_계_80~89세,"2,147",514,198,165,138,121,155,217,338,129,172
2020년06월_계_90~99세,342,101,29,15,14,27,24,40,50,20,22
2020년06월_계_100세 이상,48,14,9,6,0,10,2,2,3,1,1
2020년06월_남_총인구수,"19,236","5,480","2,485","2,566",963,830,"1,760","1,301","1,878",905,"1,068"
2020년06월_남_연령구간인구수,"19,236","5,480","2,485","2,566",963,830,"1,760","1,301","1,878",905,"1,068"
2020년06월_남_0~9세,933,344,126,163,35,17,83,53,56,22,34
2020년06월_남_10~19세,"1,346",534,111,211,66,56,92,84,91,52,49
2020년06월_남_20~29세,"1,626",581,182,226,71,67,143,110,106,72,68
2020년06월_남_30~39세,"1,829",509,424,281,64,60,190,81,110,42,68
2020년06월_남_40~49세,"2,894",874,437,424,138,111,266,180,218,111,135
2020년06월_남_50~59세,"3,888","1,044",447,508,212,188,344,281,426,229,209
2020년06월_남_60~69세,"3,838",910,413,457,218,173,415,276,470,222,284
2020년06월_남_70~79세,"2,044",487,252,223,104,110,177,157,263,113,158
2020년06월_남_80~89세,740,176,79,66,50,35,44,68,125,40,57
2020년06월_남_90~99세,79,17,11,3,5,7,5,10,13,2,6
2020년06월_남_100세 이상,19,4,3,4,0,6,1,1,0,0,0
2020년06월_여_총인구수,"17,810","5,287","2,252","2,290",899,845,"1,535","1,297","1,663",786,956
2020년06월_여_연령구간인구수,"17,810","5,287","2,252","2,290",899,845,"1,535","1,297","1,663",786,956
2020년06월_여_0~9세,865,315,131,145,37,25,74,51,57,13,17
2020년06월_여_10~19세,"1,264",491,132,177,63,53,95,94,69,44,46
2020년06월_여_20~29세,"1,242",434,165,178,52,52,90,69,96,52,54
2020년06월_여_30~39세,"1,413",458,308,236,41,39,123,70,68,27,43
2020년06월_여_40~49세,"2,094",797,271,329,78,71,169,133,115,66,65
2020년06월_여_50~59세,"3,252",903,346,423,179,145,321,241,334,160,200
2020년06월_여_60~69세,"3,486",832,462,435,179,185,345,262,376,179,231
2020년06월_여_70~79세,"2,495",625,294,254,173,165,187,197,295,137,168
2020년06월_여_80~89세,"1,407",338,119,99,88,86,111,149,213,89,115
2020년06월_여_90~99세,263,84,18,12,9,20,19,30,37,18,16
2020년06월_여_100세 이상,29,10,6,2,0,4,1,1,3,1,1
