카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년07월_계_총인구수,"55,845","14,613","2,291","2,623","1,690","19,858","2,542","2,400","1,500","2,679","3,115","1,171","1,363"
2021년07월_계_연령구간인구수,"55,845","14,613","2,291","2,623","1,690","19,858","2,542","2,400","1,500","2,679","3,115","1,171","1,363"
2021년07월_계_0~9세,"4,537",755,59,45,58,"3,256",153,46,16,44,48,22,35
2021년07월_계_10~19세,"4,442","1,169",110,78,53,"2,468",112,88,37,80,119,53,75
2021년07월_계_20~29세,"4,097","1,304",87,135,51,"1,771",218,105,54,90,168,44,70
2021년07월_계_30~39세,"5,408","1,114",76,112,84,"3,356",212,98,41,110,117,36,52
2021년07월_계_40~49세,"7,185","1,851",169,153,114,"3,779",233,198,88,184,230,81,105
2021년07월_계_50~59세,"7,955","2,413",333,409,257,"2,405",322,346,202,385,472,207,204
2021년07월_계_60~69세,"9,739","2,927",523,702,424,"1,527",467,589,409,712,763,374,322
2021년07월_계_70~79세,"6,725","1,833",475,503,334,732,411,500,320,554,607,183,273
2021년07월_계_80~89세,"5,055","1,091",413,420,277,488,356,377,300,466,529,144,194
2021년07월_계_90~99세,679,153,45,65,38,74,56,49,32,51,61,26,29
2021년07월_계_100세 이상,23,3,1,1,0,2,2,4,1,3,1,1,4
2021년07월_남_총인구수,"27,430","7,211","1,154","1,309",835,"9,721","1,262","1,163",723,"1,319","1,486",575,672
2021년07월_남_연령구간인구수,"27,430","7,211","1,154","1,309",835,"9,721","1,262","1,163",723,"1,319","1,486",575,672
2021년07월_남_0~9세,"2,293",378,33,24,28,"1,648",80,23,5,23,24,11,16
2021년07월_남_10~19세,"2,349",648,68,42,33,"1,263",59,47,21,44,56,34,34
2021년07월_남_20~29세,"2,305",762,51,90,28,923,139,58,33,52,103,21,45
2021년07월_남_30~39세,"2,710",580,41,71,42,"1,568",121,59,25,73,81,16,33
2021년07월_남_40~49세,"3,887",992,110,106,78,"1,877",155,129,60,132,138,49,61
2021년07월_남_50~59세,"4,164","1,206",200,220,160,"1,178",188,191,124,222,255,101,119
2021년07월_남_60~69세,"4,872","1,390",282,376,228,757,220,288,214,364,383,207,163
2021년07월_남_70~79세,"3,021",837,211,218,140,343,183,221,135,254,265,92,122
2021년07월_남_80~89세,"1,700",393,147,144,87,155,105,136,103,148,171,38,73
2021년07월_남_90~99세,127,25,11,17,11,9,12,11,3,7,10,5,6
2021년07월_남_100세 이상,2,0,0,1,0,0,0,0,0,0,0,1,0
2021년07월_여_총인구수,"28,415","7,402","1,137","1,314",855,"10,137","1,280","1,237",777,"1,360","1,629",596,691
2021년07월_여_연령구간인구수,"28,415","7,402","1,137","1,314",855,"10,137","1,280","1,237",777,"1,360","1,629",596,691
2021년07월_여_0~9세,"2,244",377,26,21,30,"1,608",73,23,11,21,24,11,19
2021년07월_여_10~19세,"2,093",521,42,36,20,"1,205",53,41,16,36,63,19,41
2021년07월_여_20~29세,"1,792",542,36,45,23,848,79,47,21,38,65,23,25
2021년07월_여_30~39세,"2,698",534,35,41,42,"1,788",91,39,16,37,36,20,19
2021년07월_여_40~49세,"3,298",859,59,47,36,"1,902",78,69,28,52,92,32,44
2021년07월_여_50~59세,"3,791","1,207",133,189,97,"1,227",134,155,78,163,217,106,85
2021년07월_여_60~69세,"4,867","1,537",241,326,196,770,247,301,195,348,380,167,159
2021년07월_여_70~79세,"3,704",996,264,285,194,389,228,279,185,300,342,91,151
2021년07월_여_80~89세,"3,355",698,266,276,190,333,251,241,197,318,358,106,121
2021년07월_여_90~99세,552,128,34,48,27,65,44,38,29,44,51,21,23
2021년07월_여_100세 이상,21,3,1,0,0,2,2,4,1,3,1,0,4
