카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년11월_계_총인구수,"1,788,616","657,930","336,540","321,390","265,452","278,496","106,634","79,581","81,012","91,137","24,974","23,770","21,723","26,665","26,922","53,468","50,852"
2021년11월_계_연령구간인구수,"1,788,616","657,930","336,540","321,390","265,452","278,496","106,634","79,581","81,012","91,137","24,974","23,770","21,723","26,665","26,922","53,468","50,852"
2021년11월_계_0~9세,"120,244","51,584","23,162","28,422","19,532","17,630","5,874","4,640","3,933","6,376","1,151","1,075","1,029","1,291","1,304","2,458","2,367"
2021년11월_계_10~19세,"170,547","70,173","34,759","35,414","26,211","27,120","9,291","7,104","6,031","8,202","1,636","1,771","1,637","1,575","2,148","4,110","3,538"
2021년11월_계_20~29세,"207,328","92,980","48,922","44,058","29,118","35,143","10,218","7,352","6,956","8,722","1,801","1,695","1,557","1,872","1,909","4,014","3,991"
2021년11월_계_30~39세,"182,723","81,222","39,223","41,999","29,154","27,465","8,443","6,053","6,192","8,847","1,512","1,617","1,423","1,790","1,774","3,598","3,633"
2021년11월_계_40~49세,"260,016","104,973","51,530","53,443","42,556","40,395","14,081","10,161","9,570","13,224","2,546","2,738","2,410","2,659","3,103","5,833","5,767"
2021년11월_계_50~59세,"298,709","107,359","57,284","50,075","44,166","48,540","18,129","13,591","13,278","15,259","4,392","4,140","3,626","4,497","4,388","8,785","8,559"
2021년11월_계_60~69세,"267,848","80,861","44,372","36,489","39,032","42,294","17,739","13,494","15,055","14,826","5,205","4,646","4,392","5,209","5,043","10,126","9,926"
2021년11월_계_70~79세,"170,880","44,976","24,366","20,610","23,440","24,865","13,110","9,719","11,335","9,307","3,750","3,282","3,088","4,214","4,000","8,123","7,671"
2021년11월_계_80~89세,"95,174","20,704","11,165","9,539","10,518","12,885","8,454","6,401","7,373","5,474","2,580","2,446","2,236","3,072","2,819","5,505","4,707"
2021년11월_계_90~99세,"14,708","3,023","1,712","1,311","1,681","2,113","1,245","1,034","1,250",874,386,340,314,472,414,891,671
2021년11월_계_100세 이상,439,75,45,30,44,46,50,32,39,26,15,20,11,14,20,25,22
2021년11월_남_총인구수,"889,824","323,724","163,886","159,838","134,387","138,646","52,972","39,039","40,222","46,847","12,638","11,846","10,822","13,646","13,211","26,538","25,286"
2021년11월_남_연령구간인구수,"889,824","323,724","163,886","159,838","134,387","138,646","52,972","39,039","40,222","46,847","12,638","11,846","10,822","13,646","13,211","26,538","25,286"
2021년11월_남_0~9세,"61,726","26,428","11,920","14,508","9,947","9,066","3,014","2,458","2,052","3,174",560,581,538,664,686,"1,301","1,257"
2021년11월_남_10~19세,"88,292","36,252","18,091","18,161","13,548","13,884","4,923","3,666","3,068","4,304",876,887,826,839,"1,107","2,265","1,847"
2021년11월_남_20~29세,"112,149","48,831","25,364","23,467","16,039","19,083","5,678","4,106","3,882","4,893","1,019",937,888,"1,112","1,086","2,316","2,279"
2021년11월_남_30~39세,"94,388","41,089","19,859","21,230","15,279","14,373","4,516","3,109","3,303","4,588",740,902,732,993,873,"1,941","1,950"
2021년11월_남_40~49세,"133,702","51,421","24,723","26,698","22,323","20,617","7,383","5,157","5,337","7,239","1,481","1,509","1,362","1,600","1,760","3,291","3,222"
