,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년12월_계_총인구수,"108,508","5,566","4,276","2,860","2,080","2,811","1,798","1,807","2,105","2,603","3,456","2,784","1,692","2,343","1,222","2,128","17,567","3,017","20,544","3,405","10,404","6,011","4,133","3,896"
2020년12월_계_연령구간인구수,"108,508","5,566","4,276","2,860","2,080","2,811","1,798","1,807","2,105","2,603","3,456","2,784","1,692","2,343","1,222","2,128","17,567","3,017","20,544","3,405","10,404","6,011","4,133","3,896"
2020년12월_계_0~9세,"6,370",249,169,56,60,75,50,47,41,84,73,52,48,87,32,56,"1,452",155,"1,643",158,984,466,195,138
2020년12월_계_10~19세,"9,664",378,277,149,72,110,71,102,95,112,163,68,67,142,49,90,"2,021",286,"2,743",272,"1,330",515,323,229
2020년12월_계_20~29세,"10,604",396,379,198,115,159,115,140,118,173,248,134,89,164,73,120,"2,221",346,"2,423",344,"1,203",604,426,416
2020년12월_계_30~39세,"8,867",386,307,144,115,201,85,85,104,145,159,170,104,109,49,102,"1,926",232,"1,904",256,"1,064",632,293,295
2020년12월_계_40~49세,"14,824",640,462,240,185,259,158,175,181,233,361,222,143,244,85,198,"3,162",473,"3,415",380,"1,735",946,493,434
2020년12월_계_50~59세,"18,394",910,847,557,358,445,267,354,332,457,578,435,288,404,246,359,"2,956",547,"3,376",539,"1,684",965,808,682
2020년12월_계_60~69세,"16,923",999,799,579,401,600,386,358,420,523,700,664,331,438,280,451,"1,974",416,"2,504",627,"1,209",865,725,674
2020년12월_계_70~79세,"13,403",950,582,489,422,534,377,300,424,484,618,591,334,422,241,425,"1,206",336,"1,612",519,787,675,504,571
2020년12월_계_80~89세,"8,184",576,395,392,314,373,244,209,337,344,486,388,236,298,143,290,560,201,787,243,361,288,325,394
2020년12월_계_90~99세,"1,162",74,54,56,37,51,43,36,52,45,67,56,50,32,23,37,70,22,120,51,40,52,36,58
2020년12월_계_100세 이상,113,8,5,0,1,4,2,1,1,3,3,4,2,3,1,0,19,3,17,16,7,3,5,5
2020년12월_남_총인구수,"53,791","2,719","2,157","1,424","1,060","1,409",891,915,"1,041","1,299","1,703","1,388",847,"1,204",616,"1,065","8,896","1,490","9,894","1,628","5,144","2,986","2,005","2,010"
2020년12월_남_연령구간인구수,"53,791","2,719","2,157","1,424","1,060","1,409",891,915,"1,041","1,299","1,703","1,388",847,"1,204",616,"1,065","8,896","1,490","9,894","1,628","5,144","2,986","2,005","2,010"
2020년12월_남_0~9세,"3,266",123,79,27,36,36,30,28,21,47,42,24,23,38,17,26,739,72,830,80,529,243,101,75
2020년12월_남_10~19세,"5,131",230,155,82,41,50,38,57,58,51,84,40,34,92,26,41,"1,077",150,"1,380",137,758,257,167,126
2020년12월_남_20~29세,"5,848",218,207,122,72,111,67,80,74,106,142,77,48,95,45,65,"1,236",184,"1,261",196,654,315,242,231
2020년12월_남_30~39세,"4,716",222,166,81,71,128,53,54,61,83,102,109,68,73,33,63,"1,019",115,920,131,510,327,154,173
2020년12월_남_40~49세,"7,794",364,256,144,117,181,105,107,122,146,220,145,96,146,53,119,"1,597",245,"1,600",205,814,517,249,246
2020년12월_남_50~59세,"9,898",491,469,331,216,251,158,202,197,274,334,257,162,246,137,230,"1,558",296,"1,701",264,828,481,427,388
2020년12월_남_60~69세,"8,394",490,424,310,202,312,193,181,216,270,333,325,172,231,160,237,957,221,"1,189",281,572,415,349,354
2020년12월_남_70~79세,"5,777",389,265,195,191,216,168,139,179,200,263,277,149,175,94,181,519,137,718,216,342,304,206,254
2020년12월_남_80~89세,"2,691",170,127,124,106,112,74,57,101,110,157,123,80,103,47,94,173,66,268,104,129,115,98,153
