카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년02월_계_총인구수,"517,087","27,411","43,676","23,998","25,617","11,435","3,654","16,981","6,795","5,463","43,970","26,313","18,786","11,953","21,991","6,853","5,755","22,781","10,776","4,124","75,127","52,654","24,652","26,322"
2020년02월_계_연령구간인구수,"517,087","27,411","43,676","23,998","25,617","11,435","3,654","16,981","6,795","5,463","43,970","26,313","18,786","11,953","21,991","6,853","5,755","22,781","10,776","4,124","75,127","52,654","24,652","26,322"
2020년02월_계_0~9세,"48,587","1,574","4,272","2,113","4,180",532,124,"1,984",346,174,"3,187","1,510","2,252",752,"1,720",540,184,"1,178",614,134,"9,739","5,676","3,543","2,259"
2020년02월_계_10~19세,"53,036","1,718","6,010","2,030","2,895",858,212,"1,457",513,312,"5,303","2,541","1,813",983,"2,245",479,316,"1,835",733,230,"8,507","6,265","2,995","2,786"
2020년02월_계_20~29세,"69,285","2,955","5,610","2,920","2,154","1,527",351,"2,217",725,461,"6,825","3,787","2,429","2,148","2,964",924,688,"3,852","1,577",585,"10,064","7,303","3,172","4,047"
2020년02월_계_30~39세,"77,367","2,997","5,863","4,036","4,940","1,396",379,"2,929",634,411,"5,440","3,177","3,170","2,135","2,667","1,114",610,"2,917","1,530",397,"14,320","8,057","4,689","3,559"
2020년02월_계_40~49세,"91,046","3,968","8,756","4,683","4,928","1,737",454,"2,768",903,630,"7,903","4,384","3,431","2,000","3,744","1,134",821,"3,532","1,616",564,"14,364","9,333","5,011","4,382"
2020년02월_계_50~59세,"84,074","5,194","6,706","3,822","2,843","2,134",715,"2,601","1,358","1,076","7,935","4,976","3,051","1,829","4,101","1,048","1,029","4,303","1,948",850,"10,145","8,400","3,139","4,871"
2020년02월_계_60~69세,"50,530","4,437","3,466","2,409","1,974","1,718",694,"1,610","1,095","1,096","4,095","3,153","1,520","1,129","2,490",830,962,"2,776","1,428",707,"4,775","4,391","1,309","2,466"
2020년02월_계_70~79세,"27,689","2,825","1,895","1,272","1,071","1,000",444,880,722,777,"2,132","1,823",713,660,"1,331",500,715,"1,594",862,451,"2,114","2,100",532,"1,276"
2020년02월_계_80~89세,"13,394","1,505",942,616,524,472,254,460,440,465,"1,001",834,343,273,619,230,353,693,400,182,970,987,233,598
