,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년06월_계_총인구수,"38,071","15,511","5,029","3,430","2,364","2,890","1,293","2,121","1,115","1,453","2,865"
2020년06월_계_연령구간인구수,"38,071","15,511","5,029","3,430","2,364","2,890","1,293","2,121","1,115","1,453","2,865"
2020년06월_계_0~9세,"2,065","1,345",158,142,87,87,41,38,20,45,102
2020년06월_계_10~19세,"2,894","1,620",319,218,111,138,58,110,43,81,196
2020년06월_계_20~29세,"3,117","1,594",335,235,149,215,73,136,74,88,218
2020년06월_계_30~39세,"2,905","1,652",303,196,140,179,78,96,43,62,156
2020년06월_계_40~49세,"4,262","2,158",435,367,214,272,105,164,105,152,290
2020년06월_계_50~59세,"6,403","2,471",879,576,352,517,211,402,268,249,478
2020년06월_계_60~69세,"6,450","2,127",975,652,494,552,269,367,241,219,554
2020년06월_계_70~79세,"5,495","1,483",908,562,428,483,215,415,179,267,555
2020년06월_계_80~89세,"3,853",891,629,424,329,369,215,352,121,236,287
2020년06월_계_90~99세,604,160,87,53,57,77,26,41,20,54,29
2020년06월_계_100세 이상,23,10,1,5,3,1,2,0,1,0,0
2020년06월_남_총인구수,"18,482","7,549","2,440","1,651","1,137","1,420",618,"1,005",558,701,"1,403"
2020년06월_남_연령구간인구수,"18,482","7,549","2,440","1,651","1,137","1,420",618,"1,005",558,701,"1,403"
2020년06월_남_0~9세,"1,066",680,86,60,49,55,25,18,8,26,59
2020년06월_남_10~19세,"1,519",834,188,114,58,77,25,53,26,38,106
2020년06월_남_20~29세,"1,744",881,191,125,89,122,35,82,39,51,129
2020년06월_남_30~39세,"1,530",816,166,108,88,107,38,54,32,32,89
2020년06월_남_40~49세,"2,362","1,089",253,231,130,162,71,109,62,84,171
2020년06월_남_50~59세,"3,463","1,288",470,320,188,281,118,232,156,157,253
2020년06월_남_60~69세,"3,211","1,023",497,319,270,292,138,188,121,110,253
2020년06월_남_70~79세,"2,293",630,366,230,167,215,96,162,70,111,246
2020년06월_남_80~89세,"1,173",278,205,127,92,94,65,101,38,81,92
2020년06월_남_90~99세,117,29,18,15,6,15,6,6,6,11,5
2020년06월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년06월_여_총인구수,"19,589","7,962","2,589","1,779","1,227","1,470",675,"1,116",557,752,"1,462"
2020년06월_여_연령구간인구수,"19,589","7,962","2,589","1,779","1,227","1,470",675,"1,116",557,752,"1,462"
2020년06월_여_0~9세,999,665,72,82,38,32,16,20,12,19,43
2020년06월_여_10~19세,"1,375",786,131,104,53,61,33,57,17,43,90
2020년06월_여_20~29세,"1,373",713,144,110,60,93,38,54,35,37,89
2020년06월_여_30~39세,"1,375",836,137,88,52,72,40,42,11,30,67
2020년06월_여_40~49세,"1,900","1,069",182,136,84,110,34,55,43,68,119
2020년06월_여_50~59세,"2,940","1,183",409,256,164,236,93,170,112,92,225
2020년06월_여_60~69세,"3,239","1,104",478,333,224,260,131,179,120,109,301
2020년06월_여_70~79세,"3,202",853,542,332,261,268,119,253,109,156,309
2020년06월_여_80~89세,"2,680",613,424,297,237,275,150,251,83,155,195
2020년06월_여_90~99세,487,131,69,38,51,62,20,35,14,43,24
2020년06월_여_100세 이상,19,9,1,3,3,1,1,0,1,0,0
