카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 상현3동,경기도 용인시 수지구 성복동
2021년11월_계_총인구수,"1,078,604","260,487","33,507","27,103","20,442","23,885","8,295","8,482","19,733","24,983","31,940","12,642","36,274","13,201","442,323","38,356","30,486","17,518","41,772","13,257","33,364","21,695","26,373","40,264","32,042","32,731","27,300","26,391","24,525","36,249","375,794","36,232","41,036","37,834","29,182","18,408","27,107","49,710","20,431","33,314","27,933","54,607"
2021년11월_계_연령구간인구수,"1,078,604","260,487","33,507","27,103","20,442","23,885","8,295","8,482","19,733","24,983","31,940","12,642","36,274","13,201","442,323","38,356","30,486","17,518","41,772","13,257","33,364","21,695","26,373","40,264","32,042","32,731","27,300","26,391","24,525","36,249","375,794","36,232","41,036","37,834","29,182","18,408","27,107","49,710","20,431","33,314","27,933","54,607"
2021년11월_계_0~9세,"95,148","20,048","2,138","1,828","1,447","3,119",336,230,"1,198","1,512","3,535","1,026","3,013",666,"40,084","3,178","3,190","1,827","4,119",892,"2,775","1,737","2,953","3,226","2,500","3,145","2,464","3,185","1,779","3,114","35,016","2,602","4,410","3,283","2,343","1,426","2,270","5,552","1,987","3,143","2,608","5,392"
2021년11월_계_10~19세,"120,837","25,060","3,650","2,446","1,789","2,081",579,547,"2,075","2,170","3,100","1,282","4,232","1,109","50,528","3,545","3,586","1,210","3,275","1,224","4,283","2,163","2,586","4,809","3,035","5,600","4,610","3,354","2,719","4,529","45,249","3,539","5,672","5,313","3,547","1,527","3,283","5,402","2,815","4,165","3,319","6,667"
2021년11월_계_20~29세,"138,332","34,807","4,828","3,508","2,157","1,837",715,866,"2,497","4,434","5,336","1,861","4,929","1,839","57,318","4,994","3,804","2,396","6,582","1,936","4,058","2,583","5,407","4,439","4,100","3,647","3,265","2,504","3,374","4,229","46,207","5,191","4,883","4,062","3,800","2,839","4,082","5,578","2,244","3,748","4,008","5,772"
2021년11월_계_30~39세,"140,885","33,423","3,825","3,071","2,341","4,007",715,732,"2,450","3,215","5,640","1,619","4,411","1,397","57,349","5,979","4,415","3,179","7,515","1,900","3,614","2,708","4,339","4,253","3,891","3,172","2,259","3,546","2,661","3,918","50,113","6,273","5,892","3,871","3,306","3,225","3,475","7,545","2,401","4,034","4,168","5,923"
2021년11월_계_40~49세,"197,533","43,440","5,921","4,540","3,308","4,400","1,039",965,"3,113","3,829","5,603","2,081","6,708","1,933","82,559","6,526","5,852","2,728","7,058","2,277","6,335","3,828","4,549","7,647","5,272","7,640","6,045","5,501","4,124","7,177","71,534","5,840","8,802","7,751","5,408","2,961","5,025","9,620","3,955","6,367","5,253","10,552"
2021년11월_계_50~59세,"171,226","44,085","6,087","4,860","3,750","3,081","1,568","1,559","3,495","4,259","4,199","2,302","6,349","2,576","69,756","6,247","5,086","2,789","6,659","2,275","5,460","3,580","3,269","6,300","5,190","4,991","4,562","3,214","4,613","5,521","57,385","5,494","5,949","5,976","4,823","2,922","4,202","7,306","3,107","5,173","4,139","8,294"
2021년11월_계_60~69세,"113,778","34,290","4,020","3,970","3,202","3,073","1,827","1,917","2,935","3,246","2,700","1,433","3,770","2,197","44,067","4,217","2,766","1,832","3,832","1,382","3,517","2,852","2,017","4,588","3,819","2,268","2,145","2,316","2,910","3,606","35,421","3,823","2,598","3,523","2,959","1,845","2,508","4,939","1,839","3,137","2,400","5,850"
2021년11월_계_70~79세,"65,904","16,203","1,936","1,882","1,508","1,542",923,924,"1,194","1,490","1,258",668,"1,879",999,"26,479","2,368","1,200",769,"1,888",890,"2,203","1,478",855,"3,243","2,763","1,493","1,277","1,782","1,537","2,733","23,222","2,253","1,709","2,758","1,896","1,056","1,470","2,625","1,387","2,375","1,371","4,322"
