카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년12월_계_총인구수,"95,566","6,354","1,381","3,798","2,968",965,"2,563","3,905","1,620","1,895","2,542","1,712",749,"1,940","2,799","1,204",316,"2,651","1,136",378,"2,111","1,987",793,"11,684","9,342","8,771","7,865","3,483","8,654"
2021년12월_계_연령구간인구수,"95,566","6,354","1,381","3,798","2,968",965,"2,563","3,905","1,620","1,895","2,542","1,712",749,"1,940","2,799","1,204",316,"2,651","1,136",378,"2,111","1,987",793,"11,684","9,342","8,771","7,865","3,483","8,654"
2021년12월_계_0~9세,"4,902",255,39,103,79,25,68,91,51,42,91,58,25,49,156,25,3,81,21,10,36,52,31,786,759,697,490,145,634
2021년12월_계_10~19세,"7,295",514,58,164,140,30,100,222,62,78,145,60,39,106,160,62,9,130,42,18,87,82,30,"1,238",860,908,696,301,954
2021년12월_계_20~29세,"7,641",356,58,185,162,44,129,162,71,80,134,94,28,94,131,61,12,114,39,11,99,84,39,"1,208",992,827,810,290,"1,327"
2021년12월_계_30~39세,"7,029",408,68,201,119,32,132,178,74,84,130,75,37,88,169,65,7,129,35,9,89,66,32,"1,149","1,047",942,673,230,761
2021년12월_계_40~49세,"10,949",673,103,307,213,69,186,307,127,132,236,144,52,156,247,107,24,269,77,25,162,169,59,"1,669","1,406","1,278","1,050",453,"1,249"
2021년12월_계_50~59세,"16,169","1,014",215,602,484,184,412,601,274,346,484,319,142,370,505,244,62,446,159,67,282,291,156,"1,976","1,593","1,487","1,448",610,"1,396"
2021년12월_계_60~69세,"19,155","1,375",328,900,687,244,649,"1,001",385,534,676,459,206,490,657,291,103,635,315,80,542,448,192,"1,936","1,509","1,278","1,322",665,"1,248"
2021년12월_계_70~79세,"12,388",944,281,657,541,148,449,738,298,324,383,266,108,325,409,182,49,452,242,66,411,405,135,"1,115",723,772,842,481,642
2021년12월_계_80~89세,"8,621",713,203,579,459,165,376,519,236,243,229,204,100,217,322,141,41,344,170,79,332,327,95,525,397,504,463,264,374
2021년12월_계_90~99세,"1,381",96,28,97,80,24,60,84,41,32,31,33,12,45,43,25,6,50,34,13,70,61,24,81,56,75,69,43,68
2021년12월_계_100세 이상,36,6,0,3,4,0,2,2,1,0,3,0,0,0,0,1,0,1,2,0,1,2,0,1,0,3,2,1,1
2021년12월_남_총인구수,"46,869","3,064",674,"1,859","1,446",476,"1,247","1,928",802,968,"1,281",872,359,974,"1,361",603,168,"1,262",527,196,"1,005",970,381,"5,714","4,694","4,181","3,826","1,699","4,332"
2021년12월_남_연령구간인구수,"46,869","3,064",674,"1,859","1,446",476,"1,247","1,928",802,968,"1,281",872,359,974,"1,361",603,168,"1,262",527,196,"1,005",970,381,"5,714","4,694","4,181","3,826","1,699","4,332"
2021년12월_남_0~9세,"2,552",141,26,54,41,13,35,45,25,16,50,26,14,26,79,16,1,36,9,3,16,35,15,402,390,359,262,94,323
2021년12월_남_10~19세,"3,847",246,25,100,69,14,63,133,39,46,71,31,21,53,76,30,5,70,24,13,40,39,15,707,474,446,336,160,501
2021년12월_남_20~29세,"4,411",205,34,118,96,28,82,103,37,44,86,68,17,49,72,24,9,66,20,9,65,50,14,685,556,457,466,177,774
2021년12월_남_30~39세,"3,771",232,42,115,76,19,75,103,37,57,70,49,17,49,92,42,5,78,19,6,59,41,12,597,535,497,344,122,381
2021년12월_남_40~49세,"5,794",350,75,205,132,42,119,194,89,76,140,84,30,99,135,62,15,147,48,12,101,96,35,797,708,639,501,242,621
2021년12월_남_50~59세,"8,591",558,124,341,266,112,233,339,162,189,255,186,71,210,260,140,39,243,91,44,154,175,89,966,836,736,776,316,680
2021년12월_남_60~69세,"9,472",693,170,474,368,126,326,477,198,300,339,242,112,260,343,143,60,316,158,44,274,228,106,896,729,582,606,287,615
