카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년06월_계_총인구수,"220,794","10,441","5,085","4,684","9,414","10,275","12,703","5,009","7,560","5,347","5,993","2,813","4,139","3,106","9,192","16,895","10,771","21,295","11,813","16,453","4,765","11,390","8,380","23,271"
2021년06월_계_연령구간인구수,"220,794","10,441","5,085","4,684","9,414","10,275","12,703","5,009","7,560","5,347","5,993","2,813","4,139","3,106","9,192","16,895","10,771","21,295","11,813","16,453","4,765","11,390","8,380","23,271"
2021년06월_계_0~9세,"17,227",423,206,152,658,"1,473",890,452,196,175,388,49,127,128,656,"1,649",967,"1,821",769,"1,231",370,"1,112",645,"2,690"
2021년06월_계_10~19세,"24,013",703,311,306,"1,033","1,215","1,435",453,400,318,594,120,204,215,977,"2,417","1,437","2,381","1,121","1,810",502,"1,562",841,"3,658"
2021년06월_계_20~29세,"26,806","1,052",508,397,"1,147","1,245","1,712",523,695,510,663,188,449,303,"1,073","1,758","1,171","2,512","2,195","2,582",549,"1,462","1,206","2,906"
2021년06월_계_30~39세,"24,543",935,427,368,987,"1,780","1,300",657,569,403,590,193,267,243,936,"1,943","1,135","2,470","1,552","1,909",518,"1,418","1,014","2,929"
2021년06월_계_40~49세,"36,652","1,365",671,616,"1,474","1,858","2,109",808,953,692,925,372,482,413,"1,478","3,200","1,893","3,543","2,016","2,653",803,"2,116","1,373","4,839"
2021년06월_계_50~59세,"35,959","1,726",833,810,"1,594","1,253","2,294",784,"1,321",862,920,499,670,502,"1,580","2,476","1,583","3,444","1,986","3,043",765,"1,857","1,595","3,562"
2021년06월_계_60~69세,"29,554","2,096","1,063",870,"1,346",840,"1,634",685,"1,518","1,061",988,657,833,570,"1,379","1,840","1,426","2,872","1,301","2,024",673,"1,096","1,009","1,773"
2021년06월_계_70~79세,"17,653","1,484",784,771,783,425,903,421,"1,288",934,661,500,718,496,759,"1,070",757,"1,518",582,784,381,516,457,661
2021년06월_계_80~89세,"7,377",579,239,345,343,162,388,209,524,352,242,209,352,212,326,480,351,633,251,366,176,219,212,207
2021년06월_계_90~99세,971,76,42,45,47,24,38,15,91,38,22,25,35,24,28,59,46,98,37,49,28,32,28,44
2021년06월_계_100세 이상,39,2,1,4,2,0,0,2,5,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021년06월_남_총인구수,"109,995","5,261","2,554","2,388","4,568","5,077","6,239","2,493","3,848","2,804","2,931","1,508","2,224","1,612","4,608","8,302","5,311","10,431","6,094","8,194","2,384","5,473","4,073","11,618"
2021년06월_남_연령구간인구수,"109,995","5,261","2,554","2,388","4,568","5,077","6,239","2,493","3,848","2,804","2,931","1,508","2,224","1,612","4,608","8,302","5,311","10,431","6,094","8,194","2,384","5,473","4,073","11,618"
2021년06월_남_0~9세,"8,897",224,110,71,317,763,466,257,100,87,198,23,69,60,358,829,531,956,396,633,180,562,318,"1,389"
2021년06월_남_10~19세,"12,285",354,157,153,537,621,731,227,200,167,287,67,105,104,484,"1,245",727,"1,230",618,932,270,766,445,"1,858"
2021년06월_남_20~29세,"14,511",592,300,226,592,635,962,267,395,292,340,106,304,185,603,965,648,"1,322","1,114","1,402",289,755,622,"1,595"
2021년06월_남_30~39세,"12,686",547,233,229,526,876,691,329,326,245,316,125,172,142,506,948,551,"1,307",831,968,264,658,524,"1,372"
2021년06월_남_40~49세,"18,898",777,398,393,732,930,"1,055",433,560,432,506,250,327,249,792,"1,618",939,"1,736","1,067","1,290",416,975,687,"2,336"
2021년06월_남_50~59세,"18,143",911,437,463,765,617,"1,123",396,732,487,432,305,413,297,776,"1,221",763,"1,645","1,060","1,442",398,898,746,"1,816"
2021년06월_남_60~69세,"14,053",954,479,416,609,381,738,328,743,495,444,331,432,297,632,833,644,"1,371",662,"1,036",329,524,472,903
2021년06월_남_70~79세,"7,811",667,356,315,371,200,361,186,579,430,310,217,296,211,336,460,358,668,267,346,178,233,177,289
2021년06월_남_80~89세,"2,494",217,79,105,107,52,104,67,192,155,94,81,98,65,116,163,145,174,69,134,57,94,74,52
2021년06월_남_90~99세,212,18,5,15,11,2,8,3,20,13,4,3,8,2,5,20,5,22,10,11,3,8,8,8
