카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년04월_계_총인구수,"543,994","46,341","42,128","31,505","49,181","27,101","28,533","6,701","10,062","22,989","13,738","15,085","32,596","12,089","20,815","16,624","10,977","33,234","22,954","24,534","28,506","24,858","23,443"
2020년04월_계_연령구간인구수,"543,994","46,341","42,128","31,505","49,181","27,101","28,533","6,701","10,062","22,989","13,738","15,085","32,596","12,089","20,815","16,624","10,977","33,234","22,954","24,534","28,506","24,858","23,443"
2020년04월_계_0~9세,"52,115","4,964","2,587","4,052","7,170","4,232","3,424",354,515,"1,327",799,673,"2,879",610,"1,490",752,785,"2,869","2,072","2,658","3,169","2,435","2,299"
2020년04월_계_10~19세,"57,170","4,509","3,720","4,392","6,183","3,531","2,130",461,810,"1,650",951,"1,353","3,096",901,"2,019","1,344",791,"3,491","2,917","3,520","3,359","2,731","3,311"
2020년04월_계_20~29세,"73,430","6,577","6,795","3,824","5,874","2,882","3,583","1,084","1,658","3,375","1,816","2,358","4,468","1,697","3,130","2,321","1,496","4,783","2,867","2,658","3,838","3,181","3,165"
2020년04월_계_30~39세,"81,731","8,704","5,141","6,080","8,625","4,998","5,172",915,"1,197","3,001","1,668","1,639","4,648","1,500","2,664","1,885","1,720","4,830","2,661","3,527","4,805","3,378","2,973"
2020년04월_계_40~49세,"96,118","8,571","6,608","6,468","9,909","5,409","4,510",865,"1,415","3,391","1,958","2,291","5,122","1,917","3,056","2,336","1,609","5,986","4,579","5,635","5,517","4,389","4,577"
2020년04월_계_50~59세,"93,229","6,832","8,865","3,933","6,534","3,571","4,685","1,640","2,327","4,822","2,844","3,249","6,124","2,573","4,098","3,449","2,052","5,803","3,844","3,405","4,417","4,403","3,759"
2020년04월_계_60~69세,"54,936","3,816","4,914","1,761","3,257","1,702","3,146",939,"1,361","3,322","2,213","2,087","4,105","1,684","2,757","2,697","1,578","3,236","2,095","1,738","2,027","2,572","1,929"
2020년04월_계_70~79세,"23,630","1,659","2,209",655,"1,127",507,"1,278",274,504,"1,419","1,013",979,"1,499",842,"1,054","1,246",617,"1,518","1,280",946,904,"1,144",956
