,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년11월_계_총인구수,"8,888","6,290",893,433,"1,272"
2021년11월_계_연령구간인구수,"8,888","6,290",893,433,"1,272"
2021년11월_계_0~9세,378,277,45,13,43
2021년11월_계_10~19세,453,352,41,19,41
2021년11월_계_20~29세,810,612,66,22,110
2021년11월_계_30~39세,806,622,68,27,89
2021년11월_계_40~49세,"1,214",907,101,34,172
2021년11월_계_50~59세,"1,776","1,270",183,86,237
2021년11월_계_60~69세,"1,814","1,250",190,97,277
2021년11월_계_70~79세,"1,055",680,115,84,176
2021년11월_계_80~89세,500,277,78,36,109
2021년11월_계_90~99세,80,41,6,15,18
2021년11월_계_100세 이상,2,2,0,0,0
2021년11월_남_총인구수,"4,862","3,455",479,236,692
2021년11월_남_연령구간인구수,"4,862","3,455",479,236,692
2021년11월_남_0~9세,195,145,21,8,21
2021년11월_남_10~19세,227,164,29,12,22
2021년11월_남_20~29세,501,378,45,11,67
2021년11월_남_30~39세,475,372,37,15,51
2021년11월_남_40~49세,743,543,60,27,113
2021년11월_남_50~59세,"1,057",758,108,52,139
2021년11월_남_60~69세,945,647,104,46,148
2021년11월_남_70~79세,500,323,49,46,82
2021년11월_남_80~89세,199,116,24,14,45
2021년11월_남_90~99세,20,9,2,5,4
2021년11월_남_100세 이상,0,0,0,0,0
2021년11월_여_총인구수,"4,026","2,835",414,197,580
2021년11월_여_연령구간인구수,"4,026","2,835",414,197,580
2021년11월_여_0~9세,183,132,24,5,22
2021년11월_여_10~19세,226,188,12,7,19
2021년11월_여_20~29세,309,234,21,11,43
2021년11월_여_30~39세,331,250,31,12,38
2021년11월_여_40~49세,471,364,41,7,59
2021년11월_여_50~59세,719,512,75,34,98
2021년11월_여_60~69세,869,603,86,51,129
2021년11월_여_70~79세,555,357,66,38,94
2021년11월_여_80~89세,301,161,54,22,64
2021년11월_여_90~99세,60,32,4,10,14
2021년11월_여_100세 이상,2,2,0,0,0
