카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년10월_계_총인구수,"62,390","29,546","8,695","2,395","4,322","5,379","5,360","4,409","2,284"
2020년10월_계_연령구간인구수,"62,390","29,546","8,695","2,395","4,322","5,379","5,360","4,409","2,284"
2020년10월_계_0~9세,"3,135","2,226",325,69,121,119,105,122,48
2020년10월_계_10~19세,"4,510","2,937",597,131,172,200,194,178,101
2020년10월_계_20~29세,"5,061","2,989",596,97,414,286,259,301,119
2020년10월_계_30~39세,"5,167","3,264",561,130,248,315,253,273,123
2020년10월_계_40~49세,"7,740","4,507","1,021",245,395,475,521,393,183
2020년10월_계_50~59세,"10,895","4,976","1,551",451,764,"1,006",990,779,378
2020년10월_계_60~69세,"11,954","4,249","1,914",547,999,"1,379","1,326","1,003",537
2020년10월_계_70~79세,"8,791","2,876","1,417",445,739,"1,005","1,050",804,455
2020년10월_계_80~89세,"4,495","1,351",603,254,407,515,586,483,296
2020년10월_계_90~99세,616,166,99,26,61,76,75,71,42
2020년10월_계_100세 이상,26,5,11,0,2,3,1,2,2
2020년10월_남_총인구수,"31,429","14,914","4,317","1,152","2,229","2,760","2,652","2,249","1,156"
2020년10월_남_연령구간인구수,"31,429","14,914","4,317","1,152","2,229","2,760","2,652","2,249","1,156"
2020년10월_남_0~9세,"1,535","1,097",162,26,54,52,54,64,26
2020년10월_남_10~19세,"2,348","1,520",319,56,94,116,101,90,52
2020년10월_남_20~29세,"2,965","1,715",344,58,283,176,143,183,63
2020년10월_남_30~39세,"2,882","1,764",308,69,140,207,145,173,76
2020년10월_남_40~49세,"4,370","2,391",570,150,254,307,337,236,125
2020년10월_남_50~59세,"5,729","2,543",826,246,399,550,526,420,219
2020년10월_남_60~69세,"5,748","2,037",889,261,493,662,642,497,267
2020년10월_남_70~79세,"4,131","1,348",664,196,351,475,485,395,217
2020년10월_남_80~89세,"1,591",459,213,86,145,200,206,176,106
2020년10월_남_90~99세,125,40,20,4,14,15,13,14,5
2020년10월_남_100세 이상,5,0,2,0,2,0,0,1,0
2020년10월_여_총인구수,"30,961","14,632","4,378","1,243","2,093","2,619","2,708","2,160","1,128"
2020년10월_여_연령구간인구수,"30,961","14,632","4,378","1,243","2,093","2,619","2,708","2,160","1,128"
2020년10월_여_0~9세,"1,600","1,129",163,43,67,67,51,58,22
2020년10월_여_10~19세,"2,162","1,417",278,75,78,84,93,88,49
2020년10월_여_20~29세,"2,096","1,274",252,39,131,110,116,118,56
2020년10월_여_30~39세,"2,285","1,500",253,61,108,108,108,100,47
2020년10월_여_40~49세,"3,370","2,116",451,95,141,168,184,157,58
2020년10월_여_50~59세,"5,166","2,433",725,205,365,456,464,359,159
2020년10월_여_60~69세,"6,206","2,212","1,025",286,506,717,684,506,270
2020년10월_여_70~79세,"4,660","1,528",753,249,388,530,565,409,238
2020년10월_여_80~89세,"2,904",892,390,168,262,315,380,307,190
2020년10월_여_90~99세,491,126,79,22,47,61,62,57,37
2020년10월_여_100세 이상,21,5,9,0,0,3,1,1,2
