카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년11월_계_총인구수,"377,048","21,233","29,271","33,048","20,335","37,427","17,746","32,707","18,124","22,336","17,268","16,621","12,336","10,654","19,116","19,988","14,556","11,973","22,309"
2021년11월_계_연령구간인구수,"377,048","21,233","29,271","33,048","20,335","37,427","17,746","32,707","18,124","22,336","17,268","16,621","12,336","10,654","19,116","19,988","14,556","11,973","22,309"
2021년11월_계_0~9세,"24,875","1,353","1,176","2,700","1,059","2,726",890,"3,265","1,285","1,563",540,"1,122",848,791,"1,139","2,063",863,395,"1,097"
2021년11월_계_10~19세,"23,688","1,207",853,"2,873",939,"2,270",917,"2,970","1,003","1,470",819,"1,096",810,724,"1,235","1,717",879,547,"1,359"
2021년11월_계_20~29세,"58,755","2,847","7,519","3,662","3,447","7,228","2,653","3,603","2,869","3,790","3,382","2,139","1,555","1,280","3,138","2,666","2,034","1,866","3,077"
2021년11월_계_30~39세,"69,331","3,228","7,521","4,863","4,240","8,236","3,159","5,982","4,636","5,319","3,082","2,508","1,860","1,483","3,099","3,343","1,941","1,658","3,173"
2021년11월_계_40~49세,"55,554","3,014","3,528","5,333","2,785","5,274","2,589","6,031","2,942","3,271","2,340","2,395","1,882","1,591","2,675","3,328","2,003","1,568","3,005"
2021년11월_계_50~59세,"56,242","3,625","3,530","5,151","2,983","4,815","2,942","4,251","2,073","3,037","2,504","2,826","2,009","1,805","3,034","3,000","2,511","2,089","4,057"
2021년11월_계_60~69세,"48,250","3,292","3,039","4,206","2,712","3,871","2,422","3,579","1,738","2,270","2,348","2,512","1,906","1,706","2,699","2,249","2,202","1,868","3,631"
2021년11월_계_70~79세,"26,871","1,821","1,437","2,564","1,422","1,978","1,433","2,018","1,045","1,060","1,467","1,396",988,889,"1,409","1,083","1,492","1,369","2,000"
2021년11월_계_80~89세,"11,888",735,577,"1,487",657,898,650,883,463,486,707,555,424,341,616,479,555,556,819
2021년11월_계_90~99세,"1,529",104,91,202,88,124,89,115,66,68,75,68,51,43,71,58,73,55,88
2021년11월_계_100세 이상,65,7,0,7,3,7,2,10,4,2,4,4,3,1,1,2,3,2,3
2021년11월_남_총인구수,"186,047","10,872","15,405","15,516","9,982","17,529","8,952","16,015","8,853","10,982","8,784","8,204","6,134","5,182","9,320","9,972","7,243","5,906","11,196"
2021년11월_남_연령구간인구수,"186,047","10,872","15,405","15,516","9,982","17,529","8,952","16,015","8,853","10,982","8,784","8,204","6,134","5,182","9,320","9,972","7,243","5,906","11,196"
2021년11월_남_0~9세,"12,723",680,586,"1,342",553,"1,417",454,"1,687",687,788,258,579,418,401,576,"1,080",457,205,555
2021년11월_남_10~19세,"12,344",621,447,"1,443",471,"1,128",493,"1,544",498,769,430,567,439,361,708,928,509,263,725
2021년11월_남_20~29세,"27,203","1,524","3,098","1,671","1,574","2,929","1,271","1,730","1,216","1,678","1,678","1,051",803,634,"1,443","1,315","1,025",948,"1,615"
2021년11월_남_30~39세,"35,325","1,699","4,161","2,179","2,169","3,906","1,658","2,823","2,347","2,726","1,748","1,288",973,770,"1,562","1,675","1,017",930,"1,694"
2021년11월_남_40~49세,"28,655","1,575","2,028","2,482","1,434","2,633","1,390","3,043","1,562","1,653","1,286","1,243",984,837,"1,381","1,689","1,072",836,"1,527"
