카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년03월_계_총인구수,"68,996","22,772","7,731","4,885","6,907","4,475","4,184","3,103","4,090","1,862","3,172","2,927","2,249",379,260
2020년03월_계_연령구간인구수,"68,996","22,772","7,731","4,885","6,907","4,475","4,184","3,103","4,090","1,862","3,172","2,927","2,249",379,260
2020년03월_계_0~9세,"3,298","1,472",529,180,312,160,153,64,118,53,117,66,63,5,6
2020년03월_계_10~19세,"4,738","2,252",663,219,399,195,237,139,168,75,141,121,114,12,3
2020년03월_계_20~29세,"5,520","2,331",708,317,532,288,266,195,242,90,222,183,121,18,7
2020년03월_계_30~39세,"5,442","2,232",678,331,600,321,233,187,240,83,209,166,134,19,9
2020년03월_계_40~49세,"7,859","3,275","1,070",446,738,379,442,294,356,148,274,208,194,23,12
2020년03월_계_50~59세,"12,192","3,824","1,365",884,"1,381",796,742,548,668,352,545,539,418,75,55
2020년03월_계_60~69세,"13,627","3,486","1,324","1,197","1,498","1,119",932,726,913,426,661,632,535,106,72
2020년03월_계_70~79세,"10,002","2,480",837,771,943,743,698,609,817,377,590,615,396,65,61
2020년03월_계_80~89세,"5,501","1,235",480,453,432,401,417,310,506,230,376,342,237,52,30
2020년03월_계_90~99세,776,171,76,84,69,70,61,29,58,27,33,52,37,4,5
2020년03월_계_100세 이상,41,14,1,3,3,3,3,2,4,1,4,3,0,0,0
2020년03월_남_총인구수,"34,595","11,261","3,862","2,468","3,512","2,260","2,099","1,537","2,080",930,"1,582","1,507","1,167",191,139
2020년03월_남_연령구간인구수,"34,595","11,261","3,862","2,468","3,512","2,260","2,099","1,537","2,080",930,"1,582","1,507","1,167",191,139
2020년03월_남_0~9세,"1,710",768,266,77,162,72,83,42,63,30,60,39,40,4,4
2020년03월_남_10~19세,"2,446","1,131",343,115,210,116,126,73,87,35,71,59,73,6,1
2020년03월_남_20~29세,"3,191","1,334",418,186,313,160,159,110,147,52,118,115,66,9,4
2020년03월_남_30~39세,"2,872","1,161",327,179,307,188,123,104,127,49,124,94,75,9,5
2020년03월_남_40~49세,"4,272","1,669",556,251,421,222,249,163,212,79,177,137,111,17,8
2020년03월_남_50~59세,"6,250","1,910",695,454,700,388,385,264,367,200,292,290,232,41,32
2020년03월_남_60~69세,"6,764","1,689",663,604,737,567,461,363,464,210,314,328,276,49,39
2020년03월_남_70~79세,"4,726","1,092",397,394,488,360,329,283,387,174,280,285,191,37,29
2020년03월_남_80~89세,"2,162",461,177,187,160,167,166,124,218,96,137,143,95,16,15
2020년03월_남_90~99세,191,41,20,21,12,20,17,9,8,5,9,16,8,3,2
2020년03월_남_100세 이상,11,5,0,0,2,0,1,2,0,0,0,1,0,0,0
2020년03월_여_총인구수,"34,401","11,511","3,869","2,417","3,395","2,215","2,085","1,566","2,010",932,"1,590","1,420","1,082",188,121
2020년03월_여_연령구간인구수,"34,401","11,511","3,869","2,417","3,395","2,215","2,085","1,566","2,010",932,"1,590","1,420","1,082",188,121
2020년03월_여_0~9세,"1,588",704,263,103,150,88,70,22,55,23,57,27,23,1,2
2020년03월_여_10~19세,"2,292","1,121",320,104,189,79,111,66,81,40,70,62,41,6,2
2020년03월_여_20~29세,"2,329",997,290,131,219,128,107,85,95,38,104,68,55,9,3
2020년03월_여_30~39세,"2,570","1,071",351,152,293,133,110,83,113,34,85,72,59,10,4
2020년03월_여_40~49세,"3,587","1,606",514,195,317,157,193,131,144,69,97,71,83,6,4
2020년03월_여_50~59세,"5,942","1,914",670,430,681,408,357,284,301,152,253,249,186,34,23
2020년03월_여_60~69세,"6,863","1,797",661,593,761,552,471,363,449,216,347,304,259,57,33
2020년03월_여_70~79세,"5,276","1,388",440,377,455,383,369,326,430,203,310,330,205,28,32
2020년03월_여_80~89세,"3,339",774,303,266,272,234,251,186,288,134,239,199,142,36,15
2020년03월_여_90~99세,585,130,56,63,57,50,44,20,50,22,24,36,29,1,3
2020년03월_여_100세 이상,30,9,1,3,1,3,2,0,4,1,4,2,0,0,0
