,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년10월_계_총인구수,"265,504","3,120","4,785","3,376","2,624","2,507","4,874","2,951","2,868","2,173","3,313","2,936","2,270","5,199","7,039","5,477","4,427","12,737","22,504","7,410","8,021","2,841","55,427","12,472","23,331","32,113","17,151","11,558"
2021년10월_계_연령구간인구수,"265,504","3,120","4,785","3,376","2,624","2,507","4,874","2,951","2,868","2,173","3,313","2,936","2,270","5,199","7,039","5,477","4,427","12,737","22,504","7,410","8,021","2,841","55,427","12,472","23,331","32,113","17,151","11,558"
2021년10월_계_0~9세,"19,649",80,577,168,56,73,130,75,80,38,91,103,102,159,326,137,261,"1,075","2,548",375,507,168,"6,381",612,"1,534","2,332","1,066",595
2021년10월_계_10~19세,"26,224",116,386,343,105,106,226,138,128,93,154,144,143,381,575,316,192,"1,085","2,105",478,681,235,"7,711","1,105","2,797","4,076","1,602",803
2021년10월_계_20~29세,"29,250",225,376,224,214,140,314,257,253,128,301,265,161,420,787,558,406,"1,317","2,564",674,"1,045",290,"6,623","1,472","2,855","4,272","1,908","1,201"
2021년10월_계_30~39세,"29,231",178,693,205,146,147,318,178,180,117,251,189,171,385,533,375,617,"1,655","3,689",703,965,252,"7,254","1,218","2,037","3,379","2,038","1,358"
2021년10월_계_40~49세,"42,569",302,747,450,231,230,500,276,252,208,451,335,244,655,898,564,610,"1,914","3,669","1,067","1,083",334,"10,940","1,783","3,674","5,877","3,260","2,015"
2021년10월_계_50~59세,"44,124",569,697,553,441,401,756,536,542,354,713,458,330,854,"1,093",901,650,"2,025","3,140","1,214","1,437",469,"8,333","2,334","4,194","5,719","3,219","2,192"
2021년10월_계_60~69세,"38,896",709,634,607,657,620,"1,162",707,661,515,735,608,492,"1,114","1,342","1,139",791,"1,880","2,662","1,440","1,364",524,"4,831","2,260","3,456","3,688","2,446","1,852"
2021년10월_계_70~79세,"23,400",544,393,459,441,415,880,500,478,417,411,528,443,817,"1,009",972,629,"1,260","1,515","1,032",658,358,"2,296","1,179","1,776","1,854","1,125","1,011"
2021년10월_계_80~89세,"10,443",325,233,313,264,302,492,242,247,255,180,263,164,369,426,452,228,469,522,381,237,182,914,430,878,806,397,472
2021년10월_계_90~99세,"1,665",72,49,54,64,68,95,39,46,45,24,41,19,44,50,61,41,57,87,45,44,27,137,78,128,107,86,57
2021년10월_계_100세 이상,53,0,0,0,5,5,1,3,1,3,2,2,1,1,0,2,2,0,3,1,0,2,7,1,2,3,4,2
2021년10월_남_총인구수,"134,408","1,606","2,430","1,730","1,345","1,260","2,429","1,505","1,430","1,129","1,867","1,499","1,105","2,600","3,506","2,662","2,247","6,413","11,423","3,694","4,006","1,448","27,692","6,205","11,295","16,011","9,452","6,419"
2021년10월_남_연령구간인구수,"134,408","1,606","2,430","1,730","1,345","1,260","2,429","1,505","1,430","1,129","1,867","1,499","1,105","2,600","3,506","2,662","2,247","6,413","11,423","3,694","4,006","1,448","27,692","6,205","11,295","16,011","9,452","6,419"
2021년10월_남_0~9세,"10,004",41,288,79,32,42,69,33,33,22,49,50,52,79,177,78,141,573,"1,300",196,240,78,"3,235",310,762,"1,177",567,301
2021년10월_남_10~19세,"13,569",61,187,182,63,50,129,76,57,54,87,76,70,196,297,150,103,564,"1,121",254,347,127,"4,013",604,"1,364","2,084",826,427
2021년10월_남_20~29세,"16,113",142,215,137,129,84,184,156,155,75,178,153,66,240,447,319,202,698,"1,360",347,558,177,"3,540",818,"1,605","2,327","1,109",692
2021년10월_남_30~39세,"15,301",111,348,101,87,90,171,103,90,69,162,112,88,201,274,214,354,859,"1,913",403,513,130,"3,485",657,996,"1,736","1,204",830
2021년10월_남_40~49세,"22,329",190,404,265,148,149,303,154,145,123,299,204,142,355,476,316,342,"1,009","1,925",609,561,178,"5,357",874,"1,732","2,903","1,915","1,251"
2021년10월_남_50~59세,"23,251",330,381,324,239,229,431,292,286,208,418,270,183,458,576,448,338,"1,052","1,615",637,678,241,"4,328","1,153","2,077","2,888","1,872","1,299"
2021년10월_남_60~69세,"19,217",353,336,322,353,326,571,365,336,280,403,298,233,548,607,549,374,899,"1,262",645,695,245,"2,373","1,093","1,660","1,777","1,303","1,011"
2021년10월_남_70~79세,"10,653",253,185,191,205,186,390,237,228,205,199,241,202,366,485,408,294,552,731,452,315,183,"1,022",532,801,818,511,461
2021년10월_남_80~89세,"3,623",107,80,120,77,90,162,81,90,81,69,81,65,146,159,166,88,191,182,141,94,81,311,147,266,275,134,139
2021년10월_남_90~99세,341,18,6,9,12,14,19,8,10,11,3,14,3,11,8,13,11,16,14,10,5,7,27,17,32,25,10,8
2021년10월_남_100세 이상,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
2021년10월_여_총인구수,"131,096","1,514","2,355","1,646","1,279","1,247","2,445","1,446","1,438","1,044","1,446","1,437","1,165","2,599","3,533","2,815","2,180","6,324","11,081","3,716","4,015","1,393","27,735","6,267","12,036","16,102","7,699","5,139"
2021년10월_여_연령구간인구수,"131,096","1,514","2,355","1,646","1,279","1,247","2,445","1,446","1,438","1,044","1,446","1,437","1,165","2,599","3,533","2,815","2,180","6,324","11,081","3,716","4,015","1,393","27,735","6,267","12,036","16,102","7,699","5,139"
2021년10월_여_0~9세,"9,645",39,289,89,24,31,61,42,47,16,42,53,50,80,149,59,120,502,"1,248",179,267,90,"3,146",302,772,"1,155",499,294
2021년10월_여_10~19세,"12,655",55,199,161,42,56,97,62,71,39,67,68,73,185,278,166,89,521,984,224,334,108,"3,698",501,"1,433","1,992",776,376
2021년10월_여_20~29세,"13,137",83,161,87,85,56,130,101,98,53,123,112,95,180,340,239,204,619,"1,204",327,487,113,"3,083",654,"1,250","1,945",799,509
2021년10월_여_30~39세,"13,930",67,345,104,59,57,147,75,90,48,89,77,83,184,259,161,263,796,"1,776",300,452,122,"3,769",561,"1,041","1,643",834,528
2021년10월_여_40~49세,"20,240",112,343,185,83,81,197,122,107,85,152,131,102,300,422,248,268,905,"1,744",458,522,156,"5,583",909,"1,942","2,974","1,345",764
2021년10월_여_50~59세,"20,873",239,316,229,202,172,325,244,256,146,295,188,147,396,517,453,312,973,"1,525",577,759,228,"4,005","1,181","2,117","2,831","1,347",893
2021년10월_여_60~69세,"19,679",356,298,285,304,294,591,342,325,235,332,310,259,566,735,590,417,981,"1,400",795,669,279,"2,458","1,167","1,796","1,911","1,143",841
2021년10월_여_70~79세,"12,747",291,208,268,236,229,490,263,250,212,212,287,241,451,524,564,335,708,784,580,343,175,"1,274",647,975,"1,036",614,550
2021년10월_여_80~89세,"6,820",218,153,193,187,212,330,161,157,174,111,182,99,223,267,286,140,278,340,240,143,101,603,283,612,531,263,333
2021년10월_여_90~99세,"1,324",54,43,45,52,54,76,31,36,34,21,27,16,33,42,48,30,41,73,35,39,20,110,61,96,82,76,49
2021년10월_여_100세 이상,46,0,0,0,5,5,1,3,1,2,2,2,0,1,0,1,2,0,3,1,0,1,6,1,2,2,3,2
