,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년08월_계_총인구수,"42,980","6,480","4,529","6,031","13,742","3,927","3,525","2,620","2,126"
2020년08월_계_연령구간인구수,"42,980","6,480","4,529","6,031","13,742","3,927","3,525","2,620","2,126"
2020년08월_계_0~9세,"2,674",503,198,402,"1,159",169,126,76,41
2020년08월_계_10~19세,"3,864",571,317,514,"1,671",270,232,183,106
2020년08월_계_20~29세,"3,677",609,351,404,"1,447",268,306,160,132
2020년08월_계_30~39세,"3,895",623,295,560,"1,586",288,263,154,126
2020년08월_계_40~49세,"6,506",938,632,934,"2,602",524,394,282,200
2020년08월_계_50~59세,"7,459","1,142",826,977,"2,190",763,748,432,381
2020년08월_계_60~69세,"7,622","1,105",999,"1,074","1,722",901,717,610,494
2020년08월_계_70~79세,"4,908",667,641,782,943,515,466,485,409
2020년08월_계_80~89세,"2,046",264,222,331,371,200,240,214,204
2020년08월_계_90~99세,267,44,40,45,43,24,26,20,25
2020년08월_계_100세 이상,62,14,8,8,8,5,7,4,8
2020년08월_남_총인구수,"21,749","3,211","2,311","3,050","6,986","1,983","1,743","1,360","1,105"
2020년08월_남_연령구간인구수,"21,749","3,211","2,311","3,050","6,986","1,983","1,743","1,360","1,105"
2020년08월_남_0~9세,"1,387",263,98,218,591,85,64,45,23
2020년08월_남_10~19세,"2,011",301,171,256,877,122,112,115,57
2020년08월_남_20~29세,"2,111",365,207,242,818,142,168,93,76
2020년08월_남_30~39세,"2,038",320,164,272,802,161,157,84,78
2020년08월_남_40~49세,"3,458",471,348,534,"1,331",289,202,169,114
2020년08월_남_50~59세,"3,999",572,456,552,"1,157",401,394,245,222
2020년08월_남_60~69세,"3,742",519,501,499,840,453,363,314,253
2020년08월_남_70~79세,"2,194",291,275,348,433,237,204,214,192
2020년08월_남_80~89세,726,93,79,115,125,87,75,75,77
2020년08월_남_90~99세,57,9,9,11,7,4,2,4,11
2020년08월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년08월_여_총인구수,"21,231","3,269","2,218","2,981","6,756","1,944","1,782","1,260","1,021"
2020년08월_여_연령구간인구수,"21,231","3,269","2,218","2,981","6,756","1,944","1,782","1,260","1,021"
2020년08월_여_0~9세,"1,287",240,100,184,568,84,62,31,18
2020년08월_여_10~19세,"1,853",270,146,258,794,148,120,68,49
2020년08월_여_20~29세,"1,566",244,144,162,629,126,138,67,56
2020년08월_여_30~39세,"1,857",303,131,288,784,127,106,70,48
2020년08월_여_40~49세,"3,048",467,284,400,"1,271",235,192,113,86
2020년08월_여_50~59세,"3,460",570,370,425,"1,033",362,354,187,159
2020년08월_여_60~69세,"3,880",586,498,575,882,448,354,296,241
2020년08월_여_70~79세,"2,714",376,366,434,510,278,262,271,217
2020년08월_여_80~89세,"1,320",171,143,216,246,113,165,139,127
2020년08월_여_90~99세,210,35,31,34,36,20,24,16,14
2020년08월_여_100세 이상,36,7,5,5,3,3,5,2,6
