카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년09월_계_총인구수,"110,099","17,681","13,546","15,347","7,441","1,570","3,373","2,776","3,444","5,902","4,913","6,362","15,615","6,718","5,155",256
2021년09월_계_연령구간인구수,"110,099","17,681","13,546","15,347","7,441","1,570","3,373","2,776","3,444","5,902","4,913","6,362","15,615","6,718","5,155",256
2021년09월_계_0~9세,"7,772","1,303","1,411","1,843",598,33,81,69,65,161,201,419,"1,005",296,285,2
2021년09월_계_10~19세,"10,118","1,775","1,561","2,045",650,44,142,74,134,275,284,492,"1,637",617,381,7
2021년09월_계_20~29세,"10,406","2,219","1,498","1,474",500,101,242,138,212,360,425,507,"1,633",694,393,10
2021년09월_계_30~39세,"11,303","2,226","1,926","2,176",764,91,173,123,147,383,395,636,"1,326",511,415,11
2021년09월_계_40~49세,"17,390","3,092","2,435","3,112","1,225",137,315,244,306,648,622,950,"2,509","1,099",668,28
2021년09월_계_50~59세,"18,240","3,040","2,081","1,931","1,139",268,567,502,633,998,914,"1,113","2,911","1,252",852,39
2021년09월_계_60~69세,"17,230","2,119","1,356","1,393","1,266",416,794,683,805,"1,458","1,035","1,145","2,484","1,166","1,044",66
2021년09월_계_70~79세,"10,744","1,137",748,829,782,249,598,519,628,"1,066",663,761,"1,370",674,656,64
2021년09월_계_80~89세,"5,999",669,439,468,438,205,400,377,441,487,335,305,674,350,384,27
2021년09월_계_90~99세,869,96,88,75,77,26,56,45,71,65,39,31,65,58,75,2
2021년09월_계_100세 이상,28,5,3,1,2,0,5,2,2,1,0,3,1,1,2,0
2021년09월_남_총인구수,"55,543","9,226","6,804","7,995","3,719",814,"1,728","1,388","1,694","2,894","2,437","3,105","7,597","3,476","2,537",129
2021년09월_남_연령구간인구수,"55,543","9,226","6,804","7,995","3,719",814,"1,728","1,388","1,694","2,894","2,437","3,105","7,597","3,476","2,537",129
2021년09월_남_0~9세,"4,025",680,716,986,279,18,50,37,34,87,102,208,527,148,152,1
2021년09월_남_10~19세,"5,215",884,817,"1,012",354,25,76,49,65,146,149,268,830,340,195,5
2021년09월_남_20~29세,"6,229","1,303",856,930,291,57,159,93,141,215,273,293,950,417,244,7
2021년09월_남_30~39세,"6,133","1,288","1,002","1,154",391,58,99,69,84,241,230,331,672,292,217,5
2021년09월_남_40~49세,"9,198","1,682","1,195","1,630",691,83,191,158,185,385,345,497,"1,183",584,366,23
2021년09월_남_50~59세,"9,719","1,611","1,092","1,102",596,165,319,295,369,543,461,565,"1,457",692,426,26
2021년09월_남_60~69세,"8,369","1,062",665,675,600,229,417,348,396,666,485,520,"1,181",583,511,31
2021년09월_남_70~79세,"4,618",490,317,346,355,110,273,219,280,444,279,314,585,288,294,24
2021년09월_남_80~89세,"1,888",212,129,147,147,63,130,112,129,158,105,103,203,122,122,6
2021년09월_남_90~99세,140,13,14,13,14,6,12,7,10,9,8,6,9,9,9,1
2021년09월_남_100세 이상,9,1,1,0,1,0,2,1,1,0,0,0,0,1,1,0
2021년09월_여_총인구수,"54,556","8,455","6,742","7,352","3,722",756,"1,645","1,388","1,750","3,008","2,476","3,257","8,018","3,242","2,618",127
2021년09월_여_연령구간인구수,"54,556","8,455","6,742","7,352","3,722",756,"1,645","1,388","1,750","3,008","2,476","3,257","8,018","3,242","2,618",127
2021년09월_여_0~9세,"3,747",623,695,857,319,15,31,32,31,74,99,211,478,148,133,1
2021년09월_여_10~19세,"4,903",891,744,"1,033",296,19,66,25,69,129,135,224,807,277,186,2
2021년09월_여_20~29세,"4,177",916,642,544,209,44,83,45,71,145,152,214,683,277,149,3
2021년09월_여_30~39세,"5,170",938,924,"1,022",373,33,74,54,63,142,165,305,654,219,198,6
2021년09월_여_40~49세,"8,192","1,410","1,240","1,482",534,54,124,86,121,263,277,453,"1,326",515,302,5
2021년09월_여_50~59세,"8,521","1,429",989,829,543,103,248,207,264,455,453,548,"1,454",560,426,13
2021년09월_여_60~69세,"8,861","1,057",691,718,666,187,377,335,409,792,550,625,"1,303",583,533,35
2021년09월_여_70~79세,"6,126",647,431,483,427,139,325,300,348,622,384,447,785,386,362,40
2021년09월_여_80~89세,"4,111",457,310,321,291,142,270,265,312,329,230,202,471,228,262,21
2021년09월_여_90~99세,729,83,74,62,63,20,44,38,61,56,31,25,56,49,66,1
2021년09월_여_100세 이상,19,4,2,1,1,0,3,1,1,1,0,3,1,0,1,0
