카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년05월_계_총인구수,"146,066","12,297","9,222","12,791","16,949","11,447","10,536","10,988","11,185","7,137","9,641","15,952","9,231","8,690"
2021년05월_계_연령구간인구수,"146,066","12,297","9,222","12,791","16,949","11,447","10,536","10,988","11,185","7,137","9,641","15,952","9,231","8,690"
2021년05월_계_0~9세,"6,669",750,337,949,811,478,371,361,453,247,525,745,320,322
2021년05월_계_10~19세,"9,274","1,038",522,"1,038","1,306",723,601,591,626,387,628,898,470,446
2021년05월_계_20~29세,"20,306","1,238","1,108","1,282","2,073","1,803","2,003","1,522","1,632","1,399","1,455","2,407","1,318","1,066"
2021년05월_계_30~39세,"17,049","1,238","1,124","1,532","1,821","1,358","1,279","1,159","1,218",831,"1,259","2,142","1,127",961
2021년05월_계_40~49세,"20,009","1,946","1,322","1,832","2,441","1,538","1,345","1,472","1,348",845,"1,385","2,308","1,174","1,053"
2021년05월_계_50~59세,"24,735","2,021","1,631","2,083","2,920","2,004","1,650","1,935","2,018","1,148","1,569","2,660","1,572","1,524"
2021년05월_계_60~69세,"24,403","1,769","1,560","2,059","2,860","1,907","1,589","2,011","2,100","1,131","1,472","2,481","1,703","1,761"
2021년05월_계_70~79세,"15,044","1,373",962,"1,225","1,669","1,095","1,097","1,300","1,197",737,866,"1,526",984,"1,013"
2021년05월_계_80~89세,"7,509",785,585,686,925,465,535,556,524,367,420,669,507,485
2021년05월_계_90~99세,998,132,67,99,115,74,61,71,63,42,58,107,53,56
2021년05월_계_100세 이상,70,7,4,6,8,2,5,10,6,3,4,9,3,3
2021년05월_남_총인구수,"70,118","5,788","4,438","6,125","8,042","5,580","4,971","5,420","5,443","3,385","4,623","7,770","4,382","4,151"
2021년05월_남_연령구간인구수,"70,118","5,788","4,438","6,125","8,042","5,580","4,971","5,420","5,443","3,385","4,623","7,770","4,382","4,151"
2021년05월_남_0~9세,"3,445",415,172,483,425,255,182,199,216,145,248,386,159,160
2021년05월_남_10~19세,"4,875",566,287,508,673,388,288,316,338,210,336,475,254,236
2021년05월_남_20~29세,"10,122",621,532,679,"1,047",910,938,763,864,608,712,"1,216",659,573
2021년05월_남_30~39세,"8,996",618,609,790,926,714,687,660,671,423,641,"1,122",595,540
2021년05월_남_40~49세,"10,116",961,678,894,"1,166",796,691,810,690,453,672,"1,182",589,534
2021년05월_남_50~59세,"12,064",990,808,964,"1,453",955,815,"1,010",995,566,788,"1,273",731,716
2021년05월_남_60~69세,"11,163",761,737,967,"1,267",888,723,920,968,521,692,"1,169",766,784
2021년05월_남_70~79세,"6,385",544,387,551,703,480,455,538,520,318,378,655,437,419
2021년05월_남_80~89세,"2,716",281,215,259,352,177,177,190,167,130,148,267,179,174
2021년05월_남_90~99세,222,31,11,28,29,17,14,12,11,11,8,24,12,14
2021년05월_남_100세 이상,14,0,2,2,1,0,1,2,3,0,0,1,1,1
2021년05월_여_총인구수,"75,948","6,509","4,784","6,666","8,907","5,867","5,565","5,568","5,742","3,752","5,018","8,182","4,849","4,539"
2021년05월_여_연령구간인구수,"75,948","6,509","4,784","6,666","8,907","5,867","5,565","5,568","5,742","3,752","5,018","8,182","4,849","4,539"
2021년05월_여_0~9세,"3,224",335,165,466,386,223,189,162,237,102,277,359,161,162
2021년05월_여_10~19세,"4,399",472,235,530,633,335,313,275,288,177,292,423,216,210
2021년05월_여_20~29세,"10,184",617,576,603,"1,026",893,"1,065",759,768,791,743,"1,191",659,493
2021년05월_여_30~39세,"8,053",620,515,742,895,644,592,499,547,408,618,"1,020",532,421
2021년05월_여_40~49세,"9,893",985,644,938,"1,275",742,654,662,658,392,713,"1,126",585,519
2021년05월_여_50~59세,"12,671","1,031",823,"1,119","1,467","1,049",835,925,"1,023",582,781,"1,387",841,808
2021년05월_여_60~69세,"13,240","1,008",823,"1,092","1,593","1,019",866,"1,091","1,132",610,780,"1,312",937,977
2021년05월_여_70~79세,"8,659",829,575,674,966,615,642,762,677,419,488,871,547,594
2021년05월_여_80~89세,"4,793",504,370,427,573,288,358,366,357,237,272,402,328,311
2021년05월_여_90~99세,776,101,56,71,86,57,47,59,52,31,50,83,41,42
2021년05월_여_100세 이상,56,7,2,4,7,2,4,8,3,3,4,8,2,2
