,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년05월_계_총인구수,"105,611","7,565","3,363","2,984","5,681","4,278","4,705","4,714","5,325","2,984","3,264","4,731","8,296","5,470","8,084","19,614","14,553"
2020년05월_계_연령구간인구수,"105,611","7,565","3,363","2,984","5,681","4,278","4,705","4,714","5,325","2,984","3,264","4,731","8,296","5,470","8,084","19,614","14,553"
2020년05월_계_0~9세,"6,095",278,115,70,189,177,215,128,166,83,86,193,450,388,336,"1,510","1,711"
2020년05월_계_10~19세,"8,489",429,143,135,293,216,378,231,300,158,89,358,739,577,581,"2,119","1,743"
2020년05월_계_20~29세,"11,508",521,230,186,353,353,454,290,412,194,182,588,922,760,907,"3,246","1,910"
2020년05월_계_30~39세,"9,884",520,212,187,332,316,411,280,352,156,196,401,869,517,737,"2,360","2,038"
2020년05월_계_40~49세,"13,613",821,288,232,537,498,594,439,571,273,310,599,"1,166",795,"1,022","3,072","2,396"
2020년05월_계_50~59세,"18,775","1,389",632,518,"1,063",982,955,847,976,546,642,825,"1,429",908,"1,566","3,247","2,250"
2020년05월_계_60~69세,"17,719","1,700",730,636,"1,337",940,803,"1,088","1,070",640,846,792,"1,360",813,"1,417","2,232","1,315"
2020년05월_계_70~79세,"11,416","1,106",558,536,886,495,514,736,820,499,522,600,859,436,978,"1,178",693
2020년05월_계_80~89세,"7,076",711,399,423,603,260,327,588,571,388,337,320,434,242,486,567,420
2020년05월_계_90~99세,976,83,51,57,83,40,53,83,80,43,51,53,62,33,52,78,74
2020년05월_계_100세 이상,60,7,5,4,5,1,1,4,7,4,3,2,6,1,2,5,3
2020년05월_남_총인구수,"52,952","3,823","1,711","1,544","2,891","2,264","2,448","2,441","2,764","1,497","1,455","2,370","4,098","2,746","4,079","9,614","7,207"
2020년05월_남_연령구간인구수,"52,952","3,823","1,711","1,544","2,891","2,264","2,448","2,441","2,764","1,497","1,455","2,370","4,098","2,746","4,079","9,614","7,207"
2020년05월_남_0~9세,"3,174",157,52,38,94,105,102,70,89,44,45,98,241,205,183,776,875
2020년05월_남_10~19세,"4,390",219,91,65,151,124,191,126,144,77,44,194,361,290,312,"1,079",922
2020년05월_남_20~29세,"6,388",324,125,117,189,209,285,182,261,103,107,332,515,373,528,"1,711","1,027"
2020년05월_남_30~39세,"5,308",316,122,114,184,190,221,168,208,100,103,235,491,274,414,"1,190",978
2020년05월_남_40~49세,"7,174",457,183,147,326,269,351,280,352,161,133,307,604,414,556,"1,499","1,135"
2020년05월_남_50~59세,"9,742",690,363,304,605,518,513,443,559,310,280,427,730,478,811,"1,572","1,139"
2020년05월_남_60~69세,"8,838",869,377,338,688,500,427,577,549,326,372,381,621,415,680,"1,045",673
2020년05월_남_70~79세,"5,200",510,258,256,420,233,239,348,384,224,235,265,363,213,416,528,308
2020년05월_남_80~89세,"2,463",257,119,153,210,106,109,224,190,141,116,118,152,79,168,194,127
2020년05월_남_90~99세,262,20,21,12,22,10,10,23,28,10,20,13,19,4,11,17,22
2020년05월_남_100세 이상,13,4,0,0,2,0,0,0,0,1,0,0,1,1,0,3,1
2020년05월_여_총인구수,"52,659","3,742","1,652","1,440","2,790","2,014","2,257","2,273","2,561","1,487","1,809","2,361","4,198","2,724","4,005","10,000","7,346"
2020년05월_여_연령구간인구수,"52,659","3,742","1,652","1,440","2,790","2,014","2,257","2,273","2,561","1,487","1,809","2,361","4,198","2,724","4,005","10,000","7,346"
2020년05월_여_0~9세,"2,921",121,63,32,95,72,113,58,77,39,41,95,209,183,153,734,836
2020년05월_여_10~19세,"4,099",210,52,70,142,92,187,105,156,81,45,164,378,287,269,"1,040",821
2020년05월_여_20~29세,"5,120",197,105,69,164,144,169,108,151,91,75,256,407,387,379,"1,535",883
2020년05월_여_30~39세,"4,576",204,90,73,148,126,190,112,144,56,93,166,378,243,323,"1,170","1,060"
2020년05월_여_40~49세,"6,439",364,105,85,211,229,243,159,219,112,177,292,562,381,466,"1,573","1,261"
2020년05월_여_50~59세,"9,033",699,269,214,458,464,442,404,417,236,362,398,699,430,755,"1,675","1,111"
2020년05월_여_60~69세,"8,881",831,353,298,649,440,376,511,521,314,474,411,739,398,737,"1,187",642
2020년05월_여_70~79세,"6,216",596,300,280,466,262,275,388,436,275,287,335,496,223,562,650,385
2020년05월_여_80~89세,"4,613",454,280,270,393,154,218,364,381,247,221,202,282,163,318,373,293
2020년05월_여_90~99세,714,63,30,45,61,30,43,60,52,33,31,40,43,29,41,61,52
2020년05월_여_100세 이상,47,3,5,4,3,1,1,4,7,3,3,2,5,0,2,2,2
