,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년05월_계_총인구수,"41,209","2,517","2,831","6,451","10,703","4,702","1,047",987,"4,759","7,212"
2021년05월_계_연령구간인구수,"41,209","2,517","2,831","6,451","10,703","4,702","1,047",987,"4,759","7,212"
2021년05월_계_0~9세,"1,232",32,71,189,356,102,20,15,177,270
2021년05월_계_10~19세,"1,969",67,103,373,562,200,35,30,197,402
2021년05월_계_20~29세,"5,694",682,305,932,"1,513",552,113,62,790,745
2021년05월_계_30~39세,"4,458",444,232,670,"1,112",480,102,84,682,652
2021년05월_계_40~49세,"5,304",298,336,903,"1,436",547,112,101,660,911
2021년05월_계_50~59세,"6,919",347,517,"1,069","1,810",792,192,206,699,"1,287"
2021년05월_계_60~69세,"7,978",363,586,"1,166","2,029","1,041",254,281,789,"1,469"
2021년05월_계_70~79세,"5,096",189,440,783,"1,252",643,136,153,498,"1,002"
2021년05월_계_80~89세,"2,170",79,195,291,558,284,65,47,229,422
2021년05월_계_90~99세,368,15,45,72,72,55,14,7,37,51
2021년05월_계_100세 이상,21,1,1,3,3,6,4,1,1,1
2021년05월_남_총인구수,"20,065","1,189","1,435","3,025","5,183","2,212",531,553,"2,441","3,496"
2021년05월_남_연령구간인구수,"20,065","1,189","1,435","3,025","5,183","2,212",531,553,"2,441","3,496"
2021년05월_남_0~9세,638,15,34,99,176,58,12,9,96,139
2021년05월_남_10~19세,980,38,48,175,281,103,17,14,100,204
2021년05월_남_20~29세,"2,785",257,165,452,750,265,61,35,398,402
2021년05월_남_30~39세,"2,418",214,135,342,588,268,57,49,409,356
2021년05월_남_40~49세,"2,913",162,197,483,787,290,54,63,386,491
2021년05월_남_50~59세,"3,482",189,261,498,901,384,105,135,369,640
2021년05월_남_60~69세,"3,750",189,289,548,933,453,135,156,375,672
2021년05월_남_70~79세,"2,200",96,211,307,530,285,60,76,221,414
2021년05월_남_80~89세,796,29,81,107,214,92,23,12,76,162
2021년05월_남_90~99세,99,0,14,13,22,14,5,4,11,16
2021년05월_남_100세 이상,4,0,0,1,1,0,2,0,0,0
2021년05월_여_총인구수,"21,144","1,328","1,396","3,426","5,520","2,490",516,434,"2,318","3,716"
2021년05월_여_연령구간인구수,"21,144","1,328","1,396","3,426","5,520","2,490",516,434,"2,318","3,716"
2021년05월_여_0~9세,594,17,37,90,180,44,8,6,81,131
2021년05월_여_10~19세,989,29,55,198,281,97,18,16,97,198
2021년05월_여_20~29세,"2,909",425,140,480,763,287,52,27,392,343
2021년05월_여_30~39세,"2,040",230,97,328,524,212,45,35,273,296
2021년05월_여_40~49세,"2,391",136,139,420,649,257,58,38,274,420
2021년05월_여_50~59세,"3,437",158,256,571,909,408,87,71,330,647
2021년05월_여_60~69세,"4,228",174,297,618,"1,096",588,119,125,414,797
2021년05월_여_70~79세,"2,896",93,229,476,722,358,76,77,277,588
2021년05월_여_80~89세,"1,374",50,114,184,344,192,42,35,153,260
2021년05월_여_90~99세,269,15,31,59,50,41,9,3,26,35
2021년05월_여_100세 이상,17,1,1,2,2,6,2,1,1,1
