카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2021년03월_계_총인구수,"551,136","237,879","12,539","21,583","16,593","7,177","10,481","22,566","15,578","10,859","17,485","19,570","32,188","13,495","15,147","22,618","313,257","21,344","10,948","17,881","17,366","10,875","36,486","19,113","26,884","14,798","23,681","16,674","16,284","19,925","21,701","15,173","13,067","11,057"
2021년03월_계_연령구간인구수,"551,136","237,879","12,539","21,583","16,593","7,177","10,481","22,566","15,578","10,859","17,485","19,570","32,188","13,495","15,147","22,618","313,257","21,344","10,948","17,881","17,366","10,875","36,486","19,113","26,884","14,798","23,681","16,674","16,284","19,925","21,701","15,173","13,067","11,057"
2021년03월_계_0~9세,"39,186","15,187",899,"1,128",805,258,470,"1,401","1,708",456,968,"1,384","2,144",899,659,"2,008","23,999","1,738",772,878,"1,395",652,"1,994","1,217","2,202","1,338","2,377","1,377","2,239","1,432","1,592","1,127",934,735
2021년03월_계_10~19세,"52,059","18,575","1,068","1,494","1,300",488,721,"1,408","1,280",706,"1,256","1,492","2,603","1,319","1,133","2,307","33,484","2,192","1,064","1,329","2,215",715,"2,903","1,418","2,366","1,638","3,709","3,427","1,473","1,621","2,043","2,252","1,593","1,526"
2021년03월_계_20~29세,"77,206","34,098","1,936","3,479","2,444","1,067","1,400","3,375","1,983","1,588","2,427","2,538","4,590","1,939","2,127","3,205","43,108","2,871","1,608","2,725","2,101","1,484","5,823","2,938","3,587","2,127","2,563","1,836","1,822","3,154","3,201","1,956","1,844","1,468"
2021년03월_계_30~39세,"77,261","32,727","1,862","2,902","2,158",930,"1,335","3,916","2,673","1,488","2,133","2,692","4,091","1,507","1,653","3,387","44,534","2,751","1,361","2,300","2,173","2,254","4,782","2,984","5,720","1,869","3,170","1,239","3,508","3,004","2,928","1,817","1,606","1,068"
2021년03월_계_40~49세,"87,440","34,699","1,957","2,974","2,304",965,"1,457","3,364","2,568","1,448","2,275","2,892","4,804","2,073","2,148","3,470","52,741","3,440","1,653","2,257","3,247","1,797","4,947","2,947","4,964","2,418","5,233","3,970","2,866","2,781","3,218","2,931","2,132","1,940"
2021년03월_계_50~59세,"97,080","42,957","2,172","3,966","3,029","1,321","1,891","3,773","2,557","1,991","3,291","3,452","6,107","2,545","3,085","3,777","54,123","3,847","2,095","3,626","2,732","1,656","6,987","3,466","3,955","2,929","3,428","2,614","2,188","3,657","4,129","2,480","2,412","1,922"
2021년03월_계_60~69세,"72,582","35,084","1,578","3,299","2,734","1,075","1,792","3,173","1,755","1,920","2,954","3,021","4,532","1,934","2,436","2,881","37,498","2,884","1,495","2,902","2,068","1,315","5,373","2,419","2,466","1,513","1,918","1,292","1,443","2,819","3,087","1,464","1,644","1,396"
2021년03월_계_70~79세,"31,803","16,496",740,"1,612","1,282",673,909,"1,430",738,872,"1,452","1,376","2,212",843,"1,299","1,058","15,307","1,082",630,"1,187",924,594,"2,433","1,132","1,018",576,768,570,509,981,989,674,612,628
