카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년01월_계_총인구수,"130,298","6,939","7,442","4,681","42,850","30,598","2,545","31,689","3,554"
2020년01월_계_연령구간인구수,"130,298","6,939","7,442","4,681","42,850","30,598","2,545","31,689","3,554"
2020년01월_계_0~9세,"19,388",188,543,108,"8,218","5,502",71,"4,641",117
2020년01월_계_10~19세,"10,556",319,496,162,"3,274","3,982",63,"2,101",159
2020년01월_계_20~29세,"11,900",659,890,414,"3,793","2,502",230,"3,132",280
2020년01월_계_30~39세,"26,587",592,922,389,"11,389","5,476",198,"7,315",306
2020년01월_계_40~49세,"21,312",760,947,413,"6,884","6,418",225,"5,239",426
2020년01월_계_50~59세,"16,482","1,360","1,219","1,044","4,252","3,337",536,"3,955",779
2020년01월_계_60~69세,"14,571","1,628","1,313","1,237","3,342","2,280",607,"3,370",794
2020년01월_계_70~79세,"6,539",996,719,599,"1,218",792,410,"1,356",449
2020년01월_계_80~89세,"2,505",376,328,259,400,267,175,503,197
2020년01월_계_90~99세,419,58,58,47,72,41,28,73,42
2020년01월_계_100세 이상,39,3,7,9,8,1,2,4,5
2020년01월_남_총인구수,"67,353","3,853","4,120","2,492","21,474","15,180","1,343","17,007","1,884"
2020년01월_남_연령구간인구수,"67,353","3,853","4,120","2,492","21,474","15,180","1,343","17,007","1,884"
2020년01월_남_0~9세,"9,946",90,279,50,"4,155","2,830",34,"2,444",64
2020년01월_남_10~19세,"5,396",187,276,87,"1,588","2,043",40,"1,090",85
2020년01월_남_20~29세,"6,347",393,586,242,"1,807","1,264",126,"1,762",167
2020년01월_남_30~39세,"13,627",357,534,239,"5,726","2,450",119,"4,017",185
2020년01월_남_40~49세,"11,964",450,573,256,"3,833","3,327",148,"3,121",256
2020년01월_남_50~59세,"8,457",808,697,561,"1,950","1,657",289,"2,072",423
2020년01월_남_60~69세,"7,478",911,699,682,"1,630","1,123",326,"1,710",397
2020년01월_남_70~79세,"3,215",502,357,274,632,386,203,628,233
2020년01월_남_80~89세,836,145,110,86,140,90,52,147,66
2020년01월_남_90~99세,77,9,7,12,10,10,6,15,8
2020년01월_남_100세 이상,10,1,2,3,3,0,0,1,0
2020년01월_여_총인구수,"62,945","3,086","3,322","2,189","21,376","15,418","1,202","14,682","1,670"
2020년01월_여_연령구간인구수,"62,945","3,086","3,322","2,189","21,376","15,418","1,202","14,682","1,670"
2020년01월_여_0~9세,"9,442",98,264,58,"4,063","2,672",37,"2,197",53
2020년01월_여_10~19세,"5,160",132,220,75,"1,686","1,939",23,"1,011",74
2020년01월_여_20~29세,"5,553",266,304,172,"1,986","1,238",104,"1,370",113
2020년01월_여_30~39세,"12,960",235,388,150,"5,663","3,026",79,"3,298",121
2020년01월_여_40~49세,"9,348",310,374,157,"3,051","3,091",77,"2,118",170
2020년01월_여_50~59세,"8,025",552,522,483,"2,302","1,680",247,"1,883",356
2020년01월_여_60~69세,"7,093",717,614,555,"1,712","1,157",281,"1,660",397
2020년01월_여_70~79세,"3,324",494,362,325,586,406,207,728,216
2020년01월_여_80~89세,"1,669",231,218,173,260,177,123,356,131
2020년01월_여_90~99세,342,49,51,35,62,31,22,58,34
2020년01월_여_100세 이상,29,2,5,6,5,1,2,3,5
