,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년06월_계_총인구수,"417,480","15,182","36,823","1,889","1,761","2,243","4,180","26,289","3,220","16,759","3,885","3,332","30,464","2,293","47,383","15,098","17,556","3,342","3,302","6,368","6,867","4,509","4,535","28,916","19,720","49,027","16,062","46,475"
2020년06월_계_연령구간인구수,"417,480","15,182","36,823","1,889","1,761","2,243","4,180","26,289","3,220","16,759","3,885","3,332","30,464","2,293","47,383","15,098","17,556","3,342","3,302","6,368","6,867","4,509","4,535","28,916","19,720","49,027","16,062","46,475"
2020년06월_계_0~9세,"42,546",926,"3,396",43,20,42,70,"5,573",81,957,67,88,"2,501",82,"4,979","1,129",945,144,291,722,956,655,373,"2,668","2,369","5,223",979,"7,267"
2020년06월_계_10~19세,"45,666","1,190","3,947",64,66,141,167,"2,074",212,"1,354",112,156,"3,665",138,"6,369","1,767","2,095",201,231,487,654,202,365,"3,669","2,673","6,066","1,157","6,444"
2020년06월_계_20~29세,"57,059","1,556","4,798",108,102,148,302,"2,761",267,"2,669",544,341,"4,108",240,"5,984","2,105","2,848",598,437,999,938,712,697,"4,288","2,544","7,109","4,170","5,686"
2020년06월_계_30~39세,"66,962","1,369","4,533",97,76,98,227,"8,119",190,"2,402",537,288,"3,706",169,"6,257","1,759","1,767",508,562,"1,368","1,473","1,161",742,"3,966","3,189","9,068","4,161","9,170"
2020년06월_계_40~49세,"73,403","2,009","5,852",138,151,201,458,"4,038",386,"2,494",729,366,"5,179",301,"9,141","2,577","2,929",472,453,989,"1,161",684,779,"5,848","4,009","9,524","2,646","9,889"
2020년06월_계_50~59세,"69,391","3,041","7,711",368,340,402,837,"2,047",661,"3,258",863,695,"6,126",490,"8,359","3,053","3,967",639,647,"1,135","1,066",667,805,"5,452","3,203","6,832","1,693","5,034"
2020년06월_계_60~69세,"37,543","2,565","3,872",467,419,492,897,948,615,"2,450",632,765,"3,446",509,"4,206","1,768","2,102",457,391,438,454,330,461,"1,904","1,139","3,226",817,"1,773"
2020년06월_계_70~79세,"15,843","1,427","1,624",307,296,403,677,414,465,860,286,443,"1,142",239,"1,438",650,639,237,181,162,117,77,228,749,381,"1,323",291,787
