,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년11월_계_총인구수,"26,818","9,526","1,704","1,173","1,032","1,529","1,577","1,446","1,863",756,"2,863","1,011","1,154","1,184"
2020년11월_계_연령구간인구수,"26,818","9,526","1,704","1,173","1,032","1,529","1,577","1,446","1,863",756,"2,863","1,011","1,154","1,184"
2020년11월_계_0~9세,"1,090",700,33,20,28,26,36,41,43,20,89,24,11,19
2020년11월_계_10~19세,"1,539",901,57,37,30,54,68,39,62,27,168,37,33,26
2020년11월_계_20~29세,"2,053",993,110,74,66,134,91,89,121,30,204,48,39,54
2020년11월_계_30~39세,"1,747",947,89,55,49,63,101,50,89,31,134,53,40,46
2020년11월_계_40~49세,"2,882","1,499",137,84,70,136,130,115,155,52,300,75,52,77
2020년11월_계_50~59세,"4,641","1,586",322,222,181,276,297,263,325,117,514,133,203,202
2020년11월_계_60~69세,"5,366","1,421",403,292,233,337,359,330,449,202,555,239,265,281
2020년11월_계_70~79세,"4,040",890,283,202,198,264,248,273,359,145,520,198,237,223
2020년11월_계_80~89세,"3,022",521,234,158,155,214,216,217,229,117,323,179,240,219
2020년11월_계_90~99세,429,65,34,29,22,25,31,29,30,14,56,25,34,35
2020년11월_계_100세 이상,9,3,2,0,0,0,0,0,1,1,0,0,0,2
2020년11월_남_총인구수,"13,146","4,694",849,580,494,750,769,701,949,358,"1,371",529,541,561
2020년11월_남_연령구간인구수,"13,146","4,694",849,580,494,750,769,701,949,358,"1,371",529,541,561
2020년11월_남_0~9세,563,367,18,12,10,15,17,19,23,13,40,16,6,7
2020년11월_남_10~19세,831,484,33,22,20,28,29,18,31,18,90,25,19,14
2020년11월_남_20~29세,"1,153",526,62,45,42,86,43,45,74,18,126,25,32,29
2020년11월_남_30~39세,924,446,53,36,28,29,64,33,48,19,81,38,17,32
2020년11월_남_40~49세,"1,665",793,88,53,44,78,77,73,98,37,182,59,33,50
2020년11월_남_50~59세,"2,568",856,179,116,103,156,167,154,175,60,282,78,118,124
2020년11월_남_60~69세,"2,818",682,233,154,124,184,209,178,254,104,265,145,142,144
2020년11월_남_70~79세,"1,659",377,116,86,81,100,99,109,165,53,215,79,94,85
2020년11월_남_80~89세,875,147,59,47,38,70,59,62,73,35,85,59,76,65
2020년11월_남_90~99세,88,16,8,9,4,4,5,10,7,1,5,5,4,10
2020년11월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년11월_여_총인구수,"13,672","4,832",855,593,538,779,808,745,914,398,"1,492",482,613,623
2020년11월_여_연령구간인구수,"13,672","4,832",855,593,538,779,808,745,914,398,"1,492",482,613,623
2020년11월_여_0~9세,527,333,15,8,18,11,19,22,20,7,49,8,5,12
2020년11월_여_10~19세,708,417,24,15,10,26,39,21,31,9,78,12,14,12
2020년11월_여_20~29세,900,467,48,29,24,48,48,44,47,12,78,23,7,25
2020년11월_여_30~39세,823,501,36,19,21,34,37,17,41,12,53,15,23,14
2020년11월_여_40~49세,"1,217",706,49,31,26,58,53,42,57,15,118,16,19,27
2020년11월_여_50~59세,"2,073",730,143,106,78,120,130,109,150,57,232,55,85,78
2020년11월_여_60~69세,"2,548",739,170,138,109,153,150,152,195,98,290,94,123,137
2020년11월_여_70~79세,"2,381",513,167,116,117,164,149,164,194,92,305,119,143,138
2020년11월_여_80~89세,"2,147",374,175,111,117,144,157,155,156,82,238,120,164,154
2020년11월_여_90~99세,341,49,26,20,18,21,26,19,23,13,51,20,30,25
2020년11월_여_100세 이상,7,3,2,0,0,0,0,0,0,1,0,0,0,1
