카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년02월_계_총인구수,"446,887","31,946","20,335","26,651","17,678","26,883","20,882","36,291","15,288","18,552","27,968","34,981","27,280","20,436","24,466","23,603","45,894",265,"27,488"
2020년02월_계_연령구간인구수,"446,887","31,946","20,335","26,651","17,678","26,883","20,882","36,291","15,288","18,552","27,968","34,981","27,280","20,436","24,466","23,603","45,894",265,"27,488"
2020년02월_계_0~9세,"33,840","2,736","2,281","2,191","1,214","3,350","2,363","2,400","1,416","2,122","1,586","1,897","1,509","1,612","1,179","1,370","2,658",7,"1,949"
2020년02월_계_10~19세,"39,427","4,467","2,331","2,774","2,628","3,465","1,858","2,852","1,066","1,967","1,906","2,001","1,425","1,843","1,310","1,976","3,179",8,"2,371"
2020년02월_계_20~29세,"59,779","3,930","2,205","3,305","2,242","2,596","2,276","4,964","2,015","2,020","3,918","5,008","4,089","2,742","3,943","3,598","6,941",19,"3,968"
2020년02월_계_30~39세,"69,614","3,378","3,137","4,212","1,873","4,026","3,614","5,617","2,879","2,703","4,185","6,287","4,840","3,350","4,358","3,611","7,437",27,"4,080"
2020년02월_계_40~49세,"72,343","5,615","3,555","4,368","3,184","5,519","3,460","5,750","2,439","3,313","4,201","5,155","3,972","3,465","3,646","3,706","6,886",51,"4,058"
2020년02월_계_50~59세,"71,957","4,998","3,130","4,185","2,842","3,604","3,222","6,166","2,253","2,724","4,809","6,049","4,559","3,100","3,977","4,016","7,630",32,"4,661"
2020년02월_계_60~69세,"59,113","3,718","2,404","3,425","2,378","2,663","2,603","4,905","1,811","2,299","4,267","4,860","4,001","2,551","3,465","3,107","6,694",55,"3,907"
2020년02월_계_70~79세,"28,969","2,029",927,"1,542",906,"1,076","1,043","2,608","1,044","1,008","2,223","2,693","2,077","1,277","1,864","1,636","3,225",39,"1,752"
2020년02월_계_80~89세,"9,849",909,299,529,320,436,363,871,314,318,736,863,700,418,612,496,"1,042",11,612
2020년02월_계_90~99세,"1,760",151,59,110,86,122,76,134,40,70,124,143,95,74,95,76,180,8,117
2020년02월_계_100세 이상,236,15,7,10,5,26,4,24,11,8,13,25,13,4,17,11,22,8,13
2020년02월_남_총인구수,"220,464","15,425","10,096","13,024","8,725","13,662","10,625","17,968","7,434","9,082","13,815","17,377","13,438","9,908","12,034","11,664","22,464",127,"13,596"
2020년02월_남_연령구간인구수,"220,464","15,425","10,096","13,024","8,725","13,662","10,625","17,968","7,434","9,082","13,815","17,377","13,438","9,908","12,034","11,664","22,464",127,"13,596"
2020년02월_남_0~9세,"17,542","1,395","1,171","1,112",620,"1,757","1,224","1,204",727,"1,075",795,993,778,833,635,733,"1,410",5,"1,075"
2020년02월_남_10~19세,"20,785","2,291","1,189","1,449","1,427","1,993",975,"1,475",522,"1,014",997,"1,051",720,957,634,"1,178","1,668",4,"1,241"
2020년02월_남_20~29세,"29,855","1,974","1,181","1,685","1,156","1,422","1,225","2,562",997,"1,019","1,975","2,398","1,871","1,364","1,809","1,853","3,348",10,"2,006"
2020년02월_남_30~39세,"34,828","1,547","1,511","2,137",914,"1,861","1,798","2,922","1,425","1,250","2,196","3,264","2,428","1,615","2,285","1,824","3,785",15,"2,051"
