카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년03월_계_총인구수,"225,302","5,080","26,294","12,579","12,792","8,882","16,875","15,525","10,566","14,095","19,061","20,774","12,601","11,223","14,857","2,575","21,523"
2020년03월_계_연령구간인구수,"225,302","5,080","26,294","12,579","12,792","8,882","16,875","15,525","10,566","14,095","19,061","20,774","12,601","11,223","14,857","2,575","21,523"
2020년03월_계_0~9세,"15,889",113,"2,823",982,908,317,"1,016","1,527",390,846,"1,089","1,219",941,636,892,86,"2,104"
2020년03월_계_10~19세,"20,681",158,"3,399",938,"1,042",417,"1,596","1,463",924,"1,164","1,900","1,592",989,868,"1,346",158,"2,727"
2020년03월_계_20~29세,"30,438",379,"2,689","1,480","1,575",898,"2,693","1,886","2,561","2,039","3,044","3,896","1,452","1,891","1,619",203,"2,133"
2020년03월_계_30~39세,"26,789",424,"3,346","1,766","1,598",776,"1,764","2,208","1,059","1,505","2,086","3,108","1,597","1,384","1,522",167,"2,479"
2020년03월_계_40~49세,"34,582",570,"4,994","1,877","1,776","1,049","2,592","2,355","1,305","2,065","2,887","3,200","1,872","1,642","2,244",298,"3,856"
2020년03월_계_50~59세,"37,416","1,073","3,740","1,985","2,272","1,615","2,985","2,462","1,577","2,441","3,374","3,422","2,193","1,980","2,652",492,"3,153"
2020년03월_계_60~69세,"31,547","1,164","2,913","1,801","1,868","1,842","2,371","1,900","1,462","2,125","2,620","2,525","1,874","1,566","2,344",535,"2,637"
2020년03월_계_70~79세,"18,713",803,"1,656","1,190","1,129","1,250","1,236","1,138",898,"1,298","1,407","1,265","1,133",852,"1,516",346,"1,596"
2020년03월_계_80~89세,"8,076",340,641,479,551,634,539,504,349,545,587,475,468,355,631,254,724
2020년03월_계_90~99세,"1,083",47,87,68,70,82,77,71,36,61,67,70,73,47,85,34,108
2020년03월_계_100세 이상,88,9,6,13,3,2,6,11,5,6,0,2,9,2,6,2,6
2020년03월_남_총인구수,"113,690","2,846","12,928","6,223","6,234","4,345","8,533","7,766","5,552","7,296","9,522","10,685","6,258","5,756","7,564","1,354","10,828"
2020년03월_남_연령구간인구수,"113,690","2,846","12,928","6,223","6,234","4,345","8,533","7,766","5,552","7,296","9,522","10,685","6,258","5,756","7,564","1,354","10,828"
2020년03월_남_0~9세,"8,208",52,"1,406",499,484,158,528,814,202,439,565,643,497,349,422,42,"1,108"
2020년03월_남_10~19세,"10,669",83,"1,788",497,542,221,789,750,446,578,978,802,506,449,725,86,"1,429"
2020년03월_남_20~29세,"16,279",221,"1,419",760,819,528,"1,454","1,001","1,420","1,143","1,601","1,999",760,998,882,116,"1,158"
2020년03월_남_30~39세,"14,382",260,"1,610",942,850,451,968,"1,138",644,808,"1,143","1,778",853,782,813,107,"1,235"
2020년03월_남_40~49세,"18,183",376,"2,526","1,000",880,589,"1,332","1,199",763,"1,167","1,440","1,703",981,895,"1,202",167,"1,963"
2020년03월_남_50~59세,"19,094",689,"1,824",958,"1,085",808,"1,525","1,228",797,"1,281","1,679","1,779","1,098","1,009","1,393",292,"1,649"
2020년03월_남_60~69세,"15,255",641,"1,374",794,887,885,"1,143",924,723,"1,064","1,252","1,213",879,770,"1,138",288,"1,280"
2020년03월_남_70~79세,"8,420",378,747,557,481,492,568,503,423,591,633,569,500,368,714,165,731
2020년03월_남_80~89세,"2,912",129,220,196,181,192,202,185,125,208,218,179,163,133,251,82,248
2020년03월_남_90~99세,263,12,13,16,24,21,21,21,9,16,13,20,18,2,22,9,26
2020년03월_남_100세 이상,25,5,1,4,1,0,3,3,0,1,0,0,3,1,2,0,1
2020년03월_여_총인구수,"111,612","2,234","13,366","6,356","6,558","4,537","8,342","7,759","5,014","6,799","9,539","10,089","6,343","5,467","7,293","1,221","10,695"
2020년03월_여_연령구간인구수,"111,612","2,234","13,366","6,356","6,558","4,537","8,342","7,759","5,014","6,799","9,539","10,089","6,343","5,467","7,293","1,221","10,695"
2020년03월_여_0~9세,"7,681",61,"1,417",483,424,159,488,713,188,407,524,576,444,287,470,44,996
2020년03월_여_10~19세,"10,012",75,"1,611",441,500,196,807,713,478,586,922,790,483,419,621,72,"1,298"
2020년03월_여_20~29세,"14,159",158,"1,270",720,756,370,"1,239",885,"1,141",896,"1,443","1,897",692,893,737,87,975
