카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년05월_계_총인구수,"264,679","15,853","32,817","12,531","16,870","15,516","44,677","16,984","12,345","8,635","8,260","13,388","6,840","13,033","13,846","8,647","15,804","8,633"
2021년05월_계_연령구간인구수,"264,679","15,853","32,817","12,531","16,870","15,516","44,677","16,984","12,345","8,635","8,260","13,388","6,840","13,033","13,846","8,647","15,804","8,633"
2021년05월_계_0~9세,"17,383",503,"2,731","1,022","1,055","1,756","3,359","1,370",482,513,505,634,268,616,743,356,"1,138",332
2021년05월_계_10~19세,"22,759",933,"3,152",886,"1,396","1,552","5,079","1,775",878,648,772,944,483,897,"1,189",379,"1,271",525
2021년05월_계_20~29세,"34,812","3,625","6,358","1,235","2,718","1,734","4,916","1,634","1,396",890,"1,039","1,478",647,"1,265","1,676","1,262","1,923","1,016"
2021년05월_계_30~39세,"29,144","1,818","4,106","1,709","1,950","2,126","4,052","1,783","1,101","1,009",788,"1,332",617,"1,218","1,285","1,319","2,108",823
2021년05월_계_40~49세,"41,275","2,033","5,669","1,882","2,591","2,769","7,671","2,825","1,626","1,335","1,270","1,924","1,007","1,816","2,135","1,172","2,418","1,132"
2021년05월_계_50~59세,"42,317","2,207","4,595","1,845","2,475","2,249","7,929","2,655","2,111","1,325","1,468","2,265","1,125","2,118","2,482","1,284","2,640","1,544"
2021년05월_계_60~69세,"41,115","2,337","3,465","2,018","2,429","1,837","6,451","2,794","2,543","1,651","1,353","2,576","1,350","2,690","2,292","1,377","2,326","1,626"
2021년05월_계_70~79세,"24,909","1,662","1,893","1,339","1,569","1,048","3,590","1,530","1,595",895,759,"1,571",934,"1,695","1,417",955,"1,356","1,101"
2021년05월_계_80~89세,"9,760",663,731,542,625,391,"1,427",535,552,321,265,597,375,627,568,490,570,481
2021년05월_계_90~99세,"1,139",62,112,51,61,53,202,77,58,40,40,52,32,88,59,50,54,48
2021년05월_계_100세 이상,66,10,5,2,1,1,1,6,3,8,1,15,2,3,0,3,0,5
2021년05월_남_총인구수,"129,523","7,978","16,016","6,126","8,138","7,475","21,511","8,358","5,992","4,169","4,197","6,831","3,366","6,450","6,746","4,285","7,665","4,220"
2021년05월_남_연령구간인구수,"129,523","7,978","16,016","6,126","8,138","7,475","21,511","8,358","5,992","4,169","4,197","6,831","3,366","6,450","6,746","4,285","7,665","4,220"
2021년05월_남_0~9세,"8,869",240,"1,402",526,558,850,"1,681",701,236,283,267,330,138,347,393,188,565,164
2021년05월_남_10~19세,"11,735",473,"1,626",472,709,822,"2,585",927,449,313,396,513,265,457,600,201,640,287
2021년05월_남_20~29세,"18,420","1,978","3,240",637,"1,327",875,"2,645",909,761,460,604,858,362,714,900,580,"1,010",560
2021년05월_남_30~39세,"14,976","1,065","2,011",872,975,"1,024","1,922",889,612,536,424,722,341,646,657,721,"1,100",459
2021년05월_남_40~49세,"20,726","1,076","2,776","1,004","1,290","1,345","3,564","1,404",840,685,635,"1,057",541,978,"1,072",656,"1,197",606
2021년05월_남_50~59세,"20,705","1,094","2,192",879,"1,212","1,073","3,840","1,290","1,017",628,755,"1,160",583,"1,064","1,221",675,"1,277",745
2021년05월_남_60~69세,"18,920","1,012","1,597",925,"1,093",829,"3,060","1,284","1,135",718,672,"1,242",577,"1,216","1,081",677,"1,052",750
2021년05월_남_70~79세,"11,177",733,867,585,695,491,"1,612",751,737,409,329,708,402,786,609,412,602,449
2021년05월_남_80~89세,"3,744",291,285,213,264,153,547,190,195,118,111,227,152,231,205,165,209,188
2021년05월_남_90~99세,238,14,19,13,14,13,55,12,10,16,4,11,5,10,8,10,13,11
2021년05월_남_100세 이상,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021년05월_여_총인구수,"135,156","7,875","16,801","6,405","8,732","8,041","23,166","8,626","6,353","4,466","4,063","6,557","3,474","6,583","7,100","4,362","8,139","4,413"
2021년05월_여_연령구간인구수,"135,156","7,875","16,801","6,405","8,732","8,041","23,166","8,626","6,353","4,466","4,063","6,557","3,474","6,583","7,100","4,362","8,139","4,413"
2021년05월_여_0~9세,"8,514",263,"1,329",496,497,906,"1,678",669,246,230,238,304,130,269,350,168,573,168
2021년05월_여_10~19세,"11,024",460,"1,526",414,687,730,"2,494",848,429,335,376,431,218,440,589,178,631,238
2021년05월_여_20~29세,"16,392","1,647","3,118",598,"1,391",859,"2,271",725,635,430,435,620,285,551,776,682,913,456
2021년05월_여_30~39세,"14,168",753,"2,095",837,975,"1,102","2,130",894,489,473,364,610,276,572,628,598,"1,008",364
2021년05월_여_40~49세,"20,549",957,"2,893",878,"1,301","1,424","4,107","1,421",786,650,635,867,466,838,"1,063",516,"1,221",526
2021년05월_여_50~59세,"21,612","1,113","2,403",966,"1,263","1,176","4,089","1,365","1,094",697,713,"1,105",542,"1,054","1,261",609,"1,363",799
2021년05월_여_60~69세,"22,195","1,325","1,868","1,093","1,336","1,008","3,391","1,510","1,408",933,681,"1,334",773,"1,474","1,211",700,"1,274",876
2021년05월_여_70~79세,"13,732",929,"1,026",754,874,557,"1,978",779,858,486,430,863,532,909,808,543,754,652
2021년05월_여_80~89세,"6,016",372,446,329,361,238,880,345,357,203,154,370,223,396,363,325,361,293
2021년05월_여_90~99세,901,48,93,38,47,40,147,65,48,24,36,41,27,78,51,40,41,37
2021년05월_여_100세 이상,53,8,4,2,0,1,1,5,3,5,1,12,2,2,0,3,0,4
