,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년08월_계_총인구수,"140,130","7,180","3,039","3,102","2,407","3,295","3,989","3,089","3,414","1,954","2,212","2,794","1,534","1,244","2,305","1,040","6,598","7,570","3,894","25,356","20,269","11,005","22,840"
2021년08월_계_연령구간인구수,"140,130","7,180","3,039","3,102","2,407","3,295","3,989","3,089","3,414","1,954","2,212","2,794","1,534","1,244","2,305","1,040","6,598","7,570","3,894","25,356","20,269","11,005","22,840"
2021년08월_계_0~9세,"10,078",354,118,69,51,70,151,86,83,60,50,61,39,24,48,8,186,211,123,"1,986","1,327",855,"4,118"
2021년08월_계_10~19세,"12,326",415,129,135,97,101,165,134,184,75,84,79,53,37,320,34,345,420,222,"3,198","2,327","1,074","2,698"
2021년08월_계_20~29세,"14,340",543,255,214,169,162,296,236,279,143,130,154,77,55,110,43,631,787,303,"3,723","2,285","1,415","2,330"
2021년08월_계_30~39세,"14,582",546,213,198,138,163,204,176,197,111,120,122,69,49,102,20,530,670,240,"2,806","1,946","1,292","4,670"
2021년08월_계_40~49세,"19,207",835,308,287,195,235,395,265,309,189,190,189,93,97,142,88,795,865,384,"4,043","2,918","1,789","4,596"
2021년08월_계_50~59세,"23,463","1,440",552,585,443,579,720,573,693,365,402,509,256,207,355,209,"1,049","1,289",665,"4,314","3,676","1,919","2,663"
2021년08월_계_60~69세,"23,118","1,528",675,725,631,866,943,803,833,446,573,710,385,335,507,304,"1,551","1,625",875,"2,921","3,191","1,529","1,162"
2021년08월_계_70~79세,"13,388",871,443,470,380,560,637,494,459,288,341,514,291,218,368,156,973,"1,051",666,"1,437","1,615",752,404
2021년08월_계_80~89세,"8,341",550,305,355,257,475,404,279,317,241,280,381,237,192,309,160,482,577,367,823,859,327,164
2021년08월_계_90~99세,"1,255",96,40,62,45,84,73,43,57,36,40,74,32,28,42,18,56,72,48,99,124,52,34
2021년08월_계_100세 이상,32,2,1,2,1,0,1,0,3,0,2,1,2,2,2,0,0,3,1,6,1,1,1
2021년08월_남_총인구수,"70,304","3,629","1,601","1,588","1,217","1,638","2,038","1,593","1,737","1,004","1,113","1,379",767,621,"1,152",501,"3,364","3,693","1,882","12,580","10,131","5,604","11,472"
2021년08월_남_연령구간인구수,"70,304","3,629","1,601","1,588","1,217","1,638","2,038","1,593","1,737","1,004","1,113","1,379",767,621,"1,152",501,"3,364","3,693","1,882","12,580","10,131","5,604","11,472"
2021년08월_남_0~9세,"5,207",185,56,39,29,42,88,43,44,42,26,31,18,15,32,5,104,106,70,"1,022",670,430,"2,110"
2021년08월_남_10~19세,"6,694",219,73,73,50,52,103,83,98,45,45,51,34,20,167,18,167,235,120,"1,646","1,420",601,"1,374"
2021년08월_남_20~29세,"8,012",309,151,135,109,113,183,128,171,77,75,78,48,31,72,28,374,453,156,"2,053","1,324",788,"1,156"
2021년08월_남_30~39세,"7,688",287,126,109,82,90,109,114,113,75,73,72,45,29,60,8,333,401,128,"1,428",991,733,"2,282"
2021년08월_남_40~49세,"10,115",476,199,177,125,145,228,167,183,119,116,121,55,63,82,48,474,478,209,"1,969","1,430",921,"2,330"
2021년08월_남_50~59세,"12,256",766,326,329,242,317,395,307,368,197,217,289,156,123,191,126,583,650,361,"2,143","1,768",979,"1,423"
2021년08월_남_60~69세,"11,440",801,346,394,325,476,494,422,443,229,304,373,212,192,267,157,696,706,400,"1,445","1,471",717,570
2021년08월_남_70~79세,"5,879",385,190,211,170,238,292,227,203,132,166,234,114,86,173,63,443,428,285,598,728,331,182
2021년08월_남_80~89세,"2,741",181,121,112,74,147,133,88,108,82,81,111,73,55,99,45,176,224,139,252,305,95,40
2021년08월_남_90~99세,269,19,13,9,11,18,13,14,6,6,10,18,11,7,9,3,14,12,14,24,24,9,5
2021년08월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"69,826","3,551","1,438","1,514","1,190","1,657","1,951","1,496","1,677",950,"1,099","1,415",767,623,"1,153",539,"3,234","3,877","2,012","12,776","10,138","5,401","11,368"
2021년08월_여_연령구간인구수,"69,826","3,551","1,438","1,514","1,190","1,657","1,951","1,496","1,677",950,"1,099","1,415",767,623,"1,153",539,"3,234","3,877","2,012","12,776","10,138","5,401","11,368"
2021년08월_여_0~9세,"4,871",169,62,30,22,28,63,43,39,18,24,30,21,9,16,3,82,105,53,964,657,425,"2,008"
2021년08월_여_10~19세,"5,632",196,56,62,47,49,62,51,86,30,39,28,19,17,153,16,178,185,102,"1,552",907,473,"1,324"
2021년08월_여_20~29세,"6,328",234,104,79,60,49,113,108,108,66,55,76,29,24,38,15,257,334,147,"1,670",961,627,"1,174"
2021년08월_여_30~39세,"6,894",259,87,89,56,73,95,62,84,36,47,50,24,20,42,12,197,269,112,"1,378",955,559,"2,388"
2021년08월_여_40~49세,"9,092",359,109,110,70,90,167,98,126,70,74,68,38,34,60,40,321,387,175,"2,074","1,488",868,"2,266"
2021년08월_여_50~59세,"11,207",674,226,256,201,262,325,266,325,168,185,220,100,84,164,83,466,639,304,"2,171","1,908",940,"1,240"
2021년08월_여_60~69세,"11,678",727,329,331,306,390,449,381,390,217,269,337,173,143,240,147,855,919,475,"1,476","1,720",812,592
2021년08월_여_70~79세,"7,509",486,253,259,210,322,345,267,256,156,175,280,177,132,195,93,530,623,381,839,887,421,222
2021년08월_여_80~89세,"5,600",369,184,243,183,328,271,191,209,159,199,270,164,137,210,115,306,353,228,571,554,232,124
2021년08월_여_90~99세,986,77,27,53,34,66,60,29,51,30,30,56,21,21,33,15,42,60,34,75,100,43,29
2021년08월_여_100세 이상,29,1,1,2,1,0,1,0,3,0,2,0,1,2,2,0,0,3,1,6,1,1,1
