카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년02월_계_총인구수,"313,289","25,197","22,239","30,754","28,054","32,626","19,196","16,935","18,029","21,469","21,775","23,660","21,171","32,184"
2020년02월_계_연령구간인구수,"313,289","25,197","22,239","30,754","28,054","32,626","19,196","16,935","18,029","21,469","21,775","23,660","21,171","32,184"
2020년02월_계_0~9세,"17,167","1,438",902,"1,624","1,245","3,185",765,792,"1,051","1,108","1,142",936,"1,204","1,775"
2020년02월_계_10~19세,"23,313","2,082","1,420","2,187","1,777","4,149","1,162","1,174","1,463","1,418","1,510","1,210","1,468","2,293"
2020년02월_계_20~29세,"43,320","3,232","3,734","4,296","3,765","3,460","3,287","2,174","2,081","3,147","3,100","4,157","2,709","4,178"
2020년02월_계_30~39세,"40,466","3,155","2,955","4,320","3,498","4,019","2,888","1,957","1,887","2,862","2,596","3,555","2,651","4,123"
2020년02월_계_40~49세,"48,827","3,942","3,185","4,833","4,084","6,810","3,010","2,602","2,831","3,092","3,209","3,393","3,100","4,736"
2020년02월_계_50~59세,"53,524","4,480","3,884","5,237","5,212","4,962","3,129","2,900","2,827","3,775","3,863","4,061","3,659","5,535"
2020년02월_계_60~69세,"44,543","3,653","3,222","4,401","4,477","3,218","2,546","2,647","2,630","3,164","3,191","3,330","3,172","4,892"
2020년02월_계_70~79세,"29,674","2,253","2,054","2,770","2,804","1,951","1,749","1,973","2,482","1,982","2,148","2,149","2,171","3,188"
2020년02월_계_80~89세,"10,791",809,781,938,"1,040",750,569,640,686,778,898,761,868,"1,273"
2020년02월_계_90~99세,"1,428",123,93,122,131,97,84,70,80,107,113,94,139,175
2020년02월_계_100세 이상,236,30,9,26,21,25,7,6,11,36,5,14,30,16
2020년02월_남_총인구수,"152,857","12,545","10,688","14,822","13,979","15,699","9,564","8,248","8,508","10,616","10,484","11,833","10,289","15,582"
2020년02월_남_연령구간인구수,"152,857","12,545","10,688","14,822","13,979","15,699","9,564","8,248","8,508","10,616","10,484","11,833","10,289","15,582"
2020년02월_남_0~9세,"8,870",750,473,840,643,"1,669",396,416,548,548,586,463,640,898
2020년02월_남_10~19세,"12,006","1,075",739,"1,076",881,"2,121",625,630,731,735,809,657,770,"1,157"
2020년02월_남_20~29세,"21,298","1,680","1,629","2,075","1,936","1,710","1,574","1,128","1,050","1,574","1,493","2,050","1,313","2,086"
2020년02월_남_30~39세,"21,256","1,662","1,578","2,222","1,891","1,854","1,527","1,089",964,"1,556","1,382","1,950","1,415","2,166"
2020년02월_남_40~49세,"24,969","1,999","1,640","2,476","2,162","3,295","1,581","1,328","1,451","1,648","1,611","1,810","1,568","2,400"
2020년02월_남_50~59세,"26,045","2,263","1,854","2,439","2,621","2,458","1,601","1,415","1,350","1,813","1,824","2,046","1,714","2,647"
2020년02월_남_60~69세,"20,768","1,722","1,530","2,028","2,171","1,505","1,222","1,195","1,148","1,488","1,486","1,534","1,491","2,248"
2020년02월_남_70~79세,"12,951","1,041",912,"1,240","1,220",803,780,797,984,904,911,981,947,"1,431"
2020년02월_남_80~89세,"4,238",307,306,382,407,254,235,234,261,313,349,311,379,500
2020년02월_남_90~99세,397,36,26,33,42,22,22,13,20,33,32,29,44,45
2020년02월_남_100세 이상,59,10,1,11,5,8,1,3,1,4,1,2,8,4
2020년02월_여_총인구수,"160,432","12,652","11,551","15,932","14,075","16,927","9,632","8,687","9,521","10,853","11,291","11,827","10,882","16,602"
2020년02월_여_연령구간인구수,"160,432","12,652","11,551","15,932","14,075","16,927","9,632","8,687","9,521","10,853","11,291","11,827","10,882","16,602"
2020년02월_여_0~9세,"8,297",688,429,784,602,"1,516",369,376,503,560,556,473,564,877
2020년02월_여_10~19세,"11,307","1,007",681,"1,111",896,"2,028",537,544,732,683,701,553,698,"1,136"
2020년02월_여_20~29세,"22,022","1,552","2,105","2,221","1,829","1,750","1,713","1,046","1,031","1,573","1,607","2,107","1,396","2,092"
2020년02월_여_30~39세,"19,210","1,493","1,377","2,098","1,607","2,165","1,361",868,923,"1,306","1,214","1,605","1,236","1,957"
2020년02월_여_40~49세,"23,858","1,943","1,545","2,357","1,922","3,515","1,429","1,274","1,380","1,444","1,598","1,583","1,532","2,336"
2020년02월_여_50~59세,"27,479","2,217","2,030","2,798","2,591","2,504","1,528","1,485","1,477","1,962","2,039","2,015","1,945","2,888"
2020년02월_여_60~69세,"23,775","1,931","1,692","2,373","2,306","1,713","1,324","1,452","1,482","1,676","1,705","1,796","1,681","2,644"
2020년02월_여_70~79세,"16,723","1,212","1,142","1,530","1,584","1,148",969,"1,176","1,498","1,078","1,237","1,168","1,224","1,757"
2020년02월_여_80~89세,"6,553",502,475,556,633,496,334,406,425,465,549,450,489,773
2020년02월_여_90~99세,"1,031",87,67,89,89,75,62,57,60,74,81,65,95,130
2020년02월_여_100세 이상,177,20,8,15,16,17,6,3,10,32,4,12,22,12
