,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년05월_계_총인구수,"91,835","14,100","26,117","7,147","4,467","14,553","6,208","5,816","4,742","1,926","1,957","2,747","1,078",977
2020년05월_계_연령구간인구수,"91,835","14,100","26,117","7,147","4,467","14,553","6,208","5,816","4,742","1,926","1,957","2,747","1,078",977
2020년05월_계_0~9세,"7,326",734,"3,135",411,323,"1,768",251,202,237,67,54,80,39,25
2020년05월_계_10~19세,"8,360","1,231","3,354",544,396,"1,351",334,384,289,119,66,211,41,40
2020년05월_계_20~29세,"8,942","1,620","2,641",710,401,"1,441",575,561,406,128,110,219,80,50
2020년05월_계_30~39세,"9,819","1,209","3,579",611,394,"2,392",455,377,364,111,83,133,58,53
2020년05월_계_40~49세,"13,587","2,085","4,674",965,658,"2,520",622,608,558,208,196,315,97,81
2020년05월_계_50~59세,"15,398","2,452","3,626","1,317",796,"2,180","1,271","1,237",876,333,396,477,260,177
2020년05월_계_60~69세,"13,347","2,235","2,475","1,222",716,"1,494","1,307","1,193",854,380,444,545,250,232
2020년05월_계_70~79세,"9,037","1,481","1,624",838,501,898,834,751,672,322,364,420,148,184
2020년05월_계_80~89세,"5,222",923,862,456,232,455,495,435,425,209,215,296,94,125
2020년05월_계_90~99세,756,123,141,66,45,52,59,64,61,46,29,50,11,9
2020년05월_계_100세 이상,41,7,6,7,5,2,5,4,0,3,0,1,0,1
2020년05월_남_총인구수,"47,142","7,250","13,565","3,711","2,276","7,321","3,212","2,925","2,431",972,974,"1,456",557,492
2020년05월_남_연령구간인구수,"47,142","7,250","13,565","3,711","2,276","7,321","3,212","2,925","2,431",972,974,"1,456",557,492
2020년05월_남_0~9세,"3,715",354,"1,629",200,169,901,121,87,119,37,25,42,21,10
2020년05월_남_10~19세,"4,383",631,"1,758",299,200,675,191,198,175,59,41,114,20,22
2020년05월_남_20~29세,"4,960",917,"1,497",419,232,712,317,289,239,72,58,129,46,33
2020년05월_남_30~39세,"5,023",675,"1,760",328,198,"1,166",259,189,203,55,56,76,28,30
2020년05월_남_40~49세,"7,570","1,156","2,584",549,346,"1,376",363,332,324,117,118,192,60,53
2020년05월_남_50~59세,"8,568","1,400","2,043",754,444,"1,146",692,669,484,192,210,300,136,98
2020년05월_남_60~69세,"6,880","1,123","1,247",607,352,767,690,652,443,205,234,295,146,119
2020년05월_남_70~79세,"4,132",661,741,377,249,410,399,353,292,156,157,190,69,78
2020년05월_남_80~89세,"1,743",304,276,155,80,153,169,143,141,68,69,109,29,47
2020년05월_남_90~99세,159,27,28,22,6,15,9,13,11,9,6,9,2,2
2020년05월_남_100세 이상,9,2,2,1,0,0,2,0,0,2,0,0,0,0
2020년05월_여_총인구수,"44,693","6,850","12,552","3,436","2,191","7,232","2,996","2,891","2,311",954,983,"1,291",521,485
2020년05월_여_연령구간인구수,"44,693","6,850","12,552","3,436","2,191","7,232","2,996","2,891","2,311",954,983,"1,291",521,485
2020년05월_여_0~9세,"3,611",380,"1,506",211,154,867,130,115,118,30,29,38,18,15
2020년05월_여_10~19세,"3,977",600,"1,596",245,196,676,143,186,114,60,25,97,21,18
2020년05월_여_20~29세,"3,982",703,"1,144",291,169,729,258,272,167,56,52,90,34,17
2020년05월_여_30~39세,"4,796",534,"1,819",283,196,"1,226",196,188,161,56,27,57,30,23
2020년05월_여_40~49세,"6,017",929,"2,090",416,312,"1,144",259,276,234,91,78,123,37,28
2020년05월_여_50~59세,"6,830","1,052","1,583",563,352,"1,034",579,568,392,141,186,177,124,79
2020년05월_여_60~69세,"6,467","1,112","1,228",615,364,727,617,541,411,175,210,250,104,113
2020년05월_여_70~79세,"4,905",820,883,461,252,488,435,398,380,166,207,230,79,106
2020년05월_여_80~89세,"3,479",619,586,301,152,302,326,292,284,141,146,187,65,78
2020년05월_여_90~99세,597,96,113,44,39,37,50,51,50,37,23,41,9,7
2020년05월_여_100세 이상,32,5,4,6,5,2,3,4,0,1,0,1,0,1
