카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년07월_계_총인구수,"50,210","18,353","3,771","4,442",780,"3,294","3,476","4,309","2,388","2,090",227,"2,562",993,"2,699",826
2020년07월_계_연령구간인구수,"50,210","18,353","3,771","4,442",780,"3,294","3,476","4,309","2,388","2,090",227,"2,562",993,"2,699",826
2020년07월_계_0~9세,"3,258","1,486",219,346,46,109,138,209,123,66,10,149,39,276,42
2020년07월_계_10~19세,"3,682","1,769",193,377,52,131,220,260,103,103,10,157,56,217,34
2020년07월_계_20~29세,"3,789","1,830",233,294,39,207,213,274,131,131,9,154,59,160,55
2020년07월_계_30~39세,"4,159","1,869",298,393,78,196,216,275,130,133,6,176,60,268,61
2020년07월_계_40~49세,"6,328","2,757",443,589,118,341,405,435,217,175,31,291,103,332,91
2020년07월_계_50~59세,"8,184","3,130",603,677,125,536,595,623,394,374,33,357,171,420,146
2020년07월_계_60~69세,"8,465","2,744",729,621,162,711,623,721,497,409,34,458,168,444,144
2020년07월_계_70~79세,"7,427","1,805",625,653,121,638,613,888,484,370,48,487,187,351,157
2020년07월_계_80~89세,"4,348",844,376,439,34,373,409,552,273,287,39,303,129,208,82
2020년07월_계_90~99세,545,109,50,52,3,49,43,70,36,41,6,29,21,23,13
2020년07월_계_100세 이상,25,10,2,1,2,3,1,2,0,1,1,1,0,0,1
2020년07월_남_총인구수,"25,263","9,250","1,924","2,225",426,"1,644","1,785","2,091","1,219","1,026",117,"1,263",496,"1,365",432
2020년07월_남_연령구간인구수,"25,263","9,250","1,924","2,225",426,"1,644","1,785","2,091","1,219","1,026",117,"1,263",496,"1,365",432
2020년07월_남_0~9세,"1,684",796,110,165,23,61,63,103,78,30,8,70,19,137,21
2020년07월_남_10~19세,"1,890",897,94,203,28,66,115,132,46,54,5,76,34,116,24
2020년07월_남_20~29세,"2,229","1,052",138,172,28,107,143,161,83,84,9,96,37,90,29
2020년07월_남_30~39세,"2,282",955,182,223,48,131,115,151,72,89,3,99,33,142,39
2020년07월_남_40~49세,"3,715","1,454",299,350,83,213,262,252,148,102,22,194,65,203,68
2020년07월_남_50~59세,"4,503","1,643",341,372,69,303,345,359,230,218,18,206,98,223,78
2020년07월_남_60~69세,"4,197","1,323",380,320,76,345,321,352,243,205,21,218,88,236,69
2020년07월_남_70~79세,"3,270",828,264,275,61,300,268,376,216,146,20,199,81,159,77
2020년07월_남_80~89세,"1,394",282,109,136,10,112,143,193,95,88,11,98,36,55,26
2020년07월_남_90~99세,96,19,7,9,0,6,10,12,8,9,0,6,5,4,1
2020년07월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년07월_여_총인구수,"24,947","9,103","1,847","2,217",354,"1,650","1,691","2,218","1,169","1,064",110,"1,299",497,"1,334",394
2020년07월_여_연령구간인구수,"24,947","9,103","1,847","2,217",354,"1,650","1,691","2,218","1,169","1,064",110,"1,299",497,"1,334",394
2020년07월_여_0~9세,"1,574",690,109,181,23,48,75,106,45,36,2,79,20,139,21
2020년07월_여_10~19세,"1,792",872,99,174,24,65,105,128,57,49,5,81,22,101,10
2020년07월_여_20~29세,"1,560",778,95,122,11,100,70,113,48,47,0,58,22,70,26
2020년07월_여_30~39세,"1,877",914,116,170,30,65,101,124,58,44,3,77,27,126,22
2020년07월_여_40~49세,"2,613","1,303",144,239,35,128,143,183,69,73,9,97,38,129,23
2020년07월_여_50~59세,"3,681","1,487",262,305,56,233,250,264,164,156,15,151,73,197,68
2020년07월_여_60~69세,"4,268","1,421",349,301,86,366,302,369,254,204,13,240,80,208,75
2020년07월_여_70~79세,"4,157",977,361,378,60,338,345,512,268,224,28,288,106,192,80
2020년07월_여_80~89세,"2,954",562,267,303,24,261,266,359,178,199,28,205,93,153,56
2020년07월_여_90~99세,449,90,43,43,3,43,33,58,28,32,6,23,16,19,12
2020년07월_여_100세 이상,22,9,2,1,2,3,1,2,0,0,1,0,0,0,1
