,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년06월_계_총인구수,"176,617","52,662","8,585","81,775","25,637","7,958"
2021년06월_계_연령구간인구수,"176,617","52,662","8,585","81,775","25,637","7,958"
2021년06월_계_0~9세,"18,835","3,070",412,"11,740","3,269",344
2021년06월_계_10~19세,"17,758","4,327",406,"10,763","1,825",437
2021년06월_계_20~29세,"17,193","6,255","1,018","6,674","2,544",702
2021년06월_계_30~39세,"24,616","5,531","1,040","12,788","4,601",656
2021년06월_계_40~49세,"32,752","8,061",959,"18,665","4,078",989
2021년06월_계_50~59세,"24,558","9,335","1,503","8,610","3,737","1,373"
2021년06월_계_60~69세,"22,141","8,436","1,671","6,994","3,226","1,814"
2021년06월_계_70~79세,"12,607","5,007",964,"3,948","1,595","1,093"
2021년06월_계_80~89세,"5,391","2,329",518,"1,403",654,487
2021년06월_계_90~99세,732,297,89,186,102,58
2021년06월_계_100세 이상,34,14,5,4,6,5
2021년06월_남_총인구수,"87,484","25,694","4,613","40,430","12,723","4,024"
2021년06월_남_연령구간인구수,"87,484","25,694","4,613","40,430","12,723","4,024"
2021년06월_남_0~9세,"9,617","1,629",217,"5,981","1,628",162
2021년06월_남_10~19세,"9,216","2,249",226,"5,596",922,223
2021년06월_남_20~29세,"9,124","3,327",612,"3,349","1,403",433
2021년06월_남_30~39세,"12,238","2,906",608,"6,090","2,285",349
2021년06월_남_40~49세,"16,757","4,037",569,"9,517","2,094",540
2021년06월_남_50~59세,"12,485","4,620",851,"4,470","1,840",704
2021년06월_남_60~69세,"10,311","3,950",866,"3,041","1,574",880
2021년06월_남_70~79세,"5,741","2,111",485,"1,846",751,548
2021년06월_남_80~89세,"1,850",810,159,506,204,171
2021년06월_남_90~99세,143,54,19,34,22,14
2021년06월_남_100세 이상,2,1,1,0,0,0
2021년06월_여_총인구수,"89,133","26,968","3,972","41,345","12,914","3,934"
2021년06월_여_연령구간인구수,"89,133","26,968","3,972","41,345","12,914","3,934"
2021년06월_여_0~9세,"9,218","1,441",195,"5,759","1,641",182
2021년06월_여_10~19세,"8,542","2,078",180,"5,167",903,214
2021년06월_여_20~29세,"8,069","2,928",406,"3,325","1,141",269
2021년06월_여_30~39세,"12,378","2,625",432,"6,698","2,316",307
2021년06월_여_40~49세,"15,995","4,024",390,"9,148","1,984",449
2021년06월_여_50~59세,"12,073","4,715",652,"4,140","1,897",669
2021년06월_여_60~69세,"11,830","4,486",805,"3,953","1,652",934
2021년06월_여_70~79세,"6,866","2,896",479,"2,102",844,545
2021년06월_여_80~89세,"3,541","1,519",359,897,450,316
2021년06월_여_90~99세,589,243,70,152,80,44
2021년06월_여_100세 이상,32,13,4,4,6,5
