카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년04월_계_총인구수,"465,331","41,411","38,242","26,084","17,389","25,242","22,517","34,896","15,341","18,095","27,150","33,624","26,413","20,214","24,016","23,340","46,080",134,"25,143"
2021년04월_계_연령구간인구수,"465,331","41,411","38,242","26,084","17,389","25,242","22,517","34,896","15,341","18,095","27,150","33,624","26,413","20,214","24,016","23,340","46,080",134,"25,143"
2021년04월_계_0~9세,"35,568","3,902","5,026","2,137","1,137","2,914","2,574","2,150","1,409","1,964","1,397","1,639","1,281","1,558","1,068","1,241","2,457",3,"1,711"
2021년04월_계_10~19세,"39,122","4,920","3,903","2,462","2,477","3,464","1,978","2,550",996,"1,921","1,743","1,790","1,267","1,737","1,173","1,745","2,914",7,"2,075"
2021년04월_계_20~29세,"61,776","4,848","3,982","3,194","2,230","2,349","2,388","4,806","1,999","1,961","3,793","4,850","4,288","2,761","3,961","3,684","7,133",17,"3,532"
2021년04월_계_30~39세,"72,955","5,920","6,010","4,097","1,872","3,308","3,976","5,204","2,881","2,491","4,033","6,110","4,746","3,290","4,289","3,470","7,548",13,"3,697"
2021년04월_계_40~49세,"75,011","6,745","7,059","4,222","3,045","5,356","3,884","5,494","2,390","3,267","4,015","4,884","3,769","3,363","3,375","3,575","6,822",25,"3,721"
2021년04월_계_50~59세,"72,165","5,919","5,364","4,038","2,736","3,426","3,251","5,880","2,229","2,650","4,563","5,548","4,197","3,002","3,794","3,986","7,374",18,"4,190"
2021년04월_계_60~69세,"65,060","5,169","4,693","3,641","2,494","2,774","2,851","5,040","1,951","2,360","4,459","5,074","3,983","2,632","3,712","3,310","7,141",32,"3,744"
2021년04월_계_70~79세,"31,011","2,677","1,639","1,620",982,"1,084","1,152","2,715","1,086","1,064","2,275","2,681","2,039","1,344","1,856","1,695","3,366",10,"1,726"
