카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년06월_계_총인구수,"320,340","6,449","79,821","4,229","22,322","20,228","22,128","5,529","6,378","3,084","4,451","19,769","9,367","10,759","36,645","18,699","21,498","28,984"
2021년06월_계_연령구간인구수,"320,340","6,449","79,821","4,229","22,322","20,228","22,128","5,529","6,378","3,084","4,451","19,769","9,367","10,759","36,645","18,699","21,498","28,984"
2021년06월_계_0~9세,"32,078",342,"9,750",186,"2,886","2,510","2,480",138,296,60,105,"1,465",871,428,"3,815","1,472","2,109","3,165"
2021년06월_계_10~19세,"34,914",484,"9,649",361,"3,116","1,805","1,465",269,378,107,174,"2,052",728,784,"4,854","2,400","2,727","3,561"
2021년06월_계_20~29세,"37,321",542,"10,090",299,"2,947","2,098","2,439",417,533,177,350,"2,407","1,087","1,688","4,497","2,132","2,727","2,891"
2021년06월_계_30~39세,"48,303",595,"14,783",274,"3,944","3,567","4,697",403,596,179,301,"2,161","1,722","1,230","4,908","2,101","2,831","4,011"
2021년06월_계_40~49세,"57,360",881,"15,243",531,"4,847","3,513","3,666",569,926,250,399,"3,447","1,497","1,450","6,996","3,445","4,047","5,653"
2021년06월_계_50~59세,"46,974","1,124","10,350",754,"2,484","2,807","3,047",970,"1,217",518,829,"3,238","1,308","1,986","5,377","3,206","3,404","4,355"
2021년06월_계_60~69세,"33,884","1,194","5,870",843,"1,141","2,286","2,440","1,276","1,182",774,"1,009","2,544","1,158","1,697","3,420","2,134","2,019","2,897"
2021년06월_계_70~79세,"18,118",711,"2,637",567,585,981,"1,152",836,676,562,723,"1,527",652,975,"1,798","1,167","1,054","1,515"
2021년06월_계_80~89세,"9,968",503,"1,249",352,324,567,640,569,501,408,506,830,285,453,865,561,509,846
2021년06월_계_90~99세,"1,365",70,190,57,48,93,99,81,73,47,54,94,56,64,108,77,66,88
2021년06월_계_100세 이상,55,3,10,5,0,1,3,1,0,2,1,4,3,4,7,4,5,2
2021년06월_남_총인구수,"166,425","3,376","40,935","2,167","12,119","10,962","12,456","2,922","3,551","1,593","2,277","10,348","4,902","5,579","18,288","9,545","11,018","14,387"
2021년06월_남_연령구간인구수,"166,425","3,376","40,935","2,167","12,119","10,962","12,456","2,922","3,551","1,593","2,277","10,348","4,902","5,579","18,288","9,545","11,018","14,387"
2021년06월_남_0~9세,"16,478",171,"5,002",97,"1,493","1,250","1,292",66,157,33,46,750,434,206,"1,969",794,"1,124","1,594"
2021년06월_남_10~19세,"17,946",250,"4,960",192,"1,607",944,737,155,203,57,86,"1,041",393,412,"2,429","1,259","1,432","1,789"
