,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년05월_계_총인구수,"437,892","4,912","23,358","4,209","19,212","20,163","9,408","10,987","9,087","8,570","18,250","7,687","29,897","6,623","36,722","37,091","22,385","24,892","36,162","16,878","26,698","28,788","11,980","23,933"
2021년05월_계_연령구간인구수,"437,892","4,912","23,358","4,209","19,212","20,163","9,408","10,987","9,087","8,570","18,250","7,687","29,897","6,623","36,722","37,091","22,385","24,892","36,162","16,878","26,698","28,788","11,980","23,933"
2021년05월_계_0~9세,"32,963",356,"2,308",171,"2,137","1,711",248,574,274,293,"1,138",173,"2,351",296,"3,475","4,460","1,323","1,585","2,612",886,"1,638","2,238",604,"2,112"
2021년05월_계_10~19세,"42,462",347,"2,023",199,"2,287","2,239",431,881,451,470,"1,144",358,"3,120",398,"3,896","3,149","1,722","2,442","4,895","1,557","2,414","4,343",612,"3,084"
2021년05월_계_20~29세,"61,812",555,"2,894",482,"2,116","2,358",982,"1,636","2,577","1,253","2,873","2,383","4,324",720,"4,242","3,859","3,912","3,685","5,348","2,389","4,263","4,127","1,346","3,488"
2021년05월_계_30~39세,"53,071",684,"3,646",470,"2,697","2,277",735,"1,138","1,144","1,039","2,090","1,040","3,829",802,"4,767","6,218","2,625","2,710","3,427","1,598","3,036","2,822","1,538","2,739"
2021년05월_계_40~49세,"71,258",687,"4,041",477,"3,697","3,456","1,114","1,435","1,025","1,017","2,609",825,"4,796",872,"6,933","6,440","3,097","3,936","6,625","2,453","3,704","5,803","1,604","4,612"
2021년05월_계_50~59세,"77,887",774,"3,269",865,"2,793","3,458","1,859","2,229","1,233","1,538","2,912","1,194","5,206","1,180","6,354","5,921","4,164","4,696","7,252","3,499","5,411","5,540","2,310","4,230"
2021년05월_계_60~69세,"55,773",777,"2,657",920,"1,937","2,453","2,035","1,752","1,257","1,609","2,749","1,012","3,858","1,314","4,180","4,349","3,199","3,443","3,509","2,706","3,710","2,110","2,267","1,970"
2021년05월_계_70~79세,"28,478",506,"1,589",424,"1,021","1,479","1,343",915,748,928,"1,738",477,"1,607",695,"2,053","1,914","1,519","1,654","1,637","1,142","1,608","1,136","1,252","1,093"
