카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년05월_계_총인구수,"559,792","242,105","12,862","21,702","16,874","7,331","12,739","20,183","16,034","11,152","17,628","20,074","32,787","13,930","15,552","23,257","317,687","21,883","11,231","21,677","17,833","11,313","37,564","19,451","27,511","15,305","24,236","17,019","8,172","21,770","22,290","15,650","13,407","11,375"
2020년05월_계_연령구간인구수,"559,792","242,105","12,862","21,702","16,874","7,331","12,739","20,183","16,034","11,152","17,628","20,074","32,787","13,930","15,552","23,257","317,687","21,883","11,231","21,677","17,833","11,313","37,564","19,451","27,511","15,305","24,236","17,019","8,172","21,770","22,290","15,650","13,407","11,375"
2020년05월_계_0~9세,"41,329","16,281",992,"1,233",939,306,575,"1,105","1,794",520,"1,051","1,501","2,294",999,765,"2,207","25,048","1,900",845,"1,193","1,556",813,"2,316","1,297","2,480","1,417","2,556","1,505",991,"1,530","1,681","1,199",984,785
2020년05월_계_10~19세,"54,169","19,523","1,151","1,555","1,355",511,915,"1,296","1,355",732,"1,327","1,617","2,739","1,410","1,222","2,338","34,646","2,293","1,132","1,775","2,308",765,"3,076","1,494","2,487","1,759","3,792","3,423",746,"1,852","2,143","2,372","1,669","1,560"
2020년05월_계_20~29세,"79,728","35,017","1,942","3,411","2,508","1,078","1,749","3,031","2,071","1,679","2,570","2,654","4,694","1,999","2,186","3,445","44,711","3,003","1,613","3,370","2,175","1,491","6,105","3,033","3,694","2,247","2,632","1,934",976,"3,561","3,327","2,029","1,978","1,543"
2020년05월_계_30~39세,"79,077","33,934","1,999","3,093","2,278",965,"1,584","3,314","2,852","1,586","2,181","2,770","4,389","1,664","1,738","3,521","45,143","2,851","1,440","2,770","2,294","2,445","5,013","3,089","5,990","1,895","3,357","1,302","1,604","3,292","3,080","1,915","1,631","1,175"
2020년05월_계_40~49세,"90,203","35,901","2,054","3,064","2,385","1,055","1,800","2,984","2,618","1,535","2,332","3,087","4,904","2,173","2,338","3,572","54,302","3,604","1,759","2,914","3,407","1,896","5,329","3,035","5,112","2,652","5,386","4,089","1,441","3,013","3,337","3,095","2,245","1,988"
2020년05월_계_50~59세,"99,505","44,284","2,215","4,015","3,118","1,343","2,363","3,510","2,677","2,095","3,393","3,561","6,258","2,607","3,152","3,977","55,221","3,969","2,133","4,412","2,762","1,717","7,169","3,543","3,950","2,975","3,432","2,615","1,199","4,077","4,293","2,528","2,480","1,967"
2020년05월_계_60~69세,"68,372","33,136","1,480","3,077","2,549","1,051","2,037","2,904","1,663","1,797","2,739","2,830","4,249","1,818","2,292","2,650","35,236","2,696","1,409","3,163","1,951","1,204","4,988","2,283","2,253","1,417","1,799","1,207",774,"2,876","2,939","1,359","1,553","1,365"
2020년05월_계_70~79세,"31,263","16,169",701,"1,565","1,207",651,"1,107","1,358",699,831,"1,366","1,367","2,206",822,"1,271","1,018","15,094","1,038",616,"1,303",883,590,"2,370","1,109","1,011",569,771,591,289,"1,056",991,692,589,626
2020년05월_계_80~89세,"13,911","6,827",279,596,471,324,543,599,239,324,585,576,921,398,515,457,"7,084",437,230,655,438,341,"1,031",499,481,334,439,299,124,435,417,378,238,308
2020년05월_계_90~99세,"2,062",951,48,83,56,47,61,68,59,49,74,105,126,39,66,70,"1,111",73,44,115,57,50,157,63,50,36,69,53,23,71,75,81,40,54
2020년05월_계_100세 이상,173,82,1,10,8,0,5,14,7,4,10,6,7,1,7,2,91,19,10,7,2,1,10,6,3,4,3,1,5,7,7,2,0,4
2020년05월_남_총인구수,"276,997","121,248","6,425","10,893","8,420","3,652","6,333","10,372","7,933","5,749","8,696","9,835","16,444","6,990","7,844","11,662","155,749","10,650","5,443","10,742","8,605","5,188","18,397","9,877","13,348","7,538","11,846","8,403","4,147","10,718","11,203","7,509","6,605","5,530"
2020년05월_남_연령구간인구수,"276,997","121,248","6,425","10,893","8,420","3,652","6,333","10,372","7,933","5,749","8,696","9,835","16,444","6,990","7,844","11,662","155,749","10,650","5,443","10,742","8,605","5,188","18,397","9,877","13,348","7,538","11,846","8,403","4,147","10,718","11,203","7,509","6,605","5,530"
2020년05월_남_0~9세,"21,059","8,273",487,609,499,151,303,565,899,263,533,800,"1,170",484,372,"1,138","12,786",998,426,610,832,418,"1,220",657,"1,218",720,"1,302",822,494,766,850,596,482,375
2020년05월_남_10~19세,"28,012","10,158",585,822,711,254,481,647,701,377,675,859,"1,463",751,630,"1,202","17,854","1,188",561,945,"1,212",395,"1,591",731,"1,282",909,"1,965","1,787",389,956,"1,062","1,259",845,777
2020년05월_남_20~29세,"41,441","18,320",981,"1,725","1,328",533,911,"1,614","1,027",919,"1,361","1,366","2,434","1,105","1,151","1,865","23,121","1,497",825,"1,823","1,122",711,"3,236","1,631","1,808","1,170","1,388",965,481,"1,821","1,769","1,007","1,047",820
2020년05월_남_30~39세,"40,627","17,902","1,040","1,671","1,214",535,866,"1,856","1,392",928,"1,179","1,347","2,250",854,972,"1,798","22,725","1,373",723,"1,469","1,065","1,233","2,638","1,708","3,072",889,"1,556",565,811,"1,713","1,604",885,833,588
2020년05월_남_40~49세,"44,057","18,280","1,013","1,555","1,245",556,907,"1,575","1,334",830,"1,166","1,519","2,508","1,092","1,207","1,773","25,777","1,713",820,"1,417","1,582",874,"2,571","1,520","2,464","1,240","2,550","1,870",762,"1,458","1,627","1,388",998,923
2020년05월_남_50~59세,"48,438","21,803","1,134","1,984","1,470",697,"1,202","1,788","1,337","1,028","1,606","1,643","3,118","1,303","1,639","1,854","26,635","1,882","1,001","2,061","1,365",737,"3,360","1,772","1,862","1,478","1,723","1,386",617,"1,929","2,061","1,243","1,214",944
2020년05월_남_60~69세,"33,841","16,354",736,"1,548","1,226",516,974,"1,414",820,875,"1,329","1,401","2,127",911,"1,107","1,370","17,487","1,336",720,"1,588",907,516,"2,379","1,147","1,087",731,909,621,403,"1,402","1,558",691,814,678
2020년05월_남_70~79세,"14,249","7,488",330,736,554,269,487,659,318,401,617,677,"1,011",366,582,481,"6,761",480,288,601,385,208,"1,037",510,389,267,305,254,152,508,513,287,283,294
2020년05월_남_80~89세,"4,736","2,429",107,225,161,122,185,223,91,123,212,195,333,119,169,164,"2,307",157,67,195,123,87,322,183,155,124,129,113,37,150,139,131,79,116
2020년05월_남_90~99세,486,215,12,14,10,19,16,26,11,5,14,25,29,5,12,17,271,25,8,30,11,9,41,18,10,9,16,20,0,13,16,22,10,13
2020년05월_남_100세 이상,51,26,0,4,2,0,1,5,3,0,4,3,1,0,3,0,25,1,4,3,1,0,2,0,1,1,3,0,1,2,4,0,0,2
2020년05월_여_총인구수,"282,795","120,857","6,437","10,809","8,454","3,679","6,406","9,811","8,101","5,403","8,932","10,239","16,343","6,940","7,708","11,595","161,938","11,233","5,788","10,935","9,228","6,125","19,167","9,574","14,163","7,767","12,390","8,616","4,025","11,052","11,087","8,141","6,802","5,845"
2020년05월_여_연령구간인구수,"282,795","120,857","6,437","10,809","8,454","3,679","6,406","9,811","8,101","5,403","8,932","10,239","16,343","6,940","7,708","11,595","161,938","11,233","5,788","10,935","9,228","6,125","19,167","9,574","14,163","7,767","12,390","8,616","4,025","11,052","11,087","8,141","6,802","5,845"
2020년05월_여_0~9세,"20,270","8,008",505,624,440,155,272,540,895,257,518,701,"1,124",515,393,"1,069","12,262",902,419,583,724,395,"1,096",640,"1,262",697,"1,254",683,497,764,831,603,502,410
2020년05월_여_10~19세,"26,157","9,365",566,733,644,257,434,649,654,355,652,758,"1,276",659,592,"1,136","16,792","1,105",571,830,"1,096",370,"1,485",763,"1,205",850,"1,827","1,636",357,896,"1,081","1,113",824,783
2020년05월_여_20~29세,"38,287","16,697",961,"1,686","1,180",545,838,"1,417","1,044",760,"1,209","1,288","2,260",894,"1,035","1,580","21,590","1,506",788,"1,547","1,053",780,"2,869","1,402","1,886","1,077","1,244",969,495,"1,740","1,558","1,022",931,723
2020년05월_여_30~39세,"38,450","16,032",959,"1,422","1,064",430,718,"1,458","1,460",658,"1,002","1,423","2,139",810,766,"1,723","22,418","1,478",717,"1,301","1,229","1,212","2,375","1,381","2,918","1,006","1,801",737,793,"1,579","1,476","1,030",798,587
2020년05월_여_40~49세,"46,146","17,621","1,041","1,509","1,140",499,893,"1,409","1,284",705,"1,166","1,568","2,396","1,081","1,131","1,799","28,525","1,891",939,"1,497","1,825","1,022","2,758","1,515","2,648","1,412","2,836","2,219",679,"1,555","1,710","1,707","1,247","1,065"
2020년05월_여_50~59세,"51,067","22,481","1,081","2,031","1,648",646,"1,161","1,722","1,340","1,067","1,787","1,918","3,140","1,304","1,513","2,123","28,586","2,087","1,132","2,351","1,397",980,"3,809","1,771","2,088","1,497","1,709","1,229",582,"2,148","2,232","1,285","1,266","1,023"
2020년05월_여_60~69세,"34,531","16,782",744,"1,529","1,323",535,"1,063","1,490",843,922,"1,410","1,429","2,122",907,"1,185","1,280","17,749","1,360",689,"1,575","1,044",688,"2,609","1,136","1,166",686,890,586,371,"1,474","1,381",668,739,687
2020년05월_여_70~79세,"17,014","8,681",371,829,653,382,620,699,381,430,749,690,"1,195",456,689,537,"8,333",558,328,702,498,382,"1,333",599,622,302,466,337,137,548,478,405,306,332
2020년05월_여_80~89세,"9,175","4,398",172,371,310,202,358,376,148,201,373,381,588,279,346,293,"4,777",280,163,460,315,254,709,316,326,210,310,186,87,285,278,247,159,192
2020년05월_여_90~99세,"1,576",736,36,69,46,28,45,42,48,44,60,80,97,34,54,53,840,48,36,85,46,41,116,45,40,27,53,33,23,58,59,59,30,41
2020년05월_여_100세 이상,122,56,1,6,6,0,4,9,4,4,6,3,6,1,4,2,66,18,6,4,1,1,8,6,2,3,0,1,4,5,3,2,0,2
