카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년01월_계_총인구수,"502,736","230,381","7,551","30,604","54,908","3,472","9,881","4,106","1,886","24,827","17,239","12,499","4,686","2,841","30,431","25,450","272,355","40,587","2,867","4,818","2,491","4,935","2,122",591,"1,299","15,711","17,177","19,725","22,221","32,411","23,111","72,779","9,510"
2021년01월_계_연령구간인구수,"502,736","230,381","7,551","30,604","54,908","3,472","9,881","4,106","1,886","24,827","17,239","12,499","4,686","2,841","30,431","25,450","272,355","40,587","2,867","4,818","2,491","4,935","2,122",591,"1,299","15,711","17,177","19,725","22,221","32,411","23,111","72,779","9,510"
2021년01월_계_0~9세,"39,353","17,323",146,"2,345","5,654",64,550,71,29,"1,168",608,426,191,159,"3,677","2,235","22,030","3,864",65,112,30,85,37,6,18,567,"1,213",776,"1,450","3,042","1,633","8,211",921
2021년01월_계_10~19세,"46,703","21,198",239,"3,700","5,879",139,771,121,73,"1,501",785,719,263,196,"3,792","3,020","25,505","3,628",82,214,87,191,56,15,40,799,"1,864",929,"2,031","3,112","2,435","8,895","1,127"
2021년01월_계_20~29세,"56,420","26,302",458,"3,625","6,391",279,"1,010",193,102,"3,231","1,678","1,033",606,625,"3,480","3,591","30,118","4,074",170,309,161,293,69,34,55,"1,631","2,147","2,303","2,370","3,916","2,916","8,786",884
2021년01월_계_30~39세,"59,250","26,745",444,"3,039","8,098",256,964,187,79,"2,940","1,602","1,034",492,337,"3,851","3,422","32,505","5,064",132,256,106,230,73,15,59,"1,738","1,863","2,332","2,210","4,472","2,492","10,263","1,200"
2021년01월_계_40~49세,"77,034","35,611",750,"5,195","10,171",312,"1,241",297,181,"3,344","2,190","1,435",541,350,"5,235","4,369","41,423","6,264",219,470,189,367,124,38,97,"1,960","2,674","2,503","3,280","4,888","3,304","13,374","1,672"
2021년01월_계_50~59세,"89,959","41,325","1,426","5,986","8,540",692,"1,807",712,324,"4,506","3,369","2,348",806,481,"5,405","4,923","48,634","7,094",469,895,464,908,390,108,204,"2,754","3,452","3,476","4,111","6,022","4,691","12,138","1,458"
2021년01월_계_60~69세,"79,086","36,780","1,945","4,264","6,336",920,"1,844",980,462,"5,082","4,131","3,137",970,408,"3,736","2,565","42,306","5,894",769,"1,127",621,"1,231",596,196,365,"3,314","2,586","4,184","4,121","4,503","3,662","7,723","1,414"
2021년01월_계_70~79세,"37,235","17,369","1,341","1,692","2,567",533,"1,111",837,384,"2,399","2,181","1,710",602,204,916,892,"19,866","2,967",507,857,471,909,428,112,256,"2,057",981,"2,345","1,870","1,689","1,399","2,398",620
2021년01월_계_80~89세,"15,421","6,784",706,673,"1,135",236,507,611,221,572,626,568,190,74,281,384,"8,637","1,496",393,504,311,616,306,54,173,771,334,766,677,674,517,856,189
2021년01월_계_90~99세,"2,164",885,88,80,123,40,73,94,30,81,61,84,23,7,55,46,"1,279",235,58,71,50,103,43,13,29,111,59,107,95,91,60,131,23
2021년01월_계_100세 이상,111,59,8,5,14,1,3,3,1,3,8,5,2,0,3,3,52,7,3,3,1,2,0,0,3,9,4,4,6,2,2,4,2
2021년01월_남_총인구수,"254,224","118,821","3,812","15,612","29,143","1,795","4,989","2,024",922,"12,837","8,861","6,272","2,534","1,668","15,439","12,913","135,403","20,321","1,436","2,361","1,217","2,390","1,055",301,633,"7,682","8,492","9,725","10,884","15,911","11,484","36,835","4,676"
2021년01월_남_연령구간인구수,"254,224","118,821","3,812","15,612","29,143","1,795","4,989","2,024",922,"12,837","8,861","6,272","2,534","1,668","15,439","12,913","135,403","20,321","1,436","2,361","1,217","2,390","1,055",301,633,"7,682","8,492","9,725","10,884","15,911","11,484","36,835","4,676"
2021년01월_남_0~9세,"20,438","8,974",74,"1,229","2,907",28,289,43,15,618,316,237,97,95,"1,860","1,166","11,464","2,045",36,56,7,38,16,3,7,281,614,399,736,"1,615",858,"4,282",471
2021년01월_남_10~19세,"24,464","11,136",138,"1,917","3,124",69,383,51,42,785,421,380,135,98,"2,005","1,588","13,328","1,881",53,118,44,86,30,8,27,399,995,476,"1,087","1,645","1,272","4,632",575
2021년01월_남_20~29세,"32,356","15,544",283,"2,125","3,783",170,570,123,63,"1,878","1,004",582,399,480,"2,054","2,030","16,812","2,319",109,184,91,178,53,17,27,868,"1,231","1,247","1,341","2,147","1,660","4,863",477
2021년01월_남_30~39세,"31,345","14,471",243,"1,536","4,421",155,522,112,49,"1,710",964,609,294,215,"1,828","1,813","16,874","2,601",79,142,73,152,44,15,36,993,958,"1,358","1,124","2,278","1,308","5,129",584
2021년01월_남_40~49세,"38,761","18,378",469,"2,514","5,516",191,671,194,121,"1,826","1,251",780,332,185,"2,375","1,953","20,383","3,174",137,280,119,221,80,23,53,"1,034","1,202","1,336","1,566","2,283","1,537","6,503",835
2021년01월_남_50~59세,"45,143","21,460",822,"3,063","4,579",367,936,394,186,"2,207","1,710","1,206",437,255,"2,755","2,543","23,683","3,556",242,496,264,475,222,57,118,"1,380","1,640","1,636","1,957","2,796","2,154","5,983",707
2021년01월_남_60~69세,"38,779","18,174",966,"2,159","3,251",489,949,489,234,"2,343","1,860","1,473",469,209,"1,970","1,313","20,605","2,931",412,549,302,623,299,96,191,"1,528","1,270","1,840","1,898","2,217","1,818","3,970",661
2021년01월_남_70~79세,"17,444","8,306",568,846,"1,178",257,489,394,149,"1,236","1,082",790,294,101,508,414,"9,138","1,323",233,362,213,402,188,61,109,888,462,"1,106",887,742,675,"1,202",285
2021년01월_남_80~89세,"5,070","2,219",229,212,362,64,166,204,61,218,242,197,73,29,77,85,"2,851",444,131,164,95,188,112,16,57,287,108,300,260,175,186,251,77
2021년01월_남_90~99세,394,142,16,10,19,5,13,20,2,16,9,16,2,1,6,7,252,44,4,10,8,26,11,5,8,20,12,25,27,13,15,20,4
2021년01월_남_100세 이상,30,17,4,1,3,0,1,0,0,0,2,2,2,0,1,1,13,3,0,0,1,1,0,0,0,4,0,2,1,0,1,0,0
2021년01월_여_총인구수,"248,512","111,560","3,739","14,992","25,765","1,677","4,892","2,082",964,"11,990","8,378","6,227","2,152","1,173","14,992","12,537","136,952","20,266","1,431","2,457","1,274","2,545","1,067",290,666,"8,029","8,685","10,000","11,337","16,500","11,627","35,944","4,834"
2021년01월_여_연령구간인구수,"248,512","111,560","3,739","14,992","25,765","1,677","4,892","2,082",964,"11,990","8,378","6,227","2,152","1,173","14,992","12,537","136,952","20,266","1,431","2,457","1,274","2,545","1,067",290,666,"8,029","8,685","10,000","11,337","16,500","11,627","35,944","4,834"
2021년01월_여_0~9세,"18,915","8,349",72,"1,116","2,747",36,261,28,14,550,292,189,94,64,"1,817","1,069","10,566","1,819",29,56,23,47,21,3,11,286,599,377,714,"1,427",775,"3,929",450
2021년01월_여_10~19세,"22,239","10,062",101,"1,783","2,755",70,388,70,31,716,364,339,128,98,"1,787","1,432","12,177","1,747",29,96,43,105,26,7,13,400,869,453,944,"1,467","1,163","4,263",552
2021년01월_여_20~29세,"24,064","10,758",175,"1,500","2,608",109,440,70,39,"1,353",674,451,207,145,"1,426","1,561","13,306","1,755",61,125,70,115,16,17,28,763,916,"1,056","1,029","1,769","1,256","3,923",407
2021년01월_여_30~39세,"27,905","12,274",201,"1,503","3,677",101,442,75,30,"1,230",638,425,198,122,"2,023","1,609","15,631","2,463",53,114,33,78,29,0,23,745,905,974,"1,086","2,194","1,184","5,134",616
2021년01월_여_40~49세,"38,273","17,233",281,"2,681","4,655",121,570,103,60,"1,518",939,655,209,165,"2,860","2,416","21,040","3,090",82,190,70,146,44,15,44,926,"1,472","1,167","1,714","2,605","1,767","6,871",837
2021년01월_여_50~59세,"44,816","19,865",604,"2,923","3,961",325,871,318,138,"2,299","1,659","1,142",369,226,"2,650","2,380","24,951","3,538",227,399,200,433,168,51,86,"1,374","1,812","1,840","2,154","3,226","2,537","6,155",751
2021년01월_여_60~69세,"40,307","18,606",979,"2,105","3,085",431,895,491,228,"2,739","2,271","1,664",501,199,"1,766","1,252","21,701","2,963",357,578,319,608,297,100,174,"1,786","1,316","2,344","2,223","2,286","1,844","3,753",753
2021년01월_여_70~79세,"19,791","9,063",773,846,"1,389",276,622,443,235,"1,163","1,099",920,308,103,408,478,"10,728","1,644",274,495,258,507,240,51,147,"1,169",519,"1,239",983,947,724,"1,196",335
2021년01월_여_80~89세,"10,351","4,565",477,461,773,172,341,407,160,354,384,371,117,45,204,299,"5,786","1,052",262,340,216,428,194,38,116,484,226,466,417,499,331,605,112
2021년01월_여_90~99세,"1,770",743,72,70,104,35,60,74,28,65,52,68,21,6,49,39,"1,027",191,54,61,42,77,32,8,21,91,47,82,68,78,45,111,19
2021년01월_여_100세 이상,81,42,4,4,11,1,2,3,1,3,6,3,0,0,2,2,39,4,3,3,0,1,0,0,3,5,4,2,5,2,1,4,2
