카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년01월_계_총인구수,"104,442","7,448","3,290","2,966","5,562","4,237","4,685","4,680","5,242","2,949","3,218","4,653","8,265","5,407","7,992","19,353","14,495"
2021년01월_계_연령구간인구수,"104,442","7,448","3,290","2,966","5,562","4,237","4,685","4,680","5,242","2,949","3,218","4,653","8,265","5,407","7,992","19,353","14,495"
2021년01월_계_0~9세,"5,724",275,100,70,166,152,185,115,161,70,76,190,439,345,319,"1,393","1,668"
2021년01월_계_10~19세,"8,154",399,127,134,281,188,370,219,289,159,89,330,697,573,557,"2,023","1,719"
2021년01월_계_20~29세,"11,199",480,217,190,330,339,468,295,379,190,165,578,923,722,865,"3,200","1,858"
2021년01월_계_30~39세,"9,446",490,188,179,301,325,358,268,339,150,179,383,842,523,686,"2,278","1,957"
2021년01월_계_40~49세,"13,313",782,277,236,504,465,588,439,535,260,309,577,"1,149",784,997,"3,012","2,399"
2021년01월_계_50~59세,"18,337","1,314",613,478,"1,018",971,957,805,925,524,615,822,"1,404",875,"1,549","3,230","2,237"
2021년01월_계_60~69세,"18,553","1,767",750,654,"1,386",989,865,"1,129","1,147",672,864,782,"1,438",860,"1,493","2,351","1,406"
2021년01월_계_70~79세,"11,494","1,125",555,537,884,507,510,735,812,483,541,605,861,452,965,"1,197",725
2021년01월_계_80~89세,"7,119",715,403,423,597,255,330,573,561,393,324,327,447,238,500,586,447
2021년01월_계_90~99세,"1,040",94,54,62,90,45,54,98,87,44,51,56,58,32,60,79,76
2021년01월_계_100세 이상,63,7,6,3,5,1,0,4,7,4,5,3,7,3,1,4,3
2021년01월_남_총인구수,"52,273","3,752","1,678","1,536","2,843","2,229","2,425","2,426","2,726","1,484","1,441","2,324","4,043","2,709","4,037","9,458","7,162"
2021년01월_남_연령구간인구수,"52,273","3,752","1,678","1,536","2,843","2,229","2,425","2,426","2,726","1,484","1,441","2,324","4,043","2,709","4,037","9,458","7,162"
2021년01월_남_0~9세,"2,971",155,45,35,85,92,87,64,85,38,38,102,236,177,165,730,837
2021년01월_남_10~19세,"4,212",203,83,64,153,109,185,125,142,78,47,178,335,283,289,"1,038",900
2021년01월_남_20~29세,"6,204",300,123,129,187,202,284,182,233,100,98,313,490,363,511,"1,678","1,011"
2021년01월_남_30~39세,"5,061",291,111,104,163,188,195,156,209,97,89,218,478,280,399,"1,147",936
2021년01월_남_40~49세,"7,025",450,173,144,305,247,334,277,336,154,132,309,593,411,550,"1,461","1,149"
2021년01월_남_50~59세,"9,446",644,351,276,587,518,516,429,527,294,265,420,702,452,793,"1,548","1,124"
2021년01월_남_60~69세,"9,291",909,391,358,703,515,454,602,590,347,399,383,667,441,724,"1,089",719
2021년01월_남_70~79세,"5,272",514,255,257,434,241,249,349,395,215,239,263,367,223,413,534,324
2021년01월_남_80~89세,"2,506",260,125,157,201,103,110,213,182,151,117,123,160,74,176,214,140
2021년01월_남_90~99세,271,22,21,12,23,14,11,29,27,9,17,15,14,3,17,16,21
2021년01월_남_100세 이상,14,4,0,0,2,0,0,0,0,1,0,0,1,2,0,3,1
2021년01월_여_총인구수,"52,169","3,696","1,612","1,430","2,719","2,008","2,260","2,254","2,516","1,465","1,777","2,329","4,222","2,698","3,955","9,895","7,333"
2021년01월_여_연령구간인구수,"52,169","3,696","1,612","1,430","2,719","2,008","2,260","2,254","2,516","1,465","1,777","2,329","4,222","2,698","3,955","9,895","7,333"
2021년01월_여_0~9세,"2,753",120,55,35,81,60,98,51,76,32,38,88,203,168,154,663,831
2021년01월_여_10~19세,"3,942",196,44,70,128,79,185,94,147,81,42,152,362,290,268,985,819
2021년01월_여_20~29세,"4,995",180,94,61,143,137,184,113,146,90,67,265,433,359,354,"1,522",847
2021년01월_여_30~39세,"4,385",199,77,75,138,137,163,112,130,53,90,165,364,243,287,"1,131","1,021"
2021년01월_여_40~49세,"6,288",332,104,92,199,218,254,162,199,106,177,268,556,373,447,"1,551","1,250"
2021년01월_여_50~59세,"8,891",670,262,202,431,453,441,376,398,230,350,402,702,423,756,"1,682","1,113"
2021년01월_여_60~69세,"9,262",858,359,296,683,474,411,527,557,325,465,399,771,419,769,"1,262",687
2021년01월_여_70~79세,"6,222",611,300,280,450,266,261,386,417,268,302,342,494,229,552,663,401
2021년01월_여_80~89세,"4,613",455,278,266,396,152,220,360,379,242,207,204,287,164,324,372,307
2021년01월_여_90~99세,769,72,33,50,67,31,43,69,60,35,34,41,44,29,43,63,55
2021년01월_여_100세 이상,49,3,6,3,3,1,0,4,7,3,5,3,6,1,1,1,2
