카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년12월_계_총인구수,"391,220","32,052","12,669","45,139","27,856","25,069","28,943","32,391","23,071","27,238","25,012","14,421","14,702","38,795","23,660","20,202"
2020년12월_계_연령구간인구수,"391,220","32,052","12,669","45,139","27,856","25,069","28,943","32,391","23,071","27,238","25,012","14,421","14,702","38,795","23,660","20,202"
2020년12월_계_0~9세,"24,564","1,940",342,"2,919","2,266","1,233","1,684","2,369",836,"1,795","2,127",742,"1,073","2,263","1,530","1,445"
2020년12월_계_10~19세,"27,821","2,003",571,"3,203","1,908","1,670","1,921","2,155",893,"1,654","1,635",754,993,"4,222","2,525","1,714"
2020년12월_계_20~29세,"66,545","5,591","2,342","9,844","4,299","4,228","4,593","5,150","5,256","3,681","3,396","2,520","2,224","6,487","3,409","3,525"
2020년12월_계_30~39세,"62,096","5,424","1,912","6,307","4,683","4,208","4,842","4,555","4,649","4,487","4,127","2,498","2,601","5,427","3,093","3,283"
2020년12월_계_40~49세,"58,912","4,352","1,553","6,569","4,312","3,694","4,389","4,910","2,947","4,048","3,827","2,074","2,337","6,626","4,025","3,249"
2020년12월_계_50~59세,"58,343","4,706","2,150","6,353","4,121","3,875","4,412","5,244","3,090","4,191","3,645","2,101","2,186","5,836","3,729","2,704"
2020년12월_계_60~69세,"49,162","4,227","1,985","5,278","3,297","3,186","3,798","4,019","3,019","3,868","3,425","2,000","1,803","4,168","2,931","2,158"
2020년12월_계_70~79세,"29,755","2,469","1,214","3,103","1,947","2,055","2,267","2,554","1,772","2,443","2,044","1,235","1,017","2,504","1,652","1,479"
2020년12월_계_80~89세,"11,895","1,141",509,"1,305",855,801,907,"1,184",536,903,670,422,388,"1,062",662,550
2020년12월_계_90~99세,"1,814",169,79,219,139,105,118,197,66,135,94,69,67,176,97,84
2020년12월_계_100세 이상,313,30,12,39,29,14,12,54,7,33,22,6,13,24,7,11
2020년12월_남_총인구수,"189,152","15,976","6,497","21,823","13,390","11,974","14,051","15,753","10,950","13,112","12,122","6,899","7,138","18,458","11,388","9,621"
